t,u1,u2,u3,y,ysp
10,15.55,0.55,16.6,7,7
20,15.549,0.55,16.6,7.0015,7
30,15.548,0.55,16.6,7.0013,7
40,15.548,0.55,16.6,7.0011,7
50,15.548,0.55,16.6,7.0009,7
60,15.548,0.55,16.6,7.0007,7
70,15.548,0.55,16.6,7.0005,7
80,15.548,0.55,16.6,7.0004,7
90,15.548,0.55,16.6,7.0002,7
100,15.548,0.55,16.6,7.0001,7
110,16.191,0.55,16.6,6.9999,8
120,16.712,0.55,16.6,6.9999,8
130,17.107,0.55,16.6,7.0373,8
140,17.348,0.55,16.6,7.1065,8
150,17.376,0.55,16.6,7.2057,8
160,17.17,0.55,16.6,7.334,8
170,16.93,0.55,16.6,7.4832,8
180,16.786,0.55,16.6,7.6253,8
190,16.704,0.55,16.6,7.7387,8
200,16.65,0.55,16.6,7.8257,8
210,16.61,0.55,16.6,7.8916,8
220,16.58,0.55,16.6,7.94,8
230,16.557,0.55,16.6,7.9737,8
240,16.541,0.55,16.6,7.9955,8
250,16.529,0.55,16.6,8.0082,8
260,16.522,0.55,16.6,8.0145,8
270,16.518,0.55,16.6,8.0166,8
280,16.516,0.55,16.6,8.0163,8
290,16.515,0.55,16.6,8.0147,8
300,16.515,0.55,16.6,8.0127,8
310,15.734,0.55,16.6,8.0106,6.5
320,15.408,0.55,16.6,8.0087,6.5
330,15.326,0.55,16.6,7.7995,6.5
340,15.314,0.55,16.6,7.6023,6.5
350,15.275,0.55,16.6,7.4617,6.5
360,15.183,0.55,16.6,7.3608,6.5
370,15.05,0.55,16.6,7.2812,6.5
380,14.895,0.55,16.6,7.2117,6.5
390,14.734,0.55,16.6,7.1468,6.5
400,14.583,0.55,16.6,7.0846,6.5
410,14.449,0.55,16.6,7.0247,6.5
420,14.338,0.55,16.6,6.9676,6.5
430,14.25,0.55,16.6,6.9138,6.5
440,14.183,0.55,16.6,6.864,6.5
450,14.134,0.55,16.6,6.8183,6.5
460,14.1,0.55,16.6,6.7769,6.5
470,14.078,0.55,16.6,6.7395,6.5
480,14.066,0.55,16.6,6.7062,6.5
490,14.061,0.55,16.6,6.6766,6.5
500,14.061,0.55,16.6,6.6504,6.5
510,15.047,0.55,16.6,6.6274,8
520,15.883,0.55,16.6,6.6073,8
530,16.585,0.55,16.6,6.6252,8
540,17.166,0.55,16.6,6.6729,8
550,17.634,0.55,16.6,6.7456,8
560,17.988,0.55,16.6,6.8415,8
570,18.202,0.55,16.6,6.9622,8
580,18.173,0.55,16.6,7.1138,8
590,17.676,0.55,16.6,7.3093,8
600,17.13,0.55,16.6,7.5647,8
610,16.837,0.55,16.6,7.832,8
620,16.661,0.55,16.6,8.0204,8
630,16.556,0.55,16.6,8.1205,8
640,16.5,0.55,16.6,8.1542,8
650,16.478,0.55,16.6,8.1486,8
660,16.474,0.55,16.6,8.1251,8
670,16.48,0.55,16.6,8.097,8
680,16.489,0.55,16.6,8.0714,8
690,16.498,0.55,16.6,8.0511,8
700,15.55,0.55,16.6,8.0362,8
