t,u1,u2,u3,y,ysp
10,13.648,0.55,16.6,7,5
20,12.335,0.55,16.6,7.0015,5
30,11.378,0.55,16.6,6.9012,5
40,10.626,0.55,16.6,6.7659,5
50,10.027,0.55,16.6,6.6253,5
60,9.5614,0.55,16.6,6.4869,5
70,9.2221,0.55,16.6,6.3512,5
80,9.0132,0.55,16.6,6.2165,5
90,8.9527,0.55,16.6,6.0804,5
100,9.0669,0.55,16.6,5.9404,5
110,9.3602,0.55,16.6,5.7948,5
120,9.7644,0.55,16.6,5.6445,5
130,10.157,0.55,16.6,5.4959,5
140,10.465,0.55,16.6,5.3602,5
150,10.685,0.55,16.6,5.2482,5
160,10.838,0.55,16.6,5.1638,5
170,10.942,0.55,16.6,5.1053,5
180,11.009,0.55,16.6,5.068,5
190,11.05,0.55,16.6,5.0461,5
200,11.072,0.55,16.6,5.0346,5
210,11.083,0.55,16.6,5.0294,5
220,11.085,0.55,16.6,5.0276,5
230,11.084,0.55,16.6,5.0273,5
240,11.08,0.55,16.6,5.0273,5
250,11.077,0.55,16.6,5.0271,5
260,11.073,0.55,16.6,5.0266,5
270,11.071,0.55,16.6,5.0256,5
280,11.068,0.55,16.6,5.0242,5
290,11.067,0.55,16.6,5.0227,5
300,11.066,0.55,16.6,5.021,5
310,11.065,0.55,16.6,5.0192,5
320,11.065,0.55,16.6,5.0176,5
330,11.065,0.55,16.6,5.016,5
340,11.065,0.55,16.6,5.0145,5
350,11.065,0.55,16.6,5.0131,5
360,11.065,0.55,16.6,5.0119,5
370,11.065,0.55,16.6,5.0107,5
380,11.065,0.55,16.6,5.0097,5
390,11.065,0.55,16.6,5.0088,5
400,11.065,0.55,16.6,5.008,5
410,11.065,0.55,16.6,5.0072,5
420,11.065,0.55,16.6,5.0065,5
430,11.065,0.55,16.6,5.0059,5
440,11.065,0.55,16.6,5.0054,5
450,11.065,0.55,16.6,5.0049,5
460,11.065,0.55,16.6,5.0044,5
470,11.065,0.55,16.6,5.004,5
480,11.065,0.55,16.6,5.0036,5
490,11.065,0.55,16.6,5.0033,5
500,11.065,0.55,16.6,5.003,5
510,14.254,0.55,16.6,5.0027,8
520,15.742,0.55,16.6,5.0024,8
530,16.33,0.55,16.6,5.3457,8
540,16.854,0.55,16.6,5.6427,8
550,17.492,0.55,16.6,5.8588,8
560,18.14,0.55,16.6,6.0363,8
570,18.717,0.55,16.6,6.1996,8
580,19.178,0.55,16.6,6.3602,8
590,19.496,0.55,16.6,6.5259,8
600,19.636,0.55,16.6,6.7052,8
610,19.521,0.55,16.6,6.9113,8
620,15.56,0.55,16.6,7.1703,8
630,16.799,0.55,16.6,7.5488,8
640,17.191,0.55,16.6,7.4528,8
650,17.249,0.55,16.6,7.534,8
660,16.824,0.55,16.6,7.688,8
670,16.659,0.55,16.6,7.8855,8
680,16.605,0.55,16.6,7.9844,8
690,16.595,0.55,16.6,8.0294,8
700,16.591,0.55,16.6,8.0534,8
710,16.588,0.55,16.6,8.0719,8
720,16.556,0.55,16.6,8.0873,8
730,16.528,0.55,16.6,8.1002,8
740,16.513,0.55,16.6,8.101,8
750,16.508,0.55,16.6,8.0925,8
760,16.507,0.55,16.6,8.0801,8
770,16.509,0.55,16.6,8.0675,8
780,16.511,0.55,16.6,8.0565,8
790,16.512,0.55,16.6,8.0473,8
800,16.513,0.55,16.6,8.0399,8
810,16.514,0.55,16.6,8.0337,8
820,16.514,0.55,16.6,8.0286,8
830,16.515,0.55,16.6,8.0244,8
840,16.515,0.55,16.6,8.0207,8
850,16.516,0.55,16.6,8.0177,8
860,16.516,0.55,16.6,8.0151,8
870,16.516,0.55,16.6,8.013,8
880,16.516,0.55,16.6,8.0112,8
890,16.517,0.55,16.6,8.0096,8
900,16.517,0.55,16.6,8.0083,8
910,16.517,0.55,16.6,8.0072,8
920,16.517,0.55,16.6,8.0063,8
930,16.517,0.55,16.6,8.0055,8
940,16.517,0.55,16.6,8.0048,8
950,16.517,0.55,16.6,8.0042,8
960,16.517,0.55,16.6,8.0037,8
970,16.517,0.55,16.6,8.0033,8
980,16.517,0.55,16.6,8.0029,8
990,16.517,0.55,16.6,8.0025,8
1000,16.517,0.55,16.6,8.0022,8
1010,12.319,0.55,16.6,8.002,4.5
1020,12.139,0.55,16.6,8.0017,4.5
1030,11.21,0.55,16.6,7.309,4.5
1040,10.204,0.55,16.6,7.0242,4.5
1050,9.2977,0.55,16.6,6.8056,4.5
1060,8.54,0.55,16.6,6.6133,4.5
1070,7.9482,0.55,16.6,6.4337,4.5
1080,7.5449,0.55,16.6,6.2575,4.5
1090,7.3904,0.55,16.6,6.076,4.5
1100,7.6034,0.55,16.6,5.8784,4.5
1110,8.2395,0.55,16.6,5.65,4.5
