t,u1,u2,u3,y,ysp
10,15.55,0.55,16.6,7,7
20,15.549,0.55,16.6,7.0015,7
30,15.548,0.55,16.6,7.0013,7
40,15.547,0.55,16.6,7.0011,7
50,15.547,0.55,16.6,7.0009,7
60,15.547,0.55,16.6,7.0007,7
70,15.547,0.55,16.6,7.0004,7
80,15.547,0.55,16.6,7.0002,7
90,15.548,0.55,16.6,7.0001,7
100,15.548,0.55,16.6,6.9999,7
110,16.436,0.55,16.6,6.9998,8
120,17.112,0.55,16.6,6.9997,8
130,17.564,0.55,16.6,7.0521,8
140,16.708,0.55,16.6,7.1493,8
150,16.924,0.55,16.6,7.2915,8
160,16.934,0.55,16.6,7.3593,8
170,16.85,0.55,16.6,7.4534,8
180,16.776,0.55,16.6,7.5546,8
190,16.726,0.55,16.6,7.6481,8
200,16.686,0.55,16.6,7.7309,8
210,16.651,0.55,16.6,7.8035,8
220,16.618,0.55,16.6,7.8654,8
230,16.588,0.55,16.6,7.9155,8
240,16.564,0.55,16.6,7.9531,8
250,16.545,0.55,16.6,7.9792,8
260,16.532,0.55,16.6,7.9956,8
270,16.524,0.55,16.6,8.0047,8
280,16.519,0.55,16.6,8.0089,8
290,16.517,0.55,16.6,8.01,8
300,16.516,0.55,16.6,8.0096,8
310,15.485,0.55,16.6,8.0085,6.5
320,15.177,0.55,16.6,8.0072,6.5
330,15.179,0.55,16.6,7.7441,6.5
340,15.191,0.55,16.6,7.533,6.5
350,15.107,0.55,16.6,7.3969,6.5
360,14.947,0.55,16.6,7.3007,6.5
370,14.749,0.55,16.6,7.2207,6.5
380,14.544,0.55,16.6,7.1466,6.5
390,14.355,0.55,16.6,7.0751,6.5
400,14.2,0.55,16.6,7.006,6.5
410,14.082,0.55,16.6,6.9404,6.5
420,14.001,0.55,16.6,6.8794,6.5
430,13.951,0.55,16.6,6.8237,6.5
440,13.926,0.55,16.6,6.7738,6.5
450,13.919,0.55,16.6,6.7296,6.5
460,13.925,0.55,16.6,6.6909,6.5
470,13.94,0.55,16.6,6.6573,6.5
480,13.96,0.55,16.6,6.6284,6.5
490,13.983,0.55,16.6,6.6038,6.5
500,14.008,0.55,16.6,6.5829,6.5
510,15.391,0.55,16.6,6.5654,8
520,16.506,0.55,16.6,6.5508,8
530,17.39,0.55,16.6,6.5864,8
540,18.072,0.55,16.6,6.6605,8
550,18.565,0.55,16.6,6.7672,8
560,15.138,0.55,16.6,6.907,8
570,16.091,0.55,16.6,7.0896,8
580,16.808,0.55,16.6,7.053,8
590,17.306,0.55,16.6,7.0807,8
600,17.532,0.55,16.6,7.1564,8
610,16.437,0.55,16.6,7.2757,8
620,16.691,0.55,16.6,7.4343,8
630,16.767,0.55,16.6,7.4669,8
640,16.766,0.55,16.6,7.5329,8
650,16.741,0.55,16.6,7.6114,8
660,16.709,0.55,16.6,7.6913,8
670,16.676,0.55,16.6,7.7672,8
680,16.641,0.55,16.6,7.8356,8
690,16.608,0.55,16.6,7.8937,8
700,15.55,0.55,16.6,7.9394,8
