t,u1,u2,u3,y,ysp
10,13.648,0.55,16.6,7,5
20,12.335,0.55,16.6,7.0015,5
30,11.378,0.55,16.6,6.9012,5
40,10.626,0.55,16.6,6.7659,5
50,10.027,0.55,16.6,6.6253,5
60,9.5614,0.55,16.6,6.4869,5
70,9.2221,0.55,16.6,6.3512,5
80,9.0132,0.55,16.6,6.2165,5
90,8.9527,0.55,16.6,6.0804,5
100,9.0669,0.55,16.6,5.9404,5
110,9.3602,0.55,16.6,5.7948,5
120,9.7644,0.55,16.6,5.6445,5
130,10.157,0.55,16.6,5.4959,5
140,10.465,0.55,16.6,5.3602,5
150,10.685,0.55,16.6,5.2482,5
160,10.838,0.55,16.6,5.1638,5
170,10.942,0.55,16.6,5.1053,5
180,11.009,0.55,16.6,5.068,5
190,11.05,0.55,16.6,5.0461,5
200,11.072,0.55,16.6,5.0346,5
210,11.083,0.55,16.6,5.0294,5
220,11.085,0.55,16.6,5.0276,5
230,11.084,0.55,16.6,5.0273,5
240,11.08,0.55,16.6,5.0273,5
250,11.077,0.55,16.6,5.0271,5
260,11.073,0.55,16.6,5.0266,5
270,11.071,0.55,16.6,5.0256,5
280,11.068,0.55,16.6,5.0242,5
290,11.067,0.55,16.6,5.0227,5
300,11.066,0.55,16.6,5.021,5
310,14.254,0.55,16.6,5.0192,8
320,15.742,0.55,16.6,5.0176,8
330,16.339,0.55,16.6,5.3545,8
340,16.87,0.55,16.6,5.6479,8
350,17.508,0.55,16.6,5.8627,8
360,18.154,0.55,16.6,6.0399,8
370,18.726,0.55,16.6,6.2031,8
380,19.182,0.55,16.6,6.3638,8
390,19.495,0.55,16.6,6.5296,8
400,19.63,0.55,16.6,6.7092,8
410,19.508,0.55,16.6,6.9158,8
420,16.964,0.55,16.6,7.1758,8
430,17.202,0.55,16.6,7.5564,8
440,16.581,0.55,16.6,7.6707,8
450,16.573,0.55,16.6,7.8524,8
460,16.56,0.55,16.6,7.8845,8
470,16.559,0.55,16.6,7.9121,8
480,16.558,0.55,16.6,7.9339,8
490,16.557,0.55,16.6,7.9532,8
500,16.556,0.55,16.6,7.9703,8
510,16.556,0.55,16.6,7.9855,8
520,16.555,0.55,16.6,7.9989,8
530,16.555,0.55,16.6,8.0108,8
540,16.555,0.55,16.6,8.0213,8
550,16.554,0.55,16.6,8.0305,8
560,16.54,0.55,16.6,8.0387,8
570,16.526,0.55,16.6,8.0459,8
580,16.517,0.55,16.6,8.0478,8
590,16.514,0.55,16.6,8.0449,8
600,16.513,0.55,16.6,8.0397,8
610,16.513,0.55,16.6,8.0339,8
620,16.514,0.55,16.6,8.0287,8
630,16.515,0.55,16.6,8.0243,8
640,16.515,0.55,16.6,8.0206,8
650,16.516,0.55,16.6,8.0176,8
660,16.516,0.55,16.6,8.0151,8
670,16.516,0.55,16.6,8.013,8
680,16.516,0.55,16.6,8.0112,8
690,16.516,0.55,16.6,8.0096,8
700,16.517,0.55,16.6,8.0083,8
710,12.317,0.55,16.6,8.0072,4.5
720,12.142,0.55,16.6,8.0063,4.5
730,11.215,0.55,16.6,7.31,4.5
740,10.209,0.55,16.6,7.0249,4.5
750,9.3018,0.55,16.6,6.8063,4.5
760,8.5433,0.55,16.6,6.614,4.5
770,7.9507,0.55,16.6,6.4344,4.5
780,7.5462,0.55,16.6,6.2582,4.5
790,7.39,0.55,16.6,6.0767,4.5
800,7.6002,0.55,16.6,5.8793,4.5
810,8.2334,0.55,16.6,5.651,4.5
820,9.0957,0.55,16.6,5.3746,4.5
830,10.768,0.55,16.6,5.0524,4.5
840,10.647,0.55,16.6,4.7772,4.5
850,10.592,0.55,16.6,4.7569,4.5
860,10.581,0.55,16.6,4.7217,4.5
870,10.595,0.55,16.6,4.6827,4.5
880,10.618,0.55,16.6,4.6467,4.5
890,10.644,0.55,16.6,4.6168,4.5
900,10.665,0.55,16.6,4.5935,4.5
910,10.683,0.55,16.6,4.576,4.5
920,10.695,0.55,16.6,4.5632,4.5
930,10.703,0.55,16.6,4.5539,4.5
940,10.708,0.55,16.6,4.5471,4.5
950,10.711,0.55,16.6,4.542,4.5
960,10.712,0.55,16.6,4.538,4.5
970,10.712,0.55,16.6,4.5347,4.5
980,10.712,0.55,16.6,4.5319,4.5
990,10.711,0.55,16.6,4.5293,4.5
1000,15.55,0.55,16.6,4.527,4.5
