t,u1,u2,u3,y,ysp
10,15.55,0.55,16.6,7,7
20,15.549,0.55,16.6,7.0015,7
30,15.548,0.55,16.6,7.0013,7
40,15.547,0.55,16.6,7.0011,7
50,15.547,0.55,16.6,7.0009,7
60,15.547,0.55,16.6,7.0007,7
70,15.547,0.55,16.6,7.0004,7
80,15.547,0.55,16.6,7.0002,7
90,15.548,0.55,16.6,7.0001,7
100,15.548,0.55,16.6,6.9999,7
110,16.436,0.55,16.6,6.9998,8
120,17.112,0.55,16.6,6.9997,8
130,17.564,0.55,16.6,7.0521,8
140,17.717,0.55,16.6,7.1493,8
150,17.439,0.55,16.6,7.2915,8
160,17.009,0.55,16.6,7.4766,8
170,16.792,0.55,16.6,7.6649,8
180,16.685,0.55,16.6,7.7995,8
190,16.621,0.55,16.6,7.8887,8
200,16.579,0.55,16.6,7.9471,8
210,16.551,0.55,16.6,7.9833,8
220,16.533,0.55,16.6,8.0037,8
230,16.523,0.55,16.6,8.0136,8
240,16.518,0.55,16.6,8.017,8
250,16.516,0.55,16.6,8.0169,8
260,16.515,0.55,16.6,8.0152,8
270,16.515,0.55,16.6,8.013,8
280,16.515,0.55,16.6,8.0109,8
290,16.516,0.55,16.6,8.009,8
300,16.516,0.55,16.6,8.0074,8
310,15.485,0.55,16.6,8.0062,6.5
320,15.178,0.55,16.6,8.0052,6.5
330,15.179,0.55,16.6,7.743,6.5
340,15.19,0.55,16.6,7.5324,6.5
350,15.106,0.55,16.6,7.3965,6.5
360,14.946,0.55,16.6,7.3004,6.5
370,14.748,0.55,16.6,7.2204,6.5
380,14.543,0.55,16.6,7.1463,6.5
390,14.355,0.55,16.6,7.0748,6.5
400,14.199,0.55,16.6,7.0057,6.5
410,14.082,0.55,16.6,6.9402,6.5
420,14.001,0.55,16.6,6.8792,6.5
430,13.951,0.55,16.6,6.8235,6.5
440,13.926,0.55,16.6,6.7736,6.5
450,13.919,0.55,16.6,6.7294,6.5
460,13.925,0.55,16.6,6.6908,6.5
470,13.94,0.55,16.6,6.6572,6.5
480,13.96,0.55,16.6,6.6284,6.5
490,13.984,0.55,16.6,6.6037,6.5
500,14.008,0.55,16.6,6.5829,6.5
510,15.391,0.55,16.6,6.5654,8
520,16.506,0.55,16.6,6.5508,8
530,17.391,0.55,16.6,6.5864,8
540,18.072,0.55,16.6,6.6605,8
550,18.565,0.55,16.6,6.7672,8
560,18.849,0.55,16.6,6.9071,8
570,18.586,0.55,16.6,7.0896,8
580,17.136,0.55,16.6,7.3418,8
590,16.839,0.55,16.6,7.685,8
600,16.695,0.55,16.6,7.8529,8
610,16.612,0.55,16.6,7.9559,8
620,16.562,0.55,16.6,8.0139,8
630,16.533,0.55,16.6,8.0416,8
640,16.518,0.55,16.6,8.0508,8
650,16.512,0.55,16.6,8.0498,8
660,16.511,0.55,16.6,8.0444,8
670,16.512,0.55,16.6,8.0378,8
680,16.513,0.55,16.6,8.0315,8
690,16.514,0.55,16.6,8.0261,8
700,15.55,0.55,16.6,8.0217,8
