t,s1,s2,s3,s4,s5
1,0,0,8.8818e-15,0,0
2,0.0056658,0.14269,0.03918,0.34194,0.020645
3,0.010933,0.27187,0.074162,0.64452,0.038598
4,0.015829,0.3887,0.10538,0.91106,0.054216
5,0.020379,0.49427,0.13324,1.1452,0.067806
6,0.024609,0.58962,0.15808,1.3504,0.079634
7,0.028539,0.6757,0.18023,1.5301,0.089931
8,0.032191,0.75339,0.19998,1.6875,0.098896
9,0.035585,0.82348,0.21758,1.8252,0.1067
10,0.038739,0.88671,0.23326,1.9458,0.1135
11,0.041669,0.94375,0.24722,2.0515,0.11943
12,0.04439,0.9952,0.25966,2.1442,0.12459
13,0.046919,1.0416,0.27074,2.2255,0.12908
14,0.049268,1.0835,0.28061,2.2968,0.133
15,0.051451,1.1212,0.28939,2.3594,0.13642
16,0.053478,1.1553,0.29721,2.4145,0.13939
17,0.055361,1.186,0.30417,2.4628,0.14198
18,0.057109,1.2137,0.31036,2.5054,0.14424
19,0.058734,1.2387,0.31587,2.5428,0.14621
20,0.060243,1.2613,0.32078,2.5758,0.14793
21,0.061644,1.2817,0.32514,2.6048,0.14942
22,0.062945,1.3,0.32903,2.6304,0.15073
23,0.064154,1.3166,0.33248,2.6529,0.15186
24,0.065276,1.3316,0.33556,2.6728,0.15285
25,0.066319,1.3451,0.33829,2.6903,0.15372
26,0.067287,1.3573,0.34073,2.7057,0.15447
27,0.068186,1.3683,0.34289,2.7194,0.15513
28,0.069021,1.3782,0.34482,2.7314,0.1557
29,0.069796,1.3871,0.34653,2.742,0.1562
30,0.070516,1.3952,0.34806,2.7513,0.15663
31,0.071185,1.4025,0.34941,2.7596,0.15701
32,0.071805,1.4091,0.35062,2.7669,0.15734
33,0.072382,1.4151,0.35169,2.7733,0.15763
34,0.072917,1.4204,0.35264,2.779,0.15788
35,0.073414,1.4253,0.35349,2.784,0.1581
36,0.073876,1.4297,0.35425,2.7884,0.15829
37,0.074304,1.4336,0.35492,2.7923,0.15845
38,0.074702,1.4372,0.35552,2.7958,0.1586
39,0.075072,1.4404,0.35605,2.7988,0.15873
40,0.075415,1.4433,0.35652,2.8015,0.15884
41,0.075733,1.4459,0.35694,2.8039,0.15893
42,0.076029,1.4483,0.35731,2.806,0.15902
43,0.076304,1.4504,0.35765,2.8078,0.15909
44,0.076559,1.4524,0.35794,2.8095,0.15915
45,0.076795,1.4541,0.35821,2.8109,0.15921
46,0.077015,1.4557,0.35844,2.8122,0.15926
47,0.077219,1.4571,0.35865,2.8133,0.1593
48,0.077409,1.4584,0.35883,2.8143,0.15933
49,0.077585,1.4596,0.359,2.8152,0.15937
50,0.077748,1.4606,0.35914,2.816,0.15939
51,0.0779,1.4615,0.35927,2.8166,0.15942
52,0.078041,1.4624,0.35939,2.8172,0.15944
53,0.078172,1.4632,0.35949,2.8178,0.15946
54,0.078293,1.4639,0.35958,2.8183,0.15947
55,0.078406,1.4645,0.35967,2.8187,0.15949
56,0.078511,1.4651,0.35974,2.819,0.1595
57,0.078608,1.4656,0.3598,2.8194,0.15951
58,0.078698,1.466,0.35986,2.8197,0.15952
59,0.078782,1.4665,0.35991,2.8199,0.15953
60,0.07886,1.4668,0.35996,2.8201,0.15954
61,0.078932,1.4672,0.36,2.8203,0.15954
62,0.078999,1.4675,0.36003,2.8205,0.15955
63,0.079061,1.4678,0.36006,2.8207,0.15955
64,0.079119,1.468,0.36009,2.8208,0.15956
65,0.079173,1.4682,0.36012,2.8209,0.15956
66,0.079223,1.4684,0.36014,2.821,0.15956
67,0.079269,1.4686,0.36016,2.8211,0.15957
68,0.079312,1.4688,0.36018,2.8212,0.15957
69,0.079352,1.4689,0.36019,2.8213,0.15957
70,0.079389,1.4691,0.36021,2.8213,0.15957
71,0.079423,1.4692,0.36022,2.8214,0.15957
72,0.079455,1.4693,0.36023,2.8214,0.15958
73,0.079485,1.4694,0.36024,2.8215,0.15958
74,0.079512,1.4695,0.36025,2.8215,0.15958
75,0.079538,1.4696,0.36026,2.8216,0.15958
76,0.079561,1.4697,0.36027,2.8216,0.15958
77,0.079583,1.4697,0.36027,2.8216,0.15958
78,0.079604,1.4698,0.36028,2.8217,0.15958
79,0.079623,1.4698,0.36028,2.8217,0.15958
80,0.079641,1.4699,0.36029,2.8217,0.15958
