t,u1,u2,u3,y,ysp
10,10.94,0.55,16.6,7,5
20,7.2097,0.55,16.6,7.0015,5
30,5.0057,0.55,16.6,6.779,5
40,4.459,0.55,16.6,6.4918,5
50,5.3015,0.55,16.6,6.1956,5
60,7.0089,0.55,16.6,5.8851,5
70,8.9475,0.55,16.6,5.5385,5
80,10.459,0.55,16.6,5.1531,5
90,11.266,0.55,16.6,4.8655,5
100,11.504,0.55,16.6,4.7925,5
110,11.436,0.55,16.6,4.842,5
120,11.275,0.55,16.6,4.9199,5
130,11.137,0.55,16.6,4.9785,5
140,11.057,0.55,16.6,5.0085,5
150,11.028,0.55,16.6,5.017,5
160,11.03,0.55,16.6,5.0144,5
170,11.043,0.55,16.6,5.0082,5
180,11.056,0.55,16.6,5.0029,5
190,11.064,0.55,16.6,4.9997,5
200,11.067,0.55,16.6,4.9986,5
210,11.068,0.55,16.6,4.9987,5
220,11.067,0.55,16.6,4.9992,5
230,11.066,0.55,16.6,4.9997,5
240,11.065,0.55,16.6,5,5
250,11.064,0.55,16.6,5.0001,5
260,11.064,0.55,16.6,5.0001,5
270,11.064,0.55,16.6,5.0001,5
280,11.065,0.55,16.6,5,5
290,11.065,0.55,16.6,5,5
300,11.065,0.55,16.6,5,5
310,11.065,0.55,16.6,5,5
320,11.065,0.55,16.6,5,5
330,11.065,0.55,16.6,5,5
340,11.065,0.55,16.6,5,5
350,11.065,0.55,16.6,5,5
360,11.065,0.55,16.6,5,5
370,11.065,0.55,16.6,5,5
380,11.065,0.55,16.6,5,5
390,11.065,0.55,16.6,5,5
400,11.065,0.55,16.6,5,5
410,11.065,0.55,16.6,5,5
420,11.065,0.55,16.6,5,5
430,11.065,0.55,16.6,5,5
440,11.065,0.55,16.6,5,5
450,11.065,0.55,16.6,5,5
460,11.065,0.55,16.6,5,5
470,11.065,0.55,16.6,5,5
480,11.065,0.55,16.6,5,5
490,11.065,0.55,16.6,5,5
500,11.065,0.55,16.6,5,5
510,17.149,0.55,16.6,5,8
520,22.496,0.55,16.6,5,8
530,24.96,0.55,16.6,5.5573,8
540,24.794,0.55,16.6,6.0504,8
550,22.567,0.55,16.6,6.4623,8
560,19.668,0.55,16.6,6.8821,8
570,17.217,0.55,16.6,7.3917,8
580,16.134,0.55,16.6,8.064,8
590,16.143,0.55,16.6,8.2916,8
600,16.416,0.55,16.6,8.1264,8
610,16.567,0.55,16.6,7.9931,8
620,16.57,0.55,16.6,7.9641,8
630,16.53,0.55,16.6,7.9828,8
640,16.511,0.55,16.6,8.0007,8
650,16.511,0.55,16.6,8.0045,8
660,16.515,0.55,16.6,8.0021,8
670,16.517,0.55,16.6,8,8
680,16.518,0.55,16.6,7.9995,8
690,16.517,0.55,16.6,7.9997,8
700,16.517,0.55,16.6,8,8
710,16.517,0.55,16.6,8.0001,8
720,16.517,0.55,16.6,8,8
730,16.517,0.55,16.6,8,8
740,16.517,0.55,16.6,8,8
750,16.517,0.55,16.6,8,8
760,16.517,0.55,16.6,8,8
770,16.517,0.55,16.6,8,8
780,16.517,0.55,16.6,8,8
790,16.517,0.55,16.6,8,8
800,16.517,0.55,16.6,8,8
810,16.517,0.55,16.6,8,8
820,16.517,0.55,16.6,8,8
830,16.517,0.55,16.6,8,8
840,16.517,0.55,16.6,8,8
850,16.517,0.55,16.6,8,8
860,16.517,0.55,16.6,8,8
870,16.517,0.55,16.6,8,8
880,16.517,0.55,16.6,8,8
890,16.517,0.55,16.6,8,8
900,16.517,0.55,16.6,8,8
910,16.517,0.55,16.6,8,8
920,16.517,0.55,16.6,8,8
930,16.517,0.55,16.6,8,8
940,16.517,0.55,16.6,8,8
950,16.517,0.55,16.6,8,8
960,16.517,0.55,16.6,8,8
970,16.517,0.55,16.6,8,8
980,16.517,0.55,16.6,8,8
990,16.517,0.55,16.6,8,8
1000,16.517,0.55,16.6,8,8
1010,10.988,0.55,16.6,8,4.5
1020,5.8096,0.55,16.6,8,4.5
1030,2.8881,0.55,16.6,7.1962,4.5
1040,1.9037,0.55,16.6,6.6832,4.5
1050,2.7769,0.55,16.6,6.2854,4.5
1060,5.0471,0.55,16.6,5.8853,4.5
1070,7.8073,0.55,16.6,5.3608,4.5
1080,9.8689,0.55,16.6,4.6004,4.5
1090,11.003,0.55,16.6,4.2905,4.5
1100,11.411,0.55,16.6,4.2409,4.5
1110,11.372,0.55,16.6,4.2848,4.5
1120,11.145,0.55,16.6,4.3649,4.5
1130,10.908,0.55,16.6,4.4439,4.5
1140,10.745,0.55,16.6,4.4978,4.5
1150,10.666,0.55,16.6,4.5215,4.5
1160,10.648,0.55,16.6,4.5239,4.5
1170,10.661,0.55,16.6,4.5168,4.5
1180,10.681,0.55,16.6,4.5083,4.5
1190,10.698,0.55,16.6,4.5021,4.5
1200,10.708,0.55,16.6,4.4989,4.5
1210,10.712,0.55,16.6,4.498,4.5
1220,10.712,0.55,16.6,4.4983,4.5
1230,10.71,0.55,16.6,4.499,4.5
1240,10.708,0.55,16.6,4.4996,4.5
1250,10.707,0.55,16.6,4.5,4.5
1260,10.707,0.55,16.6,4.5001,4.5
1270,10.707,0.55,16.6,4.5002,4.5
1280,10.707,0.55,16.6,4.5001,4.5
1290,10.707,0.55,16.6,4.5001,4.5
1300,10.707,0.55,16.6,4.5,4.5
1310,10.707,0.55,16.6,4.5,4.5
1320,10.707,0.55,16.6,4.5,4.5
1330,10.707,0.55,16.6,4.5,4.5
1340,10.707,0.55,16.6,4.5,4.5
1350,10.707,0.55,16.6,4.5,4.5
1360,10.707,0.55,16.6,4.5,4.5
1370,10.707,0.55,16.6,4.5,4.5
1380,10.707,0.55,16.6,4.5,4.5
1390,10.707,0.55,16.6,4.5,4.5
1400,10.707,0.55,16.6,4.5,4.5
1410,10.707,0.55,16.6,4.5,4.5
1420,10.707,0.55,16.6,4.5,4.5
1430,10.707,0.55,16.6,4.5,4.5
1440,10.707,0.55,16.6,4.5,4.5
1450,10.707,0.55,16.6,4.5,4.5
1460,10.707,0.55,16.6,4.5,4.5
1470,10.707,0.55,16.6,4.5,4.5
1480,10.707,0.55,16.6,4.5,4.5
1490,10.707,0.55,16.6,4.5,4.5
1500,10.707,0.55,16.6,4.5,4.5
1510,10.707,0.55,16.6,4.5,4.5
1520,10.707,0.55,16.6,4.5,4.5
1530,10.707,0.55,16.6,4.5,4.5
1540,10.707,0.55,16.6,4.5,4.5
1550,10.707,0.55,16.6,4.5,4.5
1560,10.707,0.55,16.6,4.5,4.5
1570,10.707,0.55,16.6,4.5,4.5
1580,10.707,0.55,16.6,4.5,4.5
1590,10.707,0.55,16.6,4.5,4.5
1600,10.707,0.55,16.6,4.5,4.5
1610,10.707,0.55,16.6,4.5,4.5
1620,10.707,0.55,16.6,4.5,4.5
1630,10.707,0.55,16.6,4.5,4.5
1640,10.707,0.55,16.6,4.5,4.5
1650,10.707,0.55,16.6,4.5,4.5
1660,10.707,0.55,16.6,4.5,4.5
1670,10.707,0.55,16.6,4.5,4.5
1680,10.707,0.55,16.6,4.5,4.5
1690,10.707,0.55,16.6,4.5,4.5
1700,10.707,0.55,16.6,4.5,4.5
1710,10.707,0.55,16.6,4.5,4.5
1720,10.707,0.55,16.6,4.5,4.5
1730,10.707,0.55,16.6,4.5,4.5
1740,10.707,0.55,16.6,4.5,4.5
1750,10.707,0.55,16.6,4.5,4.5
1760,10.707,0.55,16.6,4.5,4.5
1770,10.707,0.55,16.6,4.5,4.5
1780,10.707,0.55,16.6,4.5,4.5
1790,10.707,0.55,16.6,4.5,4.5
1800,10.707,0.55,16.6,4.5,4.5
1810,10.707,0.55,16.6,4.5,4.5
1820,10.707,0.55,16.6,4.5,4.5
1830,10.707,0.55,16.6,4.5,4.5
1840,10.707,0.55,16.6,4.5,4.5
1850,10.707,0.55,16.6,4.5,4.5
1860,10.707,0.55,16.6,4.5,4.5
1870,10.707,0.55,16.6,4.5,4.5
1880,10.707,0.55,16.6,4.5,4.5
