t,u1,u2,u3,y,ysp
10,10.942,0.55,16.6,7,5
20,9.1093,0.55,16.6,7.0015,5
30,7.7336,0.55,16.6,6.7791,5
40,6.8374,0.55,16.6,6.5555,5
50,6.5055,0.55,16.6,6.3362,5
60,6.8562,0.55,16.6,6.1134,5
70,8.0039,0.55,16.6,5.8765,5
80,9.4576,0.55,16.6,5.6186,5
90,10.38,0.55,16.6,5.3638,5
100,10.821,0.55,16.6,5.1803,5
110,11.021,0.55,16.6,5.0851,5
120,11.096,0.55,16.6,5.0469,5
130,11.111,0.55,16.6,5.0369,5
140,11.102,0.55,16.6,5.0373,5
150,11.089,0.55,16.6,5.0397,5
160,11.077,0.55,16.6,5.0407,5
170,11.07,0.55,16.6,5.0399,5
180,11.066,0.55,16.6,5.0376,5
190,11.064,0.55,16.6,5.0347,5
200,11.064,0.55,16.6,5.0315,5
210,11.064,0.55,16.6,5.0284,5
220,11.065,0.55,16.6,5.0256,5
230,11.065,0.55,16.6,5.0231,5
240,11.065,0.55,16.6,5.0209,5
250,11.065,0.55,16.6,5.019,5
260,11.065,0.55,16.6,5.0172,5
270,11.065,0.55,16.6,5.0157,5
280,11.065,0.55,16.6,5.0143,5
290,11.065,0.55,16.6,5.013,5
300,11.065,0.55,16.6,5.0118,5
310,11.065,0.55,16.6,5.0107,5
320,11.065,0.55,16.6,5.0098,5
330,11.065,0.55,16.6,5.0089,5
340,11.065,0.55,16.6,5.008,5
350,11.065,0.55,16.6,5.0073,5
360,11.065,0.55,16.6,5.0066,5
370,11.065,0.55,16.6,5.006,5
380,11.065,0.55,16.6,5.0054,5
390,11.065,0.55,16.6,5.0049,5
400,11.065,0.55,16.6,5.0045,5
410,11.065,0.55,16.6,5.004,5
420,11.065,0.55,16.6,5.0037,5
430,11.065,0.55,16.6,5.0033,5
440,11.065,0.55,16.6,5.003,5
450,11.065,0.55,16.6,5.0027,5
460,11.065,0.55,16.6,5.0025,5
470,11.065,0.55,16.6,5.0022,5
480,11.065,0.55,16.6,5.002,5
490,11.065,0.55,16.6,5.0018,5
500,11.065,0.55,16.6,5.0016,5
510,17.15,0.55,16.6,5.0015,8
520,18.264,0.55,16.6,5.0013,8
530,18.632,0.55,16.6,5.5578,8
540,20.017,0.55,16.6,5.886,8
550,21.358,0.55,16.6,6.1199,8
560,22.188,0.55,16.6,6.3533,8
570,22.219,0.55,16.6,6.6145,8
580,20.986,0.55,16.6,6.9428,8
590,17.808,0.55,16.6,7.4772,8
600,16.073,0.55,16.6,8.6639,8
610,15.964,0.55,16.6,8.8619,8
620,16.199,0.55,16.6,8.7124,8
630,16.383,0.55,16.6,8.5078,8
640,16.475,0.55,16.6,8.3531,8
650,16.505,0.55,16.6,8.2663,8
660,16.506,0.55,16.6,8.2199,8
670,16.502,0.55,16.6,8.1891,8
680,16.501,0.55,16.6,8.1625,8
690,16.502,0.55,16.6,8.1378,8
700,16.504,0.55,16.6,8.1157,8
710,16.507,0.55,16.6,8.0968,8
720,16.509,0.55,16.6,8.081,8
730,16.51,0.55,16.6,8.068,8
