t,u1,u2,u3,y,ysp
10,10.942,0.55,16.6,7,5
20,7.8041,0.55,16.6,7.0015,5
30,6.5144,0.55,16.6,6.7791,5
40,7.3596,0.55,16.6,6.5115,5
50,8.493,0.55,16.6,6.2606,5
60,9.2741,0.55,16.6,6.0587,5
70,9.7164,0.55,16.6,5.8982,5
80,10.049,0.55,16.6,5.7652,5
90,10.339,0.55,16.6,5.6479,5
100,10.579,0.55,16.6,5.5443,5
110,10.759,0.55,16.6,5.4562,5
120,10.882,0.55,16.6,5.3848,5
130,10.959,0.55,16.6,5.3289,5
140,11.004,0.55,16.6,5.2857,5
150,11.028,0.55,16.6,5.2518,5
160,11.041,0.55,16.6,5.2243,5
170,11.047,0.55,16.6,5.2011,5
180,11.051,0.55,16.6,5.1809,5
190,11.054,0.55,16.6,5.1629,5
200,11.056,0.55,16.6,5.1468,5
210,11.058,0.55,16.6,5.1323,5
220,11.059,0.55,16.6,5.1192,5
230,11.06,0.55,16.6,5.1074,5
240,11.061,0.55,16.6,5.0968,5
250,11.062,0.55,16.6,5.0872,5
260,11.063,0.55,16.6,5.0786,5
270,11.063,0.55,16.6,5.0709,5
280,11.063,0.55,16.6,5.064,5
290,11.064,0.55,16.6,5.0577,5
300,11.064,0.55,16.6,5.0521,5
310,11.064,0.55,16.6,5.047,5
320,11.064,0.55,16.6,5.0424,5
330,11.064,0.55,16.6,5.0383,5
340,11.065,0.55,16.6,5.0346,5
350,11.065,0.55,16.6,5.0313,5
360,11.065,0.55,16.6,5.0283,5
370,11.065,0.55,16.6,5.0255,5
380,11.065,0.55,16.6,5.0231,5
390,11.065,0.55,16.6,5.0209,5
400,11.065,0.55,16.6,5.0189,5
410,11.065,0.55,16.6,5.0171,5
420,11.065,0.55,16.6,5.0155,5
430,11.065,0.55,16.6,5.014,5
440,11.065,0.55,16.6,5.0127,5
450,11.065,0.55,16.6,5.0115,5
460,11.065,0.55,16.6,5.0104,5
470,11.065,0.55,16.6,5.0094,5
