t,u1,u2,u3,y,ysp
10,10.942,0.55,16.6,7,5
20,7.4286,0.55,16.6,7.0015,5
30,6.1738,0.55,16.6,6.7791,5
40,6.6221,0.55,16.6,6.499,5
50,6.931,0.55,16.6,6.2391,5
60,8.8604,0.55,16.6,6.0117,5
70,9.2727,0.55,16.6,5.7821,5
80,10.304,0.55,16.6,5.6191,5
90,10.734,0.55,16.6,5.4611,5
100,11.003,0.55,16.6,5.3675,5
110,11.097,0.55,16.6,5.3097,5
120,11.109,0.55,16.6,5.2787,5
130,11.091,0.55,16.6,5.2587,5
140,11.07,0.55,16.6,5.2413,5
150,11.055,0.55,16.6,5.2234,5
160,11.049,0.55,16.6,5.2047,5
170,11.048,0.55,16.6,5.1858,5
180,11.05,0.55,16.6,5.1676,5
190,11.053,0.55,16.6,5.1507,5
200,11.056,0.55,16.6,5.1355,5
210,11.058,0.55,16.6,5.1218,5
220,11.06,0.55,16.6,5.1096,5
230,11.061,0.55,16.6,5.0987,5
240,11.062,0.55,16.6,5.089,5
250,11.063,0.55,16.6,5.0802,5
260,11.063,0.55,16.6,5.0724,5
270,11.063,0.55,16.6,5.0653,5
280,11.064,0.55,16.6,5.059,5
290,11.064,0.55,16.6,5.0532,5
300,11.064,0.55,16.6,5.048,5
310,11.064,0.55,16.6,5.0434,5
320,11.064,0.55,16.6,5.0392,5
330,11.065,0.55,16.6,5.0354,5
340,11.065,0.55,16.6,5.032,5
350,11.065,0.55,16.6,5.0289,5
360,11.065,0.55,16.6,5.0261,5
370,11.065,0.55,16.6,5.0236,5
380,11.065,0.55,16.6,5.0214,5
390,11.065,0.55,16.6,5.0193,5
400,11.065,0.55,16.6,5.0175,5
410,11.065,0.55,16.6,5.0158,5
420,11.065,0.55,16.6,5.0143,5
430,11.065,0.55,16.6,5.013,5
440,11.065,0.55,16.6,5.0118,5
450,11.065,0.55,16.6,5.0107,5
460,11.065,0.55,16.6,5.0097,5
470,11.065,0.55,16.6,5.0088,5
480,11.065,0.55,16.6,5.008,5
490,11.065,0.55,16.6,5.0072,5
500,11.065,0.55,16.6,5.0066,5
510,17.15,0.55,16.6,5.006,8
520,20.936,0.55,16.6,5.0054,8
530,22.954,0.55,16.6,5.5596,8
540,23.228,0.55,16.6,5.9933,8
550,19.849,0.55,16.6,6.3476,8
560,20.505,0.55,16.6,6.6805,8
570,17.207,0.55,16.6,6.9011,8
580,17.291,0.55,16.6,7.2251,8
590,16.852,0.55,16.6,7.3412,8
600,16.544,0.55,16.6,7.4803,8
610,16.57,0.55,16.6,7.5706,8
620,16.538,0.55,16.6,7.6114,8
630,16.551,0.55,16.6,7.655,8
640,16.55,0.55,16.6,7.6904,8
650,16.547,0.55,16.6,7.7263,8
660,16.541,0.55,16.6,7.7599,8
670,16.536,0.55,16.6,7.7904,8
680,16.532,0.55,16.6,7.8174,8
690,16.528,0.55,16.6,7.8409,8
700,16.526,0.55,16.6,7.8614,8
710,16.524,0.55,16.6,7.8791,8
720,16.523,0.55,16.6,7.8946,8
730,16.521,0.55,16.6,7.908,8
740,16.52,0.55,16.6,7.9197,8
750,16.52,0.55,16.6,7.9299,8
760,16.519,0.55,16.6,7.9387,8
770,16.519,0.55,16.6,7.9464,8
780,16.518,0.55,16.6,7.9531,8
790,16.518,0.55,16.6,7.9589,8
800,16.517,0.55,16.6,7.964,8
810,16.517,0.55,16.6,7.9683,8
820,16.517,0.55,16.6,7.972,8
830,16.517,0.55,16.6,7.9752,8
840,16.517,0.55,16.6,7.978,8
850,16.517,0.55,16.6,7.9805,8
860,16.517,0.55,16.6,7.9827,8
870,16.517,0.55,16.6,7.9846,8
880,16.517,0.55,16.6,7.9863,8
890,16.517,0.55,16.6,7.9878,8
900,16.517,0.55,16.6,7.9891,8
910,16.517,0.55,16.6,7.9903,8
920,16.517,0.55,16.6,7.9913,8
930,16.517,0.55,16.6,7.9922,8
940,16.517,0.55,16.6,7.993,8
950,16.517,0.55,16.6,7.9937,8
960,16.517,0.55,16.6,7.9944,8
970,16.517,0.55,16.6,7.9949,8
980,16.517,0.55,16.6,7.9954,8
990,16.517,0.55,16.6,7.9958,8
1000,16.517,0.55,16.6,7.9962,8
1010,10.985,0.55,16.6,7.9965,4.5
1020,8.4737,0.55,16.6,7.9968,4.5
1030,6.278,0.55,16.6,7.1953,4.5
1040,4.14,0.55,16.6,6.7875,4.5
1050,5.4866,0.55,16.6,6.4675,4.5
1060,6.0901,0.55,16.6,6.1462,4.5
1070,7.8656,0.55,16.6,5.8715,4.5
1080,9.2532,0.55,16.6,5.5681,4.5
1090,10.179,0.55,16.6,5.2837,4.5
1100,10.655,0.55,16.6,5.0613,4.5
1110,10.826,0.55,16.6,4.939,4.5
1120,10.839,0.55,16.6,4.888,4.5
1130,10.794,0.55,16.6,4.8655,4.5
1140,10.743,0.55,16.6,4.8469,4.5
1150,10.707,0.55,16.6,4.8236,4.5
1160,10.688,0.55,16.6,4.7952,4.5
1170,10.683,0.55,16.6,4.7644,4.5
1180,10.684,0.55,16.6,4.7341,4.5
1190,10.689,0.55,16.6,4.7063,4.5
1200,10.693,0.55,16.6,4.6817,4.5
1210,10.697,0.55,16.6,4.6604,4.5
1220,10.7,0.55,16.6,4.642,4.5
1230,10.702,0.55,16.6,4.6261,4.5
1240,10.703,0.55,16.6,4.6123,4.5
1250,10.704,0.55,16.6,4.6003,4.5
1260,10.705,0.55,16.6,4.5896,4.5
1270,10.705,0.55,16.6,4.5802,4.5
1280,10.706,0.55,16.6,4.5719,4.5
1290,10.706,0.55,16.6,4.5645,4.5
1300,10.707,0.55,16.6,4.5579,4.5
1310,10.707,0.55,16.6,4.5521,4.5
1320,10.707,0.55,16.6,4.5469,4.5
1330,10.707,0.55,16.6,4.5422,4.5
1340,10.707,0.55,16.6,4.5381,4.5
1350,10.707,0.55,16.6,4.5344,4.5
1360,10.707,0.55,16.6,4.531,4.5
1370,10.707,0.55,16.6,4.528,4.5
1380,10.707,0.55,16.6,4.5253,4.5
1390,10.707,0.55,16.6,4.5229,4.5
1400,10.707,0.55,16.6,4.5207,4.5
1410,10.707,0.55,16.6,4.5187,4.5
1420,10.707,0.55,16.6,4.5169,4.5
1430,10.707,0.55,16.6,4.5153,4.5
1440,10.707,0.55,16.6,4.5139,4.5
1450,10.707,0.55,16.6,4.5126,4.5
1460,10.707,0.55,16.6,4.5114,4.5
1470,10.707,0.55,16.6,4.5104,4.5
1480,10.707,0.55,16.6,4.5094,4.5
1490,10.707,0.55,16.6,4.5085,4.5
1500,10.707,0.55,16.6,4.5078,4.5
1510,10.707,0.55,16.6,4.5071,4.5
1520,10.707,0.55,16.6,4.5064,4.5
1530,10.707,0.55,16.6,4.5059,4.5
1540,10.707,0.55,16.6,4.5053,4.5
1550,10.707,0.55,16.6,4.5049,4.5
1560,10.707,0.55,16.6,4.5045,4.5
1570,10.707,0.55,16.6,4.5041,4.5
1580,10.707,0.55,16.6,4.5037,4.5
1590,10.707,0.55,16.6,4.5034,4.5
1600,10.707,0.55,16.6,4.5031,4.5
1610,10.707,0.55,16.6,4.5029,4.5
1620,10.707,0.55,16.6,4.5027,4.5
1630,10.707,0.55,16.6,4.5025,4.5
1640,10.707,0.55,16.6,4.5023,4.5
1650,10.707,0.55,16.6,4.5021,4.5
1660,10.707,0.55,16.6,4.5019,4.5
1670,10.707,0.55,16.6,4.5018,4.5
1680,10.707,0.55,16.6,4.5017,4.5
1690,10.707,0.55,16.6,4.5016,4.5
1700,10.707,0.55,16.6,4.5015,4.5
1710,10.707,0.55,16.6,4.5014,4.5
1720,10.707,0.55,16.6,4.5013,4.5
1730,10.707,0.55,16.6,4.5012,4.5
1740,10.707,0.55,16.6,4.5012,4.5
1750,10.707,0.55,16.6,4.5011,4.5
1760,10.707,0.55,16.6,4.501,4.5
1770,10.707,0.55,16.6,4.501,4.5
1780,10.707,0.55,16.6,4.5009,4.5
1790,10.707,0.55,16.6,4.5009,4.5
1800,10.707,0.55,16.6,4.5008,4.5
1810,10.707,0.55,16.6,4.5008,4.5
1820,10.707,0.55,16.6,4.5007,4.5
1830,10.707,0.55,16.6,4.5006,4.5
1840,10.707,0.55,16.6,4.5005,4.5
1850,10.707,0.55,16.6,4.5004,4.5
1860,10.707,0.55,16.6,4.5003,4.5
1870,10.707,0.55,16.6,4.5003,4.5
1880,10.707,0.55,16.6,4.5002,4.5
1890,10.707,0.55,16.6,4.5002,4.5
