t,u1,u2,u3,y,ysp
10,13.804,0.55,16.6,7,5
20,12.535,0.55,16.6,7.0015,5
30,11.465,0.55,16.6,6.9088,5
40,10.592,0.55,16.6,6.7801,5
50,9.9185,0.55,16.6,6.6395,5
60,9.4154,0.55,16.6,6.4974,5
70,9.0745,0.55,16.6,6.3568,5
80,9.0695,0.55,16.6,6.2168,5
90,9.7669,0.55,16.6,6.0756,5
100,10.306,0.55,16.6,5.9378,5
110,10.575,0.55,16.6,5.8277,5
120,10.7,0.55,16.6,5.7417,5
130,10.757,0.55,16.6,5.6697,5
140,10.78,0.55,16.6,5.6055,5
150,10.791,0.55,16.6,5.5457,5
160,10.799,0.55,16.6,5.4886,5
170,10.808,0.55,16.6,5.4333,5
180,10.821,0.55,16.6,5.3798,5
190,10.839,0.55,16.6,5.3283,5
200,10.86,0.55,16.6,5.2794,5
210,10.884,0.55,16.6,5.2339,5
220,10.91,0.55,16.6,5.1924,5
230,10.936,0.55,16.6,5.1556,5
240,10.961,0.55,16.6,5.1239,5
250,10.984,0.55,16.6,5.0973,5
260,11.005,0.55,16.6,5.0757,5
270,11.022,0.55,16.6,5.0586,5
280,11.035,0.55,16.6,5.0455,5
290,11.046,0.55,16.6,5.0356,5
300,11.054,0.55,16.6,5.0284,5
310,13.443,0.55,16.6,5.0233,8
320,14.766,0.55,16.6,5.0196,8
330,15.39,0.55,16.6,5.2831,8
340,15.673,0.55,16.6,5.5479,8
350,15.828,0.55,16.6,5.7516,8
360,15.953,0.55,16.6,5.91,8
370,16.17,0.55,16.6,6.0394,8
380,16.768,0.55,16.6,6.1503,8
390,17.573,0.55,16.6,6.2525,8
400,18.297,0.55,16.6,6.3619,8
410,18.867,0.55,16.6,6.4881,8
420,19.277,0.55,16.6,6.6335,8
430,19.51,0.55,16.6,6.8035,8
440,19.301,0.55,16.6,7.0126,8
450,17.809,0.55,16.6,7.2988,8
460,17.221,0.55,16.6,7.7511,8
470,16.876,0.55,16.6,8.1383,8
480,16.654,0.55,16.6,8.36,8
490,16.533,0.55,16.6,8.4345,8
500,16.477,0.55,16.6,8.4293,8
510,16.459,0.55,16.6,8.3863,8
520,16.459,0.55,16.6,8.3286,8
530,16.469,0.55,16.6,8.2698,8
540,16.481,0.55,16.6,8.2176,8
550,16.492,0.55,16.6,8.1749,8
560,16.499,0.55,16.6,8.1416,8
570,16.505,0.55,16.6,8.116,8
580,16.508,0.55,16.6,8.0963,8
590,16.51,0.55,16.6,8.0807,8
600,16.511,0.55,16.6,8.0681,8
610,16.512,0.55,16.6,8.0578,8
620,16.513,0.55,16.6,8.0491,8
630,16.514,0.55,16.6,8.0418,8
640,16.514,0.55,16.6,8.0356,8
650,16.515,0.55,16.6,8.0304,8
660,16.515,0.55,16.6,8.026,8
670,16.516,0.55,16.6,8.0222,8
680,16.516,0.55,16.6,8.0191,8
690,16.516,0.55,16.6,8.0164,8
700,16.516,0.55,16.6,8.0142,8
710,14.11,0.55,16.6,8.0122,4.5
720,13.388,0.55,16.6,8.0106,4.5
730,13.311,0.55,16.6,7.5137,4.5
740,12.895,0.55,16.6,7.2176,4.5
750,11.563,0.55,16.6,7.038,4.5
760,10.255,0.55,16.6,6.8918,4.5
770,9.1861,0.55,16.6,6.7277,4.5
780,8.3643,0.55,16.6,6.5561,4.5
790,7.7713,0.55,16.6,6.383,4.5
800,7.7145,0.55,16.6,6.2067,4.5
810,8.7454,0.55,16.6,6.0203,4.5
820,9.347,0.55,16.6,5.826,4.5
830,9.6487,0.55,16.6,5.6617,4.5
840,9.8121,0.55,16.6,5.5142,4.5
850,9.9204,0.55,16.6,5.3712,4.5
860,10.017,0.55,16.6,5.2258,4.5
870,10.122,0.55,16.6,5.077,4.5
880,10.24,0.55,16.6,4.9326,4.5
890,10.36,0.55,16.6,4.8062,4.5
900,10.469,0.55,16.6,4.7083,4.5
910,10.556,0.55,16.6,4.6394,4.5
920,10.622,0.55,16.6,4.594,4.5
930,10.667,0.55,16.6,4.5656,4.5
940,10.696,0.55,16.6,4.5485,4.5
950,10.713,0.55,16.6,4.5388,4.5
960,10.722,0.55,16.6,4.5336,4.5
970,10.725,0.55,16.6,4.531,4.5
980,10.726,0.55,16.6,4.5297,4.5
990,10.724,0.55,16.6,4.529,4.5
1000,10.722,0.55,16.6,4.5284,4.5
1010,10.719,0.55,16.6,4.5277,4.5
1020,10.717,0.55,16.6,4.5268,4.5
1030,10.715,0.55,16.6,4.5256,4.5
1040,10.713,0.55,16.6,4.5243,4.5
1050,10.711,0.55,16.6,4.5228,4.5
1060,10.71,0.55,16.6,4.5213,4.5
1070,10.71,0.55,16.6,4.5198,4.5
1080,10.709,0.55,16.6,4.5183,4.5
1090,10.709,0.55,16.6,4.5168,4.5
1100,10.709,0.55,16.6,4.5154,4.5
1110,10.709,0.55,16.6,4.5142,4.5
1120,10.709,0.55,16.6,4.513,4.5
1130,10.708,0.55,16.6,4.5119,4.5
1140,10.708,0.55,16.6,4.511,4.5
1150,10.708,0.55,16.6,4.5101,4.5
1160,10.708,0.55,16.6,4.5093,4.5
1170,10.708,0.55,16.6,4.5085,4.5
1180,10.708,0.55,16.6,4.5078,4.5
1190,10.708,0.55,16.6,4.5072,4.5
1200,15.55,0.55,16.6,4.5066,4.5
