t,u1,u2,u3,y,ysp
10,10.694,0.55,16.6,7,5
20,8.3266,0.55,16.6,7.0015,5
30,6.8986,0.55,16.6,6.7688,5
40,6.179,0.55,16.6,6.5215,5
50,6.0781,0.55,16.6,6.2813,5
60,6.665,0.55,16.6,6.038,5
70,8.1131,0.55,16.6,5.7739,5
80,9.7727,0.55,16.6,5.4729,5
90,10.712,0.55,16.6,5.1757,5
100,11.126,0.55,16.6,5.0038,5
110,11.255,0.55,16.6,4.9562,5
120,11.245,0.55,16.6,4.9688,5
130,11.189,0.55,16.6,4.9972,5
140,11.135,0.55,16.6,5.0211,5
150,11.096,0.55,16.6,5.0351,5
160,11.074,0.55,16.6,5.0407,5
170,11.064,0.55,16.6,5.0409,5
180,11.061,0.55,16.6,5.0382,5
190,11.061,0.55,16.6,5.0345,5
200,11.062,0.55,16.6,5.0307,5
210,11.064,0.55,16.6,5.0273,5
220,11.065,0.55,16.6,5.0244,5
230,11.065,0.55,16.6,5.0219,5
240,11.066,0.55,16.6,5.0198,5
250,11.066,0.55,16.6,5.018,5
260,11.065,0.55,16.6,5.0163,5
270,11.065,0.55,16.6,5.0149,5
280,11.065,0.55,16.6,5.0136,5
290,11.065,0.55,16.6,5.0123,5
300,11.065,0.55,16.6,5.0112,5
310,11.065,0.55,16.6,5.0102,5
320,11.065,0.55,16.6,5.0093,5
330,11.065,0.55,16.6,5.0084,5
340,11.065,0.55,16.6,5.0077,5
350,11.065,0.55,16.6,5.007,5
360,11.065,0.55,16.6,5.0063,5
370,11.065,0.55,16.6,5.0057,5
380,11.065,0.55,16.6,5.0052,5
390,11.065,0.55,16.6,5.0047,5
400,11.065,0.55,16.6,5.0043,5
410,11.065,0.55,16.6,5.0039,5
420,11.065,0.55,16.6,5.0035,5
430,11.065,0.55,16.6,5.0032,5
440,11.065,0.55,16.6,5.0029,5
450,11.065,0.55,16.6,5.0026,5
460,11.065,0.55,16.6,5.0023,5
470,11.065,0.55,16.6,5.0021,5
480,11.065,0.55,16.6,5.0019,5
490,11.065,0.55,16.6,5.0017,5
500,11.065,0.55,16.6,5.0016,5
510,17.164,0.55,16.6,5.0014,8
