t,u1,u2,u3,y,ysp
10,10.942,0.55,16.6,7,5
20,7.4465,0.55,16.6,7.0015,5
30,5.5843,0.55,16.6,6.7791,5
40,5.4358,0.55,16.6,6.4996,5
50,6.4928,0.55,16.6,6.2209,5
60,8.1645,0.55,16.6,5.9498,5
70,9.81,0.55,16.6,5.6891,5
80,10.869,0.55,16.6,5.4663,5
90,11.29,0.55,16.6,5.3314,5
100,11.319,0.55,16.6,5.2868,5
110,11.205,0.55,16.6,5.2845,5
120,11.091,0.55,16.6,5.2851,5
130,11.026,0.55,16.6,5.2749,5
140,11.009,0.55,16.6,5.2545,5
150,11.017,0.55,16.6,5.2291,5
160,11.033,0.55,16.6,5.2036,5
170,11.047,0.55,16.6,5.1807,5
180,11.055,0.55,16.6,5.1611,5
190,11.059,0.55,16.6,5.1446,5
200,11.06,0.55,16.6,5.1304,5
210,11.061,0.55,16.6,5.1178,5
220,11.061,0.55,16.6,5.1064,5
230,11.061,0.55,16.6,5.0961,5
240,11.062,0.55,16.6,5.0867,5
250,11.063,0.55,16.6,5.0782,5
260,11.063,0.55,16.6,5.0705,5
270,11.064,0.55,16.6,5.0636,5
280,11.064,0.55,16.6,5.0574,5
290,11.064,0.55,16.6,5.0518,5
300,11.064,0.55,16.6,5.0468,5
310,11.064,0.55,16.6,5.0422,5
320,11.064,0.55,16.6,5.0381,5
330,11.065,0.55,16.6,5.0345,5
340,11.065,0.55,16.6,5.0311,5
350,11.065,0.55,16.6,5.0281,5
360,11.065,0.55,16.6,5.0254,5
370,11.065,0.55,16.6,5.023,5
380,11.065,0.55,16.6,5.0208,5
390,11.065,0.55,16.6,5.0188,5
400,11.065,0.55,16.6,5.017,5
410,11.065,0.55,16.6,5.0154,5
420,11.065,0.55,16.6,5.014,5
430,11.065,0.55,16.6,5.0126,5
440,11.065,0.55,16.6,5.0115,5
450,11.065,0.55,16.6,5.0104,5
460,11.065,0.55,16.6,5.0094,5
470,11.065,0.55,16.6,5.0085,5
480,11.065,0.55,16.6,5.0078,5
490,11.065,0.55,16.6,5.007,5
500,11.065,0.55,16.6,5.0064,5
510,17.15,0.55,16.6,5.0058,8
520,22.149,0.55,16.6,5.0053,8
530,24.498,0.55,16.6,5.5595,8
540,24.057,0.55,16.6,6.0388,8
550,21.572,0.55,16.6,6.4366,8
560,18.75,0.55,16.6,6.8152,8
570,16.783,0.55,16.6,7.1822,8
580,16.251,0.55,16.6,7.4615,8
590,16.381,0.55,16.6,7.5408,8
600,16.588,0.55,16.6,7.5386,8
610,16.647,0.55,16.6,7.5559,8
620,16.6,0.55,16.6,7.6047,8
630,16.557,0.55,16.6,7.6624,8
640,16.543,0.55,16.6,7.7096,8
650,16.54,0.55,16.6,7.7457,8
660,16.537,0.55,16.6,7.7764,8
670,16.534,0.55,16.6,7.804,8
680,16.53,0.55,16.6,7.829,8
690,16.527,0.55,16.6,7.8511,8
700,16.525,0.55,16.6,7.8703,8
710,16.523,0.55,16.6,7.8869,8
720,16.522,0.55,16.6,7.9013,8
730,16.521,0.55,16.6,7.9139,8
740,16.52,0.55,16.6,7.9248,8
750,16.519,0.55,16.6,7.9343,8
760,16.519,0.55,16.6,7.9426,8
770,16.518,0.55,16.6,7.9498,8
780,16.518,0.55,16.6,7.9561,8
790,16.518,0.55,16.6,7.9615,8
800,16.517,0.55,16.6,7.9662,8
810,16.517,0.55,16.6,7.9703,8
820,16.517,0.55,16.6,7.9738,8
830,16.517,0.55,16.6,7.9767,8
840,16.517,0.55,16.6,7.9793,8
850,16.517,0.55,16.6,7.9816,8
860,16.517,0.55,16.6,7.9836,8
870,16.517,0.55,16.6,7.9855,8
880,16.517,0.55,16.6,7.9871,8
890,16.517,0.55,16.6,7.9885,8
900,16.517,0.55,16.6,7.9897,8
910,16.517,0.55,16.6,7.9908,8
920,16.517,0.55,16.6,7.9918,8
930,16.517,0.55,16.6,7.9927,8
940,16.517,0.55,16.6,7.9934,8
950,16.517,0.55,16.6,7.9941,8
960,16.517,0.55,16.6,7.9946,8
970,16.517,0.55,16.6,7.9951,8
980,16.517,0.55,16.6,7.9956,8
990,16.517,0.55,16.6,7.996,8
1000,16.517,0.55,16.6,7.9963,8
1010,10.988,0.55,16.6,7.9966,4.5
1020,5.8917,0.55,16.6,7.9969,4.5
1030,3.3293,0.55,16.6,7.1955,4.5
1040,2.9468,0.55,16.6,6.6859,4.5
1050,4.3347,0.55,16.6,6.3012,4.5
1060,6.7667,0.55,16.6,5.9424,4.5
1070,9.1007,0.55,16.6,5.5613,4.5
1080,10.516,0.55,16.6,5.1633,4.5
1090,11.118,0.55,16.6,4.8988,4.5
1100,11.193,0.55,16.6,4.8312,4.5
1110,11.027,0.55,16.6,4.8557,4.5
1120,10.828,0.55,16.6,4.8883,4.5
1130,10.693,0.55,16.6,4.8941,4.5
1140,10.637,0.55,16.6,4.8713,4.5
1150,10.634,0.55,16.6,4.8314,4.5
1160,10.653,0.55,16.6,4.7871,4.5
1170,10.675,0.55,16.6,4.7468,4.5
1180,10.691,0.55,16.6,4.7135,4.5
1190,10.699,0.55,16.6,4.6868,4.5
1200,10.702,0.55,16.6,4.6652,4.5
1210,10.703,0.55,16.6,4.6471,4.5
1220,10.703,0.55,16.6,4.6314,4.5
1230,10.703,0.55,16.6,4.6174,4.5
1240,10.703,0.55,16.6,4.6049,4.5
1250,10.704,0.55,16.6,4.5938,4.5
1260,10.705,0.55,16.6,4.5839,4.5
1270,10.705,0.55,16.6,4.5751,4.5
1280,10.706,0.55,16.6,4.5673,4.5
1290,10.706,0.55,16.6,4.5604,4.5
1300,10.707,0.55,16.6,4.5542,4.5
1310,10.707,0.55,16.6,4.5488,4.5
1320,10.707,0.55,16.6,4.5439,4.5
1330,10.707,0.55,16.6,4.5396,4.5
1340,10.707,0.55,16.6,4.5358,4.5
1350,10.707,0.55,16.6,4.5323,4.5
1360,10.707,0.55,16.6,4.5292,4.5
1370,10.707,0.55,16.6,4.5264,4.5
1380,10.707,0.55,16.6,4.5238,4.5
1390,10.707,0.55,16.6,4.5215,4.5
1400,10.707,0.55,16.6,4.5195,4.5
1410,10.707,0.55,16.6,4.5176,4.5
1420,10.707,0.55,16.6,4.5159,4.5
1430,10.707,0.55,16.6,4.5144,4.5
1440,10.707,0.55,16.6,4.5131,4.5
1450,10.707,0.55,16.6,4.5119,4.5
1460,10.707,0.55,16.6,4.5108,4.5
1470,10.707,0.55,16.6,4.5098,4.5
1480,10.707,0.55,16.6,4.5089,4.5
1490,10.707,0.55,16.6,4.5081,4.5
1500,10.707,0.55,16.6,4.5073,4.5
1510,10.707,0.55,16.6,4.5067,4.5
1520,10.707,0.55,16.6,4.5061,4.5
1530,10.707,0.55,16.6,4.5055,4.5
1540,10.707,0.55,16.6,4.5051,4.5
1550,10.707,0.55,16.6,4.5046,4.5
1560,10.707,0.55,16.6,4.5042,4.5
1570,10.707,0.55,16.6,4.5039,4.5
1580,10.707,0.55,16.6,4.5035,4.5
1590,10.707,0.55,16.6,4.5033,4.5
1600,10.707,0.55,16.6,4.503,4.5
1610,10.707,0.55,16.6,4.5028,4.5
1620,10.707,0.55,16.6,4.5025,4.5
1630,10.707,0.55,16.6,4.5023,4.5
1640,10.707,0.55,16.6,4.5022,4.5
1650,10.707,0.55,16.6,4.502,4.5
1660,10.707,0.55,16.6,4.5019,4.5
1670,10.707,0.55,16.6,4.5017,4.5
1680,10.707,0.55,16.6,4.5016,4.5
1690,10.707,0.55,16.6,4.5015,4.5
1700,10.707,0.55,16.6,4.5014,4.5
1710,10.707,0.55,16.6,4.5013,4.5
1720,10.707,0.55,16.6,4.5013,4.5
1730,10.707,0.55,16.6,4.5012,4.5
1740,10.707,0.55,16.6,4.5011,4.5
1750,10.707,0.55,16.6,4.5011,4.5
1760,10.707,0.55,16.6,4.501,4.5
1770,10.707,0.55,16.6,4.501,4.5
1780,10.707,0.55,16.6,4.5009,4.5
1790,10.707,0.55,16.6,4.5009,4.5
1800,10.707,0.55,16.6,4.5008,4.5
1810,10.707,0.55,16.6,4.5007,4.5
1820,10.707,0.55,16.6,4.5007,4.5
1830,10.707,0.55,16.6,4.5006,4.5
1840,10.707,0.55,16.6,4.5005,4.5
1850,10.707,0.55,16.6,4.5004,4.5
1860,10.707,0.55,16.6,4.5003,4.5
1870,10.707,0.55,16.6,4.5002,4.5
1880,10.707,0.55,16.6,4.5002,4.5
1890,10.707,0.55,16.6,4.5002,4.5
1900,10.707,0.55,16.6,4.5002,4.5
1910,10.707,0.55,16.6,4.5002,4.5
1920,10.707,0.55,16.6,4.5001,4.5
1930,10.707,0.55,16.6,4.5001,4.5
1940,10.707,0.55,16.6,4.5001,4.5
1950,10.707,0.55,16.6,4.5001,4.5
1960,10.707,0.55,16.6,4.5001,4.5
1970,10.707,0.55,16.6,4.5001,4.5
1980,10.707,0.55,16.6,4.5001,4.5
1990,10.707,0.55,16.6,4.5001,4.5
2000,15.55,0.55,16.6,4.5001,4.5
