t,u1,u2,u3,y,ysp
10,11.163,0.55,16.6,7,5
20,8.6497,0.55,16.6,7.0015,5
30,7.6869,0.55,16.6,6.7884,5
40,7.8532,0.55,16.6,6.5466,5
50,8.0247,0.55,16.6,6.3273,5
60,8.6251,0.55,16.6,6.1388,5
70,8.757,0.55,16.6,5.9617,5
80,8.8864,0.55,16.6,5.8027,5
90,9.3329,0.55,16.6,5.6365,5
100,9.8419,0.55,16.6,5.4537,5
110,10.387,0.55,16.6,5.2738,5
120,10.783,0.55,16.6,5.1205,5
130,11,0.55,16.6,5.0258,5
140,11.088,0.55,16.6,4.9863,5
150,11.106,0.55,16.6,4.979,5
160,11.097,0.55,16.6,4.9842,5
170,11.083,0.55,16.6,4.9913,5
180,11.072,0.55,16.6,4.9964,5
190,11.067,0.55,16.6,4.9992,5
200,11.064,0.55,16.6,5.0003,5
210,11.064,0.55,16.6,5.0005,5
220,11.064,0.55,16.6,5.0004,5
230,11.064,0.55,16.6,5.0002,5
240,11.064,0.55,16.6,5.0001,5
250,11.065,0.55,16.6,5,5
260,11.065,0.55,16.6,5,5
270,11.065,0.55,16.6,5,5
280,11.065,0.55,16.6,5,5
290,11.065,0.55,16.6,5,5
300,11.065,0.55,16.6,5,5
310,11.065,0.55,16.6,5,5
320,11.065,0.55,16.6,5,5
330,11.065,0.55,16.6,5,5
340,11.065,0.55,16.6,5,5
350,11.065,0.55,16.6,5,5
360,11.065,0.55,16.6,5,5
370,11.065,0.55,16.6,5,5
380,11.065,0.55,16.6,5,5
390,11.065,0.55,16.6,5,5
400,11.065,0.55,16.6,5,5
410,11.065,0.55,16.6,5,5
420,11.065,0.55,16.6,5,5
430,11.065,0.55,16.6,5,5
440,11.065,0.55,16.6,5,5
450,11.065,0.55,16.6,5,5
460,11.065,0.55,16.6,5,5
470,11.065,0.55,16.6,5,5
480,11.065,0.55,16.6,5,5
490,11.065,0.55,16.6,5,5
500,11.065,0.55,16.6,5,5
510,18.86,0.55,16.6,5,8
520,20.813,0.55,16.6,5,8
530,21.374,0.55,16.6,5.6581,8
540,21.288,0.55,16.6,6.0444,8
550,19.506,0.55,16.6,6.3355,8
560,19.752,0.55,16.6,6.5942,8
570,17.98,0.55,16.6,6.79,8
580,18.448,0.55,16.6,7.0246,8
590,18.424,0.55,16.6,7.184,8
600,17.553,0.55,16.6,7.427,8
610,16.488,0.55,16.6,7.7948,8
620,16.346,0.55,16.6,8.1113,8
630,16.444,0.55,16.6,8.0886,8
640,16.507,0.55,16.6,8.0239,8
650,16.523,0.55,16.6,7.999,8
660,16.521,0.55,16.6,7.9962,8
670,16.518,0.55,16.6,7.9984,8
680,16.517,0.55,16.6,7.9998,8
690,16.517,0.55,16.6,8.0001,8
700,16.517,0.55,16.6,8.0001,8
710,16.517,0.55,16.6,8,8
720,16.517,0.55,16.6,8,8
730,16.517,0.55,16.6,8,8
740,16.517,0.55,16.6,8,8
750,16.517,0.55,16.6,8,8
760,16.517,0.55,16.6,8,8
770,16.517,0.55,16.6,8,8
780,16.517,0.55,16.6,8,8
790,16.517,0.55,16.6,8,8
800,16.517,0.55,16.6,8,8
810,16.517,0.55,16.6,8,8
820,16.517,0.55,16.6,8,8
830,16.517,0.55,16.6,8,8
840,16.517,0.55,16.6,8,8
850,16.517,0.55,16.6,8,8
860,16.517,0.55,16.6,8,8
870,16.517,0.55,16.6,8,8
880,16.517,0.55,16.6,8,8
890,16.517,0.55,16.6,8,8
900,16.517,0.55,16.6,8,8
910,16.517,0.55,16.6,8,8
920,16.517,0.55,16.6,8,8
930,16.517,0.55,16.6,8,8
940,16.517,0.55,16.6,8,8
950,16.517,0.55,16.6,8,8
960,16.517,0.55,16.6,8,8
970,16.517,0.55,16.6,8,8
980,16.517,0.55,16.6,8,8
990,16.517,0.55,16.6,8,8
1000,16.517,0.55,16.6,8,8
1010,8.8153,0.55,16.6,8,4.5
1020,8.576,0.55,16.6,8,4.5
1030,7.0611,0.55,16.6,7.0502,4.5
1040,6.1217,0.55,16.6,6.7143,4.5
1050,6.8581,0.55,16.6,6.44,4.5
1060,6.7839,0.55,16.6,6.1857,4.5
1070,7.3485,0.55,16.6,5.9662,4.5
1080,7.477,0.55,16.6,5.7231,4.5
1090,8.4154,0.55,16.6,5.4523,4.5
1100,9.5238,0.55,16.6,5.073,4.5
1110,10.252,0.55,16.6,4.7028,4.5
1120,10.611,0.55,16.6,4.529,4.5
1130,10.749,0.55,16.6,4.4738,4.5
1140,10.778,0.55,16.6,4.4656,4.5
1150,10.766,0.55,16.6,4.4734,4.5
1160,10.744,0.55,16.6,4.484,4.5
1170,10.726,0.55,16.6,4.4921,4.5
1180,10.714,0.55,16.6,4.4971,4.5
