t,u1,u2,u3,y,ysp
10,10.942,0.55,16.6,7,5
20,8.1743,0.55,16.6,7.0015,5
30,6.8834,0.55,16.6,6.7791,5
40,6.7487,0.55,16.6,6.5238,5
50,6.7576,0.55,16.6,6.2828,5
60,7.9808,0.55,16.6,6.0592,5
70,7.9533,0.55,16.6,5.8276,5
80,9.1594,0.55,16.6,5.6221,5
90,9.7269,0.55,16.6,5.3644,5
100,10.318,0.55,16.6,5.1483,5
110,10.843,0.55,16.6,4.9679,5
120,11.216,0.55,16.6,4.8675,5
130,11.402,0.55,16.6,4.8493,5
140,11.425,0.55,16.6,4.8859,5
150,11.348,0.55,16.6,4.9442,5
160,11.234,0.55,16.6,4.9982,5
170,11.128,0.55,16.6,5.0352,5
180,11.053,0.55,16.6,5.0534,5
190,11.012,0.55,16.6,5.0563,5
200,11,0.55,16.6,5.0495,5
210,11.008,0.55,16.6,5.0381,5
220,11.026,0.55,16.6,5.0261,5
230,11.046,0.55,16.6,5.0163,5
240,11.062,0.55,16.6,5.0097,5
250,11.072,0.55,16.6,5.0062,5
260,11.076,0.55,16.6,5.0052,5
270,11.076,0.55,16.6,5.0057,5
280,11.074,0.55,16.6,5.0067,5
290,11.07,0.55,16.6,5.0075,5
300,11.067,0.55,16.6,5.008,5
310,11.064,0.55,16.6,5.0079,5
320,11.063,0.55,16.6,5.0074,5
330,11.063,0.55,16.6,5.0066,5
340,11.063,0.55,16.6,5.0058,5
350,11.064,0.55,16.6,5.005,5
360,11.064,0.55,16.6,5.0043,5
370,11.065,0.55,16.6,5.0037,5
380,11.065,0.55,16.6,5.0033,5
390,11.065,0.55,16.6,5.003,5
400,11.065,0.55,16.6,5.0027,5
410,11.065,0.55,16.6,5.0025,5
420,11.065,0.55,16.6,5.0023,5
430,11.065,0.55,16.6,5.0021,5
440,11.065,0.55,16.6,5.002,5
450,11.065,0.55,16.6,5.0018,5
460,11.065,0.55,16.6,5.0016,5
470,11.065,0.55,16.6,5.0014,5
480,11.065,0.55,16.6,5.0013,5
490,11.065,0.55,16.6,5.0012,5
500,11.065,0.55,16.6,5.001,5
510,17.15,0.55,16.6,5.0009,8
520,20.467,0.55,16.6,5.0009,8
530,21.908,0.55,16.6,5.5576,8
540,23.216,0.55,16.6,5.9742,8
550,22.003,0.55,16.6,6.2977,8
560,22.259,0.55,16.6,6.6285,8
570,22.065,0.55,16.6,6.9507,8
580,18.721,0.55,16.6,7.5003,8
590,16.297,0.55,16.6,8.895,8
600,14.824,0.55,16.6,9.1121,8
610,14.971,0.55,16.6,9.0236,8
620,15.602,0.55,16.6,8.6709,8
630,16.297,0.55,16.6,8.1301,8
640,16.784,0.55,16.6,7.8482,8
650,16.95,0.55,16.6,7.8107,8
660,16.872,0.55,16.6,7.8979,8
670,16.667,0.55,16.6,8.0355,8
680,16.459,0.55,16.6,8.1467,8
690,16.346,0.55,16.6,8.1794,8
700,16.353,0.55,16.6,8.138,8
710,16.433,0.55,16.6,8.0656,8
720,16.521,0.55,16.6,8.0068,8
730,16.573,0.55,16.6,7.981,8
740,16.58,0.55,16.6,7.9844,8
750,16.556,0.55,16.6,8.0031,8
760,16.523,0.55,16.6,8.0221,8
770,16.498,0.55,16.6,8.0316,8
780,16.491,0.55,16.6,8.0296,8
790,16.498,0.55,16.6,8.0204,8
800,16.51,0.55,16.6,8.0101,8
810,16.521,0.55,16.6,8.003,8
820,16.526,0.55,16.6,8.0006,8
830,16.525,0.55,16.6,8.0017,8
840,16.521,0.55,16.6,8.0042,8
850,16.516,0.55,16.6,8.0062,8
860,16.514,0.55,16.6,8.0066,8
870,16.514,0.55,16.6,8.0056,8
880,16.515,0.55,16.6,8.0041,8
890,16.517,0.55,16.6,8.0026,8
900,16.518,0.55,16.6,8.0017,8
910,16.518,0.55,16.6,8.0014,8
920,16.518,0.55,16.6,8.0015,8
930,16.517,0.55,16.6,8.0017,8
940,16.517,0.55,16.6,8.0018,8
950,16.516,0.55,16.6,8.0017,8
960,16.517,0.55,16.6,8.0014,8
970,16.517,0.55,16.6,8.0011,8
980,16.517,0.55,16.6,8.0008,8
990,16.517,0.55,16.6,8.0007,8
1000,16.517,0.55,16.6,8.0006,8
1010,10.988,0.55,16.6,8.0006,4.5
1020,8.8357,0.55,16.6,8.0006,4.5
1030,6.4179,0.55,16.6,7.1964,4.5
1040,4.1861,0.55,16.6,6.8033,4.5
1050,5.3264,0.55,16.6,6.4829,4.5
1060,4.5656,0.55,16.6,6.1616,4.5
1070,6.6165,0.55,16.6,5.882,4.5
1080,7.5517,0.55,16.6,5.4867,4.5
1090,8.6395,0.55,16.6,5.0215,4.5
1100,9.8149,0.55,16.6,4.5421,4.5
1110,10.616,0.55,16.6,4.3249,4.5
1120,11.055,0.55,16.6,4.2649,4.5
1130,11.244,0.55,16.6,4.2763,4.5
1140,11.263,0.55,16.6,4.324,4.5
1150,11.179,0.55,16.6,4.3891,4.5
1160,11.041,0.55,16.6,4.4568,4.5
1170,10.893,0.55,16.6,4.5143,4.5
1180,10.766,0.55,16.6,4.5531,4.5
1190,10.679,0.55,16.6,4.5709,4.5
1200,10.636,0.55,16.6,4.5712,4.5
1210,10.627,0.55,16.6,4.5606,4.5
1220,10.64,0.55,16.6,4.5459,4.5
1230,10.662,0.55,16.6,4.5317,4.5
1240,10.685,0.55,16.6,4.5206,4.5
1250,10.703,0.55,16.6,4.5134,4.5
1260,10.714,0.55,16.6,4.5095,4.5
1270,10.72,0.55,16.6,4.5081,4.5
1280,10.721,0.55,16.6,4.5081,4.5
1290,10.72,0.55,16.6,4.5088,4.5
1300,10.717,0.55,16.6,4.5096,4.5
1310,10.713,0.55,16.6,4.5102,4.5
1320,10.71,0.55,16.6,4.5103,4.5
1330,10.707,0.55,16.6,4.5101,4.5
1340,10.706,0.55,16.6,4.5095,4.5
1350,10.704,0.55,16.6,4.5086,4.5
1360,10.704,0.55,16.6,4.5076,4.5
1370,10.704,0.55,16.6,4.5066,4.5
1380,10.704,0.55,16.6,4.5056,4.5
1390,10.706,0.55,16.6,4.5047,4.5
1400,10.707,0.55,16.6,4.5039,4.5
1410,10.707,0.55,16.6,4.5034,4.5
1420,10.708,0.55,16.6,4.503,4.5
1430,10.708,0.55,16.6,4.5027,4.5
1440,10.708,0.55,16.6,4.5026,4.5
1450,10.707,0.55,16.6,4.5024,4.5
1460,10.707,0.55,16.6,4.5023,4.5
1470,10.707,0.55,16.6,4.5021,4.5
1480,10.707,0.55,16.6,4.5019,4.5
1490,10.707,0.55,16.6,4.5017,4.5
1500,10.707,0.55,16.6,4.5015,4.5
1510,10.707,0.55,16.6,4.5014,4.5
1520,10.707,0.55,16.6,4.5012,4.5
1530,10.707,0.55,16.6,4.5011,4.5
1540,10.707,0.55,16.6,4.501,4.5
1550,10.707,0.55,16.6,4.5009,4.5
1560,10.707,0.55,16.6,4.5008,4.5
1570,10.707,0.55,16.6,4.5007,4.5
1580,10.707,0.55,16.6,4.5007,4.5
1590,10.707,0.55,16.6,4.5006,4.5
1600,10.707,0.55,16.6,4.5006,4.5
1610,10.707,0.55,16.6,4.5005,4.5
1620,10.707,0.55,16.6,4.5005,4.5
1630,10.707,0.55,16.6,4.5004,4.5
1640,10.707,0.55,16.6,4.5004,4.5
1650,10.707,0.55,16.6,4.5003,4.5
1660,10.707,0.55,16.6,4.5003,4.5
1670,10.707,0.55,16.6,4.5003,4.5
1680,10.707,0.55,16.6,4.5002,4.5
1690,10.707,0.55,16.6,4.5002,4.5
1700,10.707,0.55,16.6,4.5002,4.5
1710,10.707,0.55,16.6,4.5002,4.5
1720,10.707,0.55,16.6,4.5002,4.5
1730,10.707,0.55,16.6,4.5001,4.5
1740,10.707,0.55,16.6,4.5001,4.5
1750,10.707,0.55,16.6,4.5001,4.5
1760,10.707,0.55,16.6,4.5001,4.5
1770,10.707,0.55,16.6,4.5002,4.5
1780,10.706,0.55,16.6,4.5002,4.5
1790,10.705,0.55,16.6,4.5001,4.5
1800,10.704,0.55,16.6,4.5,4.5
1810,10.704,0.55,16.6,4.4997,4.5
1820,10.705,0.55,16.6,4.4994,4.5
1830,10.706,0.55,16.6,4.4991,4.5
1840,10.707,0.55,16.6,4.4989,4.5
1850,10.708,0.55,16.6,4.4989,4.5
1860,10.708,0.55,16.6,4.4989,4.5
1870,10.709,0.55,16.6,4.4991,4.5
1880,10.709,0.55,16.6,4.4993,4.5
1890,10.708,0.55,16.6,4.4996,4.5
1900,10.708,0.55,16.6,4.4998,4.5
1910,10.708,0.55,16.6,4.5,4.5
1920,10.707,0.55,16.6,4.5001,4.5
1930,10.707,0.55,16.6,4.5002,4.5
1940,10.707,0.55,16.6,4.5002,4.5
1950,10.707,0.55,16.6,4.5002,4.5
1960,10.707,0.55,16.6,4.5001,4.5
1970,10.707,0.55,16.6,4.5001,4.5
1980,10.707,0.55,16.6,4.5,4.5
1990,10.707,0.55,16.6,4.5,4.5
2000,15.55,0.55,16.6,4.5,4.5
