t,u1,u2,u3,y,ysp
10,10.942,0.55,16.6,7,5
20,7.588,0.55,16.6,7.0015,5
30,7.0343,0.55,16.6,6.7791,5
40,6.2551,0.55,16.6,6.5043,5
50,7.5757,0.55,16.6,6.2709,5
60,8.1657,0.55,16.6,6.0304,5
70,9.2712,0.55,16.6,5.8309,5
80,10.14,0.55,16.6,5.6361,5
90,10.705,0.55,16.6,5.4803,5
100,10.991,0.55,16.6,5.3742,5
110,11.096,0.55,16.6,5.3138,5
120,11.111,0.55,16.6,5.2814,5
130,11.092,0.55,16.6,5.2611,5
140,11.07,0.55,16.6,5.2437,5
150,11.055,0.55,16.6,5.2257,5
160,11.048,0.55,16.6,5.2068,5
170,11.047,0.55,16.6,5.1877,5
180,11.05,0.55,16.6,5.1694,5
190,11.053,0.55,16.6,5.1523,5
200,11.056,0.55,16.6,5.1368,5
210,11.058,0.55,16.6,5.123,5
220,11.06,0.55,16.6,5.1107,5
230,11.061,0.55,16.6,5.0997,5
240,11.062,0.55,16.6,5.0898,5
250,11.063,0.55,16.6,5.081,5
260,11.063,0.55,16.6,5.0731,5
270,11.063,0.55,16.6,5.066,5
280,11.064,0.55,16.6,5.0595,5
290,11.064,0.55,16.6,5.0537,5
300,11.064,0.55,16.6,5.0485,5
310,11.064,0.55,16.6,5.0438,5
320,11.064,0.55,16.6,5.0396,5
330,11.065,0.55,16.6,5.0357,5
340,11.065,0.55,16.6,5.0323,5
350,11.065,0.55,16.6,5.0292,5
360,11.065,0.55,16.6,5.0264,5
370,11.065,0.55,16.6,5.0238,5
380,11.065,0.55,16.6,5.0216,5
390,11.065,0.55,16.6,5.0195,5
400,11.065,0.55,16.6,5.0176,5
410,11.065,0.55,16.6,5.016,5
420,11.065,0.55,16.6,5.0145,5
430,11.065,0.55,16.6,5.0131,5
440,11.065,0.55,16.6,5.0119,5
450,11.065,0.55,16.6,5.0108,5
460,11.065,0.55,16.6,5.0097,5
470,11.065,0.55,16.6,5.0088,5
480,11.065,0.55,16.6,5.008,5
490,11.065,0.55,16.6,5.0073,5
500,11.065,0.55,16.6,5.0066,5
510,17.15,0.55,16.6,5.006,8
520,20.985,0.55,16.6,5.0055,8
530,23.171,0.55,16.6,5.5596,8
540,20.895,0.55,16.6,5.9951,8
550,21.635,0.55,16.6,6.3563,8
560,19.192,0.55,16.6,6.6003,8
570,18.442,0.55,16.6,6.8964,8
580,17.376,0.55,16.6,7.1192,8
590,16.773,0.55,16.6,7.3399,8
600,16.56,0.55,16.6,7.49,8
610,16.528,0.55,16.6,7.5683,8
620,16.542,0.55,16.6,7.6119,8
