t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.064,0.55,16.6,7.0015,5
30,10.705,0.55,16.6,6.906,5
40,9.7411,0.55,16.6,6.7584,5
50,9.1215,0.55,16.6,6.5954,5
60,8.7877,0.55,16.6,6.4333,5
70,8.6937,0.55,16.6,6.2757,5
80,8.7983,0.55,16.6,6.1216,5
90,9.06,0.55,16.6,5.9694,5
100,9.4318,0.55,16.6,5.8184,5
110,9.8587,0.55,16.6,5.6699,5
120,10.278,0.55,16.6,5.5287,5
130,10.632,0.55,16.6,5.4039,5
140,10.887,0.55,16.6,5.3055,5
150,11.044,0.55,16.6,5.2387,5
160,11.121,0.55,16.6,5.1999,5
170,11.145,0.55,16.6,5.1802,5
180,11.139,0.55,16.6,5.1704,5
190,11.119,0.55,16.6,5.1641,5
200,11.097,0.55,16.6,5.1577,5
210,11.078,0.55,16.6,5.1496,5
220,11.065,0.55,16.6,5.1398,5
230,11.058,0.55,16.6,5.1286,5
240,11.055,0.55,16.6,5.117,5
250,11.055,0.55,16.6,5.1054,5
260,11.056,0.55,16.6,5.0945,5
270,11.058,0.55,16.6,5.0844,5
280,11.06,0.55,16.6,5.0755,5
290,11.062,0.55,16.6,5.0676,5
300,11.063,0.55,16.6,5.0606,5
310,11.064,0.55,16.6,5.0546,5
320,11.064,0.55,16.6,5.0492,5
330,11.065,0.55,16.6,5.0444,5
340,11.065,0.55,16.6,5.0401,5
350,11.065,0.55,16.6,5.0363,5
360,11.065,0.55,16.6,5.0328,5
370,11.065,0.55,16.6,5.0297,5
380,11.065,0.55,16.6,5.0269,5
390,11.065,0.55,16.6,5.0243,5
400,11.065,0.55,16.6,5.022,5
410,11.065,0.55,16.6,5.0199,5
420,11.065,0.55,16.6,5.018,5
430,11.065,0.55,16.6,5.0163,5
440,11.065,0.55,16.6,5.0147,5
450,11.065,0.55,16.6,5.0133,5
460,11.065,0.55,16.6,5.0121,5
470,11.065,0.55,16.6,5.011,5
