t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.275,0.55,16.6,7.0015,5
30,11.072,0.55,16.6,6.906,5
40,10.15,0.55,16.6,6.7671,5
50,9.6165,0.55,16.6,6.6152,5
60,9.487,0.55,16.6,6.4629,5
70,9.5622,0.55,16.6,6.3173,5
80,9.7153,0.55,16.6,6.1833,5
90,9.8806,0.55,16.6,6.0605,5
100,10.032,0.55,16.6,5.9474,5
110,10.167,0.55,16.6,5.8422,5
120,10.297,0.55,16.6,5.7432,5
130,10.426,0.55,16.6,5.6495,5
140,10.554,0.55,16.6,5.5613,5
150,10.675,0.55,16.6,5.4797,5
160,10.782,0.55,16.6,5.4064,5
170,10.87,0.55,16.6,5.343,5
180,10.937,0.55,16.6,5.2901,5
190,10.985,0.55,16.6,5.2472,5
200,11.018,0.55,16.6,5.2131,5
210,11.038,0.55,16.6,5.1861,5
220,11.051,0.55,16.6,5.1645,5
230,11.058,0.55,16.6,5.1468,5
240,11.061,0.55,16.6,5.1319,5
250,11.063,0.55,16.6,5.1191,5
260,11.063,0.55,16.6,5.1077,5
270,11.063,0.55,16.6,5.0975,5
280,11.063,0.55,16.6,5.0882,5
290,11.063,0.55,16.6,5.0798,5
300,11.063,0.55,16.6,5.0721,5
310,11.063,0.55,16.6,5.0652,5
320,11.064,0.55,16.6,5.0588,5
330,11.064,0.55,16.6,5.0531,5
340,11.064,0.55,16.6,5.0479,5
350,11.064,0.55,16.6,5.0433,5
360,11.064,0.55,16.6,5.039,5
370,11.064,0.55,16.6,5.0352,5
380,11.065,0.55,16.6,5.0318,5
390,11.065,0.55,16.6,5.0288,5
400,11.065,0.55,16.6,5.026,5
410,11.065,0.55,16.6,5.0235,5
420,11.065,0.55,16.6,5.0212,5
430,11.065,0.55,16.6,5.0192,5
440,11.065,0.55,16.6,5.0174,5
450,11.065,0.55,16.6,5.0157,5
460,11.065,0.55,16.6,5.0142,5
470,11.065,0.55,16.6,5.0129,5
480,11.065,0.55,16.6,5.0117,5
490,11.065,0.55,16.6,5.0106,5
500,11.065,0.55,16.6,5.0096,5
510,14.244,0.55,16.6,5.0087,8
520,16.476,0.55,16.6,5.0079,8
530,18.23,0.55,16.6,5.348,8
540,19.343,0.55,16.6,5.6838,8
550,19.267,0.55,16.6,5.9632,8
560,18.746,0.55,16.6,6.2032,8
570,18.187,0.55,16.6,6.4008,8
580,17.739,0.55,16.6,6.5655,8
590,17.448,0.55,16.6,6.7056,8
600,17.285,0.55,16.6,6.8276,8
610,17.185,0.55,16.6,6.9379,8
620,17.107,0.55,16.6,7.0424,8
630,17.035,0.55,16.6,7.1444,8
640,16.963,0.55,16.6,7.2454,8
650,16.889,0.55,16.6,7.3456,8
660,16.812,0.55,16.6,7.4438,8
670,16.737,0.55,16.6,7.5377,8
680,16.67,0.55,16.6,7.6238,8
690,16.616,0.55,16.6,7.6984,8
700,16.576,0.55,16.6,7.759,8
710,16.55,0.55,16.6,7.8054,8
720,16.536,0.55,16.6,7.8397,8
730,16.528,0.55,16.6,7.8651,8
740,16.525,0.55,16.6,7.8844,8
750,16.523,0.55,16.6,7.9,8
760,16.522,0.55,16.6,7.913,8
770,16.521,0.55,16.6,7.9243,8
780,16.52,0.55,16.6,7.9341,8
790,16.52,0.55,16.6,7.9427,8
800,16.519,0.55,16.6,7.9501,8
810,16.518,0.55,16.6,7.9565,8
820,16.518,0.55,16.6,7.9621,8
830,16.518,0.55,16.6,7.9668,8
840,16.517,0.55,16.6,7.9709,8
850,16.517,0.55,16.6,7.9744,8
860,16.517,0.55,16.6,7.9775,8
870,16.517,0.55,16.6,7.9801,8
880,16.517,0.55,16.6,7.9825,8
890,16.517,0.55,16.6,7.9845,8
900,16.517,0.55,16.6,7.9862,8
910,16.517,0.55,16.6,7.9878,8
920,16.517,0.55,16.6,7.9891,8
930,16.517,0.55,16.6,7.9903,8
940,16.517,0.55,16.6,7.9913,8
950,16.517,0.55,16.6,7.9922,8
960,16.517,0.55,16.6,7.993,8
970,16.517,0.55,16.6,7.9937,8
980,16.517,0.55,16.6,7.9944,8
990,16.517,0.55,16.6,7.9949,8
1000,16.517,0.55,16.6,7.9954,8
1010,12.551,0.55,16.6,7.9958,4.5
1020,9.8568,0.55,16.6,7.9962,4.5
1030,8.2173,0.55,16.6,7.3295,4.5
1040,7.6181,0.55,16.6,6.913,4.5
1050,7.6403,0.55,16.6,6.617,4.5
1060,7.8873,0.55,16.6,6.3827,4.5
1070,8.2155,0.55,16.6,6.183,4.5
1080,8.556,0.55,16.6,6.001,4.5
1090,8.8838,0.55,16.6,5.8267,4.5
1100,9.2065,0.55,16.6,5.6525,4.5
1110,9.5334,0.55,16.6,5.4724,4.5
1120,9.8556,0.55,16.6,5.2843,4.5
1130,10.152,0.55,16.6,5.0961,4.5
1140,10.4,0.55,16.6,4.93,4.5
1150,10.586,0.55,16.6,4.808,4.5
1160,10.707,0.55,16.6,4.7323,4.5
1170,10.771,0.55,16.6,4.6913,4.5
1180,10.793,0.55,16.6,4.6714,4.5
1190,10.789,0.55,16.6,4.6624,4.5
1200,10.773,0.55,16.6,4.6573,4.5
1210,10.754,0.55,16.6,4.6521,4.5
1220,10.736,0.55,16.6,4.6453,4.5
1230,10.723,0.55,16.6,4.6366,4.5
1240,10.713,0.55,16.6,4.6265,4.5
1250,10.707,0.55,16.6,4.6156,4.5
1260,10.704,0.55,16.6,4.6046,4.5
1270,10.702,0.55,16.6,4.594,4.5
1280,10.702,0.55,16.6,4.5841,4.5
1290,10.703,0.55,16.6,4.575,4.5
1300,10.704,0.55,16.6,4.5669,4.5
1310,10.705,0.55,16.6,4.5598,4.5
1320,10.706,0.55,16.6,4.5535,4.5
1330,10.706,0.55,16.6,4.5479,4.5
1340,10.707,0.55,16.6,4.543,4.5
1350,10.707,0.55,16.6,4.5387,4.5
1360,10.707,0.55,16.6,4.5348,4.5
1370,10.707,0.55,16.6,4.5314,4.5
1380,10.707,0.55,16.6,4.5284,4.5
1390,10.707,0.55,16.6,4.5256,4.5
1400,10.707,0.55,16.6,4.5232,4.5
1410,10.707,0.55,16.6,4.521,4.5
1420,10.707,0.55,16.6,4.519,4.5
1430,10.707,0.55,16.6,4.5172,4.5
1440,10.707,0.55,16.6,4.5156,4.5
1450,10.707,0.55,16.6,4.5141,4.5
1460,10.707,0.55,16.6,4.5128,4.5
1470,10.707,0.55,16.6,4.5116,4.5
1480,10.707,0.55,16.6,4.5105,4.5
1490,10.707,0.55,16.6,4.5096,4.5
1500,10.707,0.55,16.6,4.5087,4.5
1510,10.707,0.55,16.6,4.5079,4.5
1520,10.707,0.55,16.6,4.5072,4.5
1530,10.707,0.55,16.6,4.5065,4.5
1540,10.707,0.55,16.6,4.506,4.5
1550,10.707,0.55,16.6,4.5054,4.5
1560,10.707,0.55,16.6,4.505,4.5
