t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,11.953,0.55,16.6,7.0015,5
30,10.642,0.55,16.6,6.906,5
40,9.9329,0.55,16.6,6.7538,5
50,9.4497,0.55,16.6,6.5897,5
60,9.4308,0.55,16.6,6.4349,5
70,9.1538,0.55,16.6,6.2875,5
80,9.5267,0.55,16.6,6.154,5
90,9.4082,0.55,16.6,6.018,5
100,9.7981,0.55,16.6,5.8981,5
110,9.8787,0.55,16.6,5.7713,5
120,10.177,0.55,16.6,5.6587,5
130,10.388,0.55,16.6,5.5449,5
140,10.61,0.55,16.6,5.4452,5
150,10.786,0.55,16.6,5.3579,5
160,10.915,0.55,16.6,5.2889,5
170,11.001,0.55,16.6,5.2377,5
180,11.052,0.55,16.6,5.2019,5
190,11.077,0.55,16.6,5.1774,5
200,11.086,0.55,16.6,5.1602,5
210,11.086,0.55,16.6,5.1472,5
220,11.081,0.55,16.6,5.1364,5
230,11.076,0.55,16.6,5.1264,5
240,11.071,0.55,16.6,5.1168,5
250,11.067,0.55,16.6,5.1074,5
260,11.064,0.55,16.6,5.0981,5
270,11.063,0.55,16.6,5.0893,5
280,11.062,0.55,16.6,5.0809,5
290,11.062,0.55,16.6,5.073,5
300,11.062,0.55,16.6,5.0658,5
310,11.063,0.55,16.6,5.0593,5
320,11.063,0.55,16.6,5.0534,5
330,11.064,0.55,16.6,5.0481,5
340,11.064,0.55,16.6,5.0433,5
350,11.064,0.55,16.6,5.039,5
360,11.064,0.55,16.6,5.0352,5
370,11.065,0.55,16.6,5.0318,5
380,11.065,0.55,16.6,5.0287,5
390,11.065,0.55,16.6,5.026,5
400,11.065,0.55,16.6,5.0235,5
410,11.065,0.55,16.6,5.0212,5
420,11.065,0.55,16.6,5.0192,5
430,11.065,0.55,16.6,5.0174,5
440,11.065,0.55,16.6,5.0157,5
450,11.065,0.55,16.6,5.0143,5
460,11.065,0.55,16.6,5.0129,5
470,11.065,0.55,16.6,5.0117,5
480,11.065,0.55,16.6,5.0106,5
490,11.065,0.55,16.6,5.0096,5
500,11.065,0.55,16.6,5.0087,5
510,14.244,0.55,16.6,5.0079,8
520,16.912,0.55,16.6,5.0072,8
530,18.868,0.55,16.6,5.3475,8
540,19.858,0.55,16.6,5.7062,8
550,19.553,0.55,16.6,6.0022,8
560,19.816,0.55,16.6,6.2511,8
570,18.76,0.55,16.6,6.4535,8
580,18.993,0.55,16.6,6.6567,8
590,17.93,0.55,16.6,6.8232,8
600,17.966,0.55,16.6,7.0189,8
610,17.18,0.55,16.6,7.1736,8
620,17.062,0.55,16.6,7.3596,8
630,16.745,0.55,16.6,7.4865,8
640,16.614,0.55,16.6,7.611,8
650,16.531,0.55,16.6,7.6869,8
660,16.506,0.55,16.6,7.7359,8
670,16.507,0.55,16.6,7.7646,8
680,16.516,0.55,16.6,7.7856,8
690,16.524,0.55,16.6,7.805,8
700,16.528,0.55,16.6,7.8248,8
710,16.529,0.55,16.6,7.8447,8
720,16.527,0.55,16.6,7.8639,8
730,16.525,0.55,16.6,7.8815,8
740,16.523,0.55,16.6,7.8971,8
750,16.522,0.55,16.6,7.9107,8
760,16.521,0.55,16.6,7.9223,8
770,16.52,0.55,16.6,7.9323,8
780,16.519,0.55,16.6,7.9409,8
790,16.518,0.55,16.6,7.9483,8
