t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.049,0.55,16.6,7.0015,5
30,10.923,0.55,16.6,6.906,5
40,10.127,0.55,16.6,6.7578,5
50,9.8137,0.55,16.6,6.6027,5
60,9.355,0.55,16.6,6.4519,5
70,9.4826,0.55,16.6,6.3141,5
80,9.2711,0.55,16.6,6.176,5
90,9.4549,0.55,16.6,6.0508,5
100,9.5295,0.55,16.6,5.9207,5
110,9.7759,0.55,16.6,5.7967,5
120,10.057,0.55,16.6,5.6712,5
130,10.35,0.55,16.6,5.5519,5
140,10.603,0.55,16.6,5.4437,5
150,10.799,0.55,16.6,5.3532,5
160,10.934,0.55,16.6,5.2835,5
170,11.018,0.55,16.6,5.2338,5
180,11.064,0.55,16.6,5.2001,5
190,11.085,0.55,16.6,5.1776,5
200,11.09,0.55,16.6,5.1617,5
210,11.087,0.55,16.6,5.1495,5
220,11.081,0.55,16.6,5.1389,5
230,11.075,0.55,16.6,5.1288,5
240,11.069,0.55,16.6,5.119,5
250,11.065,0.55,16.6,5.1092,5
260,11.063,0.55,16.6,5.0997,5
270,11.062,0.55,16.6,5.0905,5
280,11.062,0.55,16.6,5.0819,5
290,11.062,0.55,16.6,5.0739,5
300,11.062,0.55,16.6,5.0665,5
310,11.063,0.55,16.6,5.0599,5
320,11.063,0.55,16.6,5.0539,5
330,11.064,0.55,16.6,5.0485,5
340,11.064,0.55,16.6,5.0437,5
350,11.064,0.55,16.6,5.0394,5
360,11.065,0.55,16.6,5.0356,5
370,11.065,0.55,16.6,5.0321,5
380,11.065,0.55,16.6,5.029,5
390,11.065,0.55,16.6,5.0262,5
400,11.065,0.55,16.6,5.0237,5
410,11.065,0.55,16.6,5.0215,5
420,11.065,0.55,16.6,5.0194,5
430,11.065,0.55,16.6,5.0176,5
440,11.065,0.55,16.6,5.0159,5
450,11.065,0.55,16.6,5.0144,5
460,11.065,0.55,16.6,5.013,5
470,11.065,0.55,16.6,5.0118,5
480,11.065,0.55,16.6,5.0107,5
490,11.065,0.55,16.6,5.0097,5
500,11.065,0.55,16.6,5.0088,5
510,14.244,0.55,16.6,5.008,8
520,16.749,0.55,16.6,5.0073,8
530,18.303,0.55,16.6,5.3476,8
540,18.825,0.55,16.6,5.6979,8
550,19.068,0.55,16.6,5.9753,8
560,19.399,0.55,16.6,6.1952,8
570,18.641,0.55,16.6,6.3871,8
580,18.859,0.55,16.6,6.5758,8
590,18.16,0.55,16.6,6.7343,8
600,18.059,0.55,16.6,6.9114,8
610,17.602,0.55,16.6,7.0683,8
620,17.243,0.55,16.6,7.2413,8
630,16.891,0.55,16.6,7.4018,8
640,16.664,0.55,16.6,7.5432,8
650,16.557,0.55,16.6,7.6432,8
660,16.523,0.55,16.6,7.7035,8
670,16.52,0.55,16.6,7.74,8
680,16.526,0.55,16.6,7.7666,8
690,16.53,0.55,16.6,7.7906,8
700,16.532,0.55,16.6,7.8139,8
710,16.53,0.55,16.6,7.8364,8
720,16.528,0.55,16.6,7.8573,8
730,16.526,0.55,16.6,7.8759,8
740,16.524,0.55,16.6,7.8923,8
750,16.522,0.55,16.6,7.9064,8
760,16.521,0.55,16.6,7.9186,8
770,16.52,0.55,16.6,7.9291,8
780,16.519,0.55,16.6,7.9381,8
790,16.519,0.55,16.6,7.9459,8
800,16.518,0.55,16.6,7.9527,8
810,16.518,0.55,16.6,7.9586,8
820,16.518,0.55,16.6,7.9637,8
830,16.517,0.55,16.6,7.9681,8
840,16.517,0.55,16.6,7.9719,8
850,16.517,0.55,16.6,7.9752,8
860,16.517,0.55,16.6,7.9781,8
870,16.517,0.55,16.6,7.9806,8
880,16.517,0.55,16.6,7.9828,8
890,16.517,0.55,16.6,7.9847,8
900,16.517,0.55,16.6,7.9864,8
910,16.517,0.55,16.6,7.9879,8
920,16.517,0.55,16.6,7.9892,8
930,16.517,0.55,16.6,7.9904,8
940,16.517,0.55,16.6,7.9914,8
950,16.517,0.55,16.6,7.9923,8
960,16.517,0.55,16.6,7.9931,8
970,16.517,0.55,16.6,7.9938,8
980,16.517,0.55,16.6,7.9944,8
990,16.517,0.55,16.6,7.9949,8
1000,16.517,0.55,16.6,7.9954,8
1010,12.547,0.55,16.6,7.9958,4.5
1020,10.841,0.55,16.6,7.9962,4.5
1030,9.3749,0.55,16.6,7.3291,4.5
1040,8.6837,0.55,16.6,6.9628,4.5
