t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.031,0.55,16.6,7.0015,5
30,10.637,0.55,16.6,6.906,5
40,9.6409,0.55,16.6,6.757,5
50,8.9967,0.55,16.6,6.592,5
60,8.6454,0.55,16.6,6.4273,5
70,8.5399,0.55,16.6,6.2664,5
80,8.6388,0.55,16.6,6.1081,5
90,8.9018,0.55,16.6,5.9501,5
100,9.2851,0.55,16.6,5.7911,5
110,9.7378,0.55,16.6,5.6314,5
120,10.196,0.55,16.6,5.476,5
130,10.592,0.55,16.6,5.3359,5
140,10.885,0.55,16.6,5.2262,5
150,11.068,0.55,16.6,5.1558,5
160,11.16,0.55,16.6,5.1211,5
170,11.189,0.55,16.6,5.1104,5
180,11.18,0.55,16.6,5.1115,5
190,11.153,0.55,16.6,5.1159,5
200,11.124,0.55,16.6,5.1187,5
210,11.097,0.55,16.6,5.1183,5
220,11.078,0.55,16.6,5.1143,5
230,11.065,0.55,16.6,5.1076,5
240,11.059,0.55,16.6,5.0993,5
250,11.057,0.55,16.6,5.0901,5
260,11.057,0.55,16.6,5.081,5
270,11.059,0.55,16.6,5.0724,5
280,11.061,0.55,16.6,5.0646,5
290,11.062,0.55,16.6,5.0577,5
300,11.064,0.55,16.6,5.0517,5
310,11.065,0.55,16.6,5.0465,5
320,11.065,0.55,16.6,5.042,5
330,11.065,0.55,16.6,5.038,5
340,11.065,0.55,16.6,5.0344,5
350,11.065,0.55,16.6,5.0312,5
360,11.065,0.55,16.6,5.0283,5
370,11.065,0.55,16.6,5.0257,5
380,11.065,0.55,16.6,5.0233,5
390,11.065,0.55,16.6,5.0211,5
400,11.065,0.55,16.6,5.0191,5
410,11.065,0.55,16.6,5.0173,5
420,11.065,0.55,16.6,5.0157,5
430,11.065,0.55,16.6,5.0142,5
440,11.065,0.55,16.6,5.0129,5
450,11.065,0.55,16.6,5.0117,5
460,11.065,0.55,16.6,5.0106,5
470,11.065,0.55,16.6,5.0096,5
480,11.065,0.55,16.6,5.0088,5
490,11.065,0.55,16.6,5.008,5
500,11.065,0.55,16.6,5.0072,5
510,14.244,0.55,16.6,5.0066,8
520,17.335,0.55,16.6,5.006,8
530,19.342,0.55,16.6,5.3468,8
540,20.234,0.55,16.6,5.7272,8
550,20.403,0.55,16.6,6.0336,8
560,20.219,0.55,16.6,6.2888,8
570,19.814,0.55,16.6,6.5176,8
580,19.234,0.55,16.6,6.739,8
590,18.534,0.55,16.6,6.967,8
600,17.785,0.55,16.6,7.2123,8
610,17.076,0.55,16.6,7.4773,8
620,16.545,0.55,16.6,7.7333,8
630,16.318,0.55,16.6,7.893,8
640,16.335,0.55,16.6,7.9122,8
650,16.428,0.55,16.6,7.8692,8
660,16.5,0.55,16.6,7.8374,8
670,16.534,0.55,16.6,7.8325,8
680,16.54,0.55,16.6,7.8459,8
690,16.533,0.55,16.6,7.8665,8
700,16.524,0.55,16.6,7.8869,8
710,16.518,0.55,16.6,7.9034,8
720,16.516,0.55,16.6,7.916,8
730,16.516,0.55,16.6,7.9257,8
740,16.517,0.55,16.6,7.9337,8
750,16.517,0.55,16.6,7.9408,8
760,16.517,0.55,16.6,7.9474,8
770,16.517,0.55,16.6,7.9534,8
780,16.517,0.55,16.6,7.9588,8
790,16.517,0.55,16.6,7.9636,8
800,16.517,0.55,16.6,7.9678,8
810,16.517,0.55,16.6,7.9715,8
