t,u1,u2,u3,y,ysp
10,13.745,0.55,16.6,7,5
20,12.003,0.55,16.6,7.0015,5
30,10.561,0.55,16.6,6.9059,5
40,9.4953,0.55,16.6,6.7559,5
50,8.7841,0.55,16.6,6.5884,5
60,8.3775,0.55,16.6,6.4196,5
70,8.2288,0.55,16.6,6.2528,5
80,8.2967,0.55,16.6,6.0861,5
90,8.5413,0.55,16.6,5.916,5
100,8.9233,0.55,16.6,5.7384,5
110,9.4006,0.55,16.6,5.5505,5
120,9.9129,0.55,16.6,5.3537,5
130,10.382,0.55,16.6,5.1622,5
140,10.75,0.55,16.6,5.0075,5
150,10.999,0.55,16.6,4.9143,5
160,11.141,0.55,16.6,4.8787,5
170,11.202,0.55,16.6,4.8815,5
180,11.211,0.55,16.6,4.9041,5
190,11.19,0.55,16.6,4.9328,5
200,11.157,0.55,16.6,4.9595,5
210,11.124,0.55,16.6,4.9804,5
220,11.097,0.55,16.6,4.9947,5
230,11.077,0.55,16.6,5.0031,5
240,11.064,0.55,16.6,5.007,5
250,11.057,0.55,16.6,5.0079,5
260,11.055,0.55,16.6,5.007,5
270,11.055,0.55,16.6,5.0054,5
280,11.057,0.55,16.6,5.0036,5
290,11.059,0.55,16.6,5.002,5
300,11.061,0.55,16.6,5.0009,5
310,14.243,0.55,16.6,5.0001,8
320,17.447,0.55,16.6,4.9997,8
330,19.52,0.55,16.6,5.343,8
340,20.42,0.55,16.6,5.7309,8
350,20.588,0.55,16.6,6.0425,8
360,20.403,0.55,16.6,6.3022,8
370,19.993,0.55,16.6,6.5368,8
380,19.405,0.55,16.6,6.7672,8
390,18.694,0.55,16.6,7.0111,8
400,17.919,0.55,16.6,7.2868,8
410,17.15,0.55,16.6,7.6142,8
420,16.536,0.55,16.6,7.9704,8
430,16.298,0.55,16.6,8.1765,8
440,16.338,0.55,16.6,8.1616,8
450,16.442,0.55,16.6,8.0701,8
460,16.511,0.55,16.6,8.0061,8
470,16.537,0.55,16.6,7.9829,8
480,16.536,0.55,16.6,7.9832,8
490,16.527,0.55,16.6,7.9911,8
500,16.519,0.55,16.6,7.998,8
510,16.515,0.55,16.6,8.0012,8
520,16.515,0.55,16.6,8.0018,8
530,16.516,0.55,16.6,8.0011,8
540,16.517,0.55,16.6,8.0004,8
550,16.517,0.55,16.6,7.9999,8
560,16.517,0.55,16.6,7.9998,8
570,16.517,0.55,16.6,7.9999,8
580,16.517,0.55,16.6,7.9999,8
590,16.517,0.55,16.6,8,8
600,16.517,0.55,16.6,8,8
610,16.517,0.55,16.6,8,8
620,16.517,0.55,16.6,8,8
630,16.517,0.55,16.6,8,8
640,16.517,0.55,16.6,8,8
650,16.517,0.55,16.6,8,8
660,16.517,0.55,16.6,8,8
670,16.517,0.55,16.6,8,8
680,16.517,0.55,16.6,8,8
690,16.517,0.55,16.6,8,8
700,16.517,0.55,16.6,8,8
710,12.547,0.55,16.6,8,4.5
720,8.651,0.55,16.6,8,4.5
730,7.2028,0.55,16.6,7.3302,4.5
740,6.4946,0.55,16.6,6.8565,4.5
750,6.2296,0.55,16.6,6.5449,4.5
760,6.3101,0.55,16.6,6.2883,4.5
770,6.6721,0.55,16.6,6.0468,4.5
780,7.2573,0.55,16.6,5.7944,4.5
790,8.0167,0.55,16.6,5.5014,4.5
800,8.8592,0.55,16.6,5.1229,4.5
810,9.6168,0.55,16.6,4.7004,4.5
820,10.195,0.55,16.6,4.4521,4.5
830,10.589,0.55,16.6,4.3482,4.5
840,10.826,0.55,16.6,4.3155,4.5
850,10.944,0.55,16.6,4.3206,4.5
860,10.976,0.55,16.6,4.3464,4.5
870,10.955,0.55,16.6,4.382,4.5
880,10.906,0.55,16.6,4.4194,4.5
890,10.848,0.55,16.6,4.453,4.5
900,10.795,0.55,16.6,4.4793,4.5
910,10.752,0.55,16.6,4.4973,4.5
920,10.721,0.55,16.6,4.5077,4.5
930,10.703,0.55,16.6,4.5122,4.5
940,10.693,0.55,16.6,4.5127,4.5
950,10.69,0.55,16.6,4.511,4.5
960,10.691,0.55,16.6,4.5083,4.5
970,10.694,0.55,16.6,4.5055,4.5
980,10.698,0.55,16.6,4.5032,4.5
990,10.701,0.55,16.6,4.5014,4.5
1000,15.55,0.55,16.6,4.5002,4.5
