t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.514,0.55,16.6,7.0015,5
30,11.6,0.55,16.6,6.906,5
40,10.858,0.55,16.6,6.7771,5
50,10.248,0.55,16.6,6.6421,5
60,9.76,0.55,16.6,6.5084,5
70,9.3943,0.55,16.6,6.3767,5
80,9.1587,0.55,16.6,6.2459,5
90,9.0706,0.55,16.6,6.114,5
100,9.1497,0.55,16.6,5.9791,5
110,9.3941,0.55,16.6,5.84,5
120,9.7462,0.55,16.6,5.6978,5
130,10.105,0.55,16.6,5.5571,5
140,10.399,0.55,16.6,5.4263,5
150,10.616,0.55,16.6,5.3138,5
160,10.77,0.55,16.6,5.2237,5
170,10.879,0.55,16.6,5.156,5
180,10.956,0.55,16.6,5.1078,5
190,11.008,0.55,16.6,5.0754,5
200,11.041,0.55,16.6,5.0548,5
210,11.06,0.55,16.6,5.0423,5
220,11.071,0.55,16.6,5.0352,5
230,11.075,0.55,16.6,5.0313,5
240,11.076,0.55,16.6,5.0291,5
250,11.075,0.55,16.6,5.0277,5
260,11.073,0.55,16.6,5.0265,5
270,11.071,0.55,16.6,5.0253,5
280,11.069,0.55,16.6,5.024,5
290,11.068,0.55,16.6,5.0225,5
300,11.067,0.55,16.6,5.0209,5
310,14.244,0.55,16.6,5.0194,8
320,15.727,0.55,16.6,5.0178,8
330,16.297,0.55,16.6,5.3537,8
340,16.762,0.55,16.6,5.6466,8
350,17.343,0.55,16.6,5.86,8
360,17.963,0.55,16.6,6.0339,8
370,18.536,0.55,16.6,6.1926,8
380,19.007,0.55,16.6,6.3483,8
390,19.338,0.55,16.6,6.5085,8
400,19.491,0.55,16.6,6.6808,8
410,19.402,0.55,16.6,6.8763,8
420,18.959,0.55,16.6,7.1147,8
430,18.062,0.55,16.6,7.4402,8
440,16.999,0.55,16.6,7.9589,8
450,16.454,0.55,16.6,8.4668,8
460,16.335,0.55,16.6,8.5567,8
470,16.357,0.55,16.6,8.4819,8
480,16.415,0.55,16.6,8.3717,8
490,16.465,0.55,16.6,8.2744,8
500,16.495,0.55,16.6,8.2064,8
510,16.506,0.55,16.6,8.1638,8
520,16.509,0.55,16.6,8.1364,8
530,16.508,0.55,16.6,8.1163,8
540,16.508,0.55,16.6,8.0995,8
550,16.509,0.55,16.6,8.0848,8
560,16.51,0.55,16.6,8.0717,8
570,16.511,0.55,16.6,8.0605,8
580,16.512,0.55,16.6,8.051,8
590,16.513,0.55,16.6,8.043,8
600,16.514,0.55,16.6,8.0364,8
610,16.515,0.55,16.6,8.0309,8
620,16.515,0.55,16.6,8.0263,8
630,16.515,0.55,16.6,8.0225,8
640,16.516,0.55,16.6,8.0193,8
650,16.516,0.55,16.6,8.0166,8
660,16.516,0.55,16.6,8.0143,8
670,16.516,0.55,16.6,8.0123,8
680,16.517,0.55,16.6,8.0107,8
690,16.517,0.55,16.6,8.0093,8
700,16.517,0.55,16.6,8.0081,8
710,12.54,0.55,16.6,8.007,4.5
720,12.251,0.55,16.6,8.0061,4.5
730,11.548,0.55,16.6,7.3314,4.5
740,10.617,0.55,16.6,7.043,4.5
750,9.7147,0.55,16.6,6.8329,4.5
760,8.9216,0.55,16.6,6.6484,4.5
770,8.276,0.55,16.6,6.4755,4.5
780,7.81,0.55,16.6,6.3062,4.5
790,7.5784,0.55,16.6,6.1332,4.5
800,7.6731,0.55,16.6,5.948,4.5
810,8.15,0.55,16.6,5.7401,4.5
820,8.8358,0.55,16.6,5.4969,4.5
830,9.4494,0.55,16.6,5.213,4.5
840,9.9385,0.55,16.6,4.9206,4.5
850,10.306,0.55,16.6,4.7001,4.5
860,10.547,0.55,16.6,4.5777,4.5
870,10.687,0.55,16.6,4.5211,4.5
880,10.758,0.55,16.6,4.5004,4.5
890,10.787,0.55,16.6,4.498,4.5
900,10.791,0.55,16.6,4.5041,4.5
910,10.783,0.55,16.6,4.513,4.5
920,10.769,0.55,16.6,4.5216,4.5
930,10.755,0.55,16.6,4.5286,4.5
940,10.742,0.55,16.6,4.5332,4.5
950,10.731,0.55,16.6,4.5358,4.5
960,10.723,0.55,16.6,4.5365,4.5
970,10.717,0.55,16.6,4.5358,4.5
980,10.713,0.55,16.6,4.5342,4.5
990,10.711,0.55,16.6,4.5321,4.5
1000,15.55,0.55,16.6,4.5297,4.5
