t,u1,u2,u3,y,ysp
10,13.776,0.55,16.6,7,5
20,11.957,0.55,16.6,7.0015,5
30,10.654,0.55,16.6,6.9074,5
40,9.9226,0.55,16.6,6.7551,5
50,9.4766,0.55,16.6,6.5911,5
60,9.2611,0.55,16.6,6.4357,5
70,9.1253,0.55,16.6,6.2891,5
80,9.1731,0.55,16.6,6.1498,5
90,9.2095,0.55,16.6,6.0129,5
100,9.3745,0.55,16.6,5.8788,5
110,9.5749,0.55,16.6,5.7419,5
120,9.8033,0.55,16.6,5.604,5
130,10.053,0.55,16.6,5.4656,5
140,10.307,0.55,16.6,5.33,5
150,10.546,0.55,16.6,5.2051,5
160,10.743,0.55,16.6,5.1018,5
170,10.881,0.55,16.6,5.0277,5
180,10.96,0.55,16.6,4.9828,5
190,10.995,0.55,16.6,4.9598,5
200,11.007,0.55,16.6,4.9496,5
210,11.011,0.55,16.6,4.9451,5
220,11.017,0.55,16.6,4.9426,5
230,11.025,0.55,16.6,4.941,5
240,11.035,0.55,16.6,4.9403,5
250,11.042,0.55,16.6,4.9408,5
260,11.048,0.55,16.6,4.9426,5
270,11.052,0.55,16.6,4.9452,5
280,11.054,0.55,16.6,4.9483,5
290,11.055,0.55,16.6,4.9517,5
300,11.056,0.55,16.6,4.9549,5
310,14.24,0.55,16.6,4.9581,8
320,16.885,0.55,16.6,4.9611,8
330,18.286,0.55,16.6,5.3201,8
340,19.079,0.55,16.6,5.6904,8
350,19.843,0.55,16.6,5.9697,8
360,19.858,0.55,16.6,6.1994,8
370,20.14,0.55,16.6,6.4167,8
380,19.596,0.55,16.6,6.6216,8
390,19.517,0.55,16.6,6.8486,8
400,18.96,0.55,16.6,7.087,8
410,18.171,0.55,16.6,7.4105,8
420,16.814,0.55,16.6,7.8973,8
430,15.106,0.55,16.6,8.4405,8
440,14.726,0.55,16.6,8.483,8
450,15.983,0.55,16.6,7.9707,8
460,17.109,0.55,16.6,7.5867,8
470,17.59,0.55,16.6,7.5387,8
480,17.503,0.55,16.6,7.678,8
490,16.803,0.55,16.6,7.9669,8
500,15.782,0.55,16.6,8.2938,8
510,15.411,0.55,16.6,8.3551,8
520,16.063,0.55,16.6,8.0666,8
530,16.895,0.55,16.6,7.7642,8
540,17.284,0.55,16.6,7.6932,8
550,17.178,0.55,16.6,7.8037,8
560,16.592,0.55,16.6,8.0354,8
570,15.899,0.55,16.6,8.251,8
580,15.762,0.55,16.6,8.2462,8
590,16.306,0.55,16.6,8.0137,8
600,16.895,0.55,16.6,7.8093,8
610,17.124,0.55,16.6,7.7801,8
620,16.932,0.55,16.6,7.8962,8
630,16.406,0.55,16.6,8.0893,8
640,15.957,0.55,16.6,8.2178,8
650,16.019,0.55,16.6,8.1538,8
660,16.499,0.55,16.6,7.9598,8
670,16.904,0.55,16.6,7.8322,8
680,16.989,0.55,16.6,7.8453,8
690,16.73,0.55,16.6,7.967,8
700,16.289,0.55,16.6,8.1189,8
710,11.948,0.55,16.6,8.176,4.5
720,9.1027,0.55,16.6,8.079,4.5
730,9.0799,0.55,16.6,7.2952,4.5
740,8.3794,0.55,16.6,6.8619,4.5
750,7.9854,0.55,16.6,6.6135,4.5
760,7.8128,0.55,16.6,6.4042,4.5
770,7.8923,0.55,16.6,6.2135,4.5
780,7.9827,0.55,16.6,6.0286,4.5
790,8.2106,0.55,16.6,5.8423,4.5
800,8.5142,0.55,16.6,5.6394,4.5
810,8.9071,0.55,16.6,5.4073,4.5
820,9.427,0.55,16.6,5.1305,4.5
830,10.026,0.55,16.6,4.8342,4.5
840,10.476,0.55,16.6,4.6221,4.5
850,10.676,0.55,16.6,4.5247,4.5
860,10.709,0.55,16.6,4.4953,4.5
870,10.682,0.55,16.6,4.4922,4.5
880,10.653,0.55,16.6,4.4932,4.5
890,10.643,0.55,16.6,4.491,4.5
900,10.651,0.55,16.6,4.4857,4.5
910,10.666,0.55,16.6,4.4799,4.5
920,10.68,0.55,16.6,4.4755,4.5
930,10.689,0.55,16.6,4.4733,4.5
940,10.693,0.55,16.6,4.4728,4.5
950,10.693,0.55,16.6,4.4733,4.5
960,10.693,0.55,16.6,4.4742,4.5
970,10.692,0.55,16.6,4.4751,4.5
980,10.692,0.55,16.6,4.4759,4.5
990,10.692,0.55,16.6,4.4765,4.5
1000,15.55,0.55,16.6,4.477,4.5
