t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.262,0.55,16.6,7.0015,5
30,11.039,0.55,16.6,6.906,5
40,10.09,0.55,16.6,6.7665,5
50,9.5176,0.55,16.6,6.6136,5
60,9.348,0.55,16.6,6.4596,5
70,9.3918,0.55,16.6,6.3114,5
80,9.5214,0.55,16.6,6.1732,5
90,9.6686,0.55,16.6,6.045,5
100,9.8051,0.55,16.6,5.9247,5
110,9.9293,0.55,16.6,5.8102,5
120,10.051,0.55,16.6,5.6994,5
130,10.178,0.55,16.6,5.5909,5
140,10.308,0.55,16.6,5.4846,5
150,10.432,0.55,16.6,5.3818,5
160,10.543,0.55,16.6,5.2852,5
170,10.64,0.55,16.6,5.1978,5
180,10.725,0.55,16.6,5.122,5
190,10.801,0.55,16.6,5.0593,5
200,10.867,0.55,16.6,5.0102,5
210,10.922,0.55,16.6,4.9743,5
220,10.966,0.55,16.6,4.95,5
230,10.999,0.55,16.6,4.9354,5
240,11.024,0.55,16.6,4.9281,5
250,11.042,0.55,16.6,4.9263,5
260,11.054,0.55,16.6,4.928,5
270,11.062,0.55,16.6,4.932,5
280,11.067,0.55,16.6,4.9373,5
290,11.071,0.55,16.6,4.9431,5
300,11.072,0.55,16.6,4.9491,5
310,14.256,0.55,16.6,4.955,8
320,16.485,0.55,16.6,4.9605,8
330,18.315,0.55,16.6,5.3212,8
340,19.558,0.55,16.6,5.6698,8
350,19.592,0.55,16.6,5.9573,8
360,19.114,0.55,16.6,6.2059,8
370,18.553,0.55,16.6,6.4141,8
380,18.063,0.55,16.6,6.5916,8
390,17.708,0.55,16.6,6.7467,8
400,17.488,0.55,16.6,6.8851,8
410,17.355,0.55,16.6,7.0122,8
420,17.26,0.55,16.6,7.134,8
430,17.173,0.55,16.6,7.2556,8
440,17.08,0.55,16.6,7.3803,8
450,16.978,0.55,16.6,7.5088,8
460,16.872,0.55,16.6,7.6388,8
470,16.769,0.55,16.6,7.7636,8
480,16.679,0.55,16.6,7.8726,8
490,16.607,0.55,16.6,7.9556,8
500,16.558,0.55,16.6,8.0086,8
510,16.53,0.55,16.6,8.0354,8
520,16.517,0.55,16.6,8.0441,8
530,16.513,0.55,16.6,8.043,8
540,16.512,0.55,16.6,8.038,8
550,16.514,0.55,16.6,8.0322,8
560,16.515,0.55,16.6,8.027,8
570,16.516,0.55,16.6,8.0228,8
580,16.516,0.55,16.6,8.0195,8
590,16.517,0.55,16.6,8.0169,8
600,16.517,0.55,16.6,8.0147,8
610,16.517,0.55,16.6,8.0129,8
620,16.517,0.55,16.6,8.0113,8
630,16.517,0.55,16.6,8.0099,8
640,16.517,0.55,16.6,8.0087,8
650,16.517,0.55,16.6,8.0077,8
660,16.517,0.55,16.6,8.0068,8
670,16.517,0.55,16.6,8.006,8
680,16.517,0.55,16.6,8.0053,8
690,16.517,0.55,16.6,8.0047,8
700,16.517,0.55,16.6,8.0041,8
710,12.544,0.55,16.6,8.0036,4.5
720,9.8164,0.55,16.6,8.0032,4.5
730,8.1414,0.55,16.6,7.3308,4.5
740,7.4667,0.55,16.6,6.9116,4.5
750,7.4302,0.55,16.6,6.6134,4.5
760,7.6286,0.55,16.6,6.3751,4.5
770,7.9084,0.55,16.6,6.1691,4.5
780,8.1921,0.55,16.6,5.9778,4.5
790,8.4482,0.55,16.6,5.7883,4.5
800,8.6738,0.55,16.6,5.588,4.5
810,8.84,0.55,16.6,5.3609,4.5
820,8.9376,0.55,16.6,5.0877,4.5
830,9.1142,0.55,16.6,4.7778,4.5
840,9.4096,0.55,16.6,4.5166,4.5
850,9.7589,0.55,16.6,4.3498,4.5
860,10.108,0.55,16.6,4.2531,4.5
870,10.421,0.55,16.6,4.2023,4.5
880,10.675,0.55,16.6,4.183,4.5
890,10.857,0.55,16.6,4.1868,4.5
900,10.963,0.55,16.6,4.2079,4.5
910,11.002,0.55,16.6,4.2411,4.5
920,10.992,0.55,16.6,4.2818,4.5
930,10.952,0.55,16.6,4.3247,4.5
940,10.901,0.55,16.6,4.3656,4.5
950,10.851,0.55,16.6,4.4013,4.5
960,10.808,0.55,16.6,4.4301,4.5
970,10.773,0.55,16.6,4.4519,4.5
980,10.748,0.55,16.6,4.4674,4.5
990,10.73,0.55,16.6,4.4778,4.5
1000,15.55,0.55,16.6,4.4845,4.5
