t,u1,u2,u3,y,ysp
10,13.751,0.55,16.6,7,5
20,11.931,0.55,16.6,7.0015,5
30,10.568,0.55,16.6,6.9062,5
40,9.8233,0.55,16.6,6.7531,5
50,9.3083,0.55,16.6,6.5865,5
60,9.2635,0.55,16.6,6.4287,5
70,8.9744,0.55,16.6,6.2776,5
80,9.3005,0.55,16.6,6.1392,5
90,9.1787,0.55,16.6,5.9971,5
100,9.525,0.55,16.6,5.868,5
110,9.6116,0.55,16.6,5.729,5
120,9.8867,0.55,16.6,5.5988,5
130,10.084,0.55,16.6,5.4624,5
140,10.281,0.55,16.6,5.3337,5
150,10.446,0.55,16.6,5.2124,5
160,10.602,0.55,16.6,5.1061,5
170,10.746,0.55,16.6,5.0192,5
180,10.868,0.55,16.6,4.9557,5
190,10.961,0.55,16.6,4.9162,5
200,11.024,0.55,16.6,4.8971,5
210,11.063,0.55,16.6,4.8929,5
220,11.085,0.55,16.6,4.8979,5
230,11.095,0.55,16.6,4.9079,5
240,11.098,0.55,16.6,4.9199,5
250,11.096,0.55,16.6,4.9321,5
260,11.093,0.55,16.6,4.9434,5
270,11.088,0.55,16.6,4.9533,5
280,11.083,0.55,16.6,4.9617,5
290,11.079,0.55,16.6,4.9686,5
300,11.075,0.55,16.6,4.9742,5
310,14.253,0.55,16.6,4.9787,8
320,16.925,0.55,16.6,4.9822,8
330,19.016,0.55,16.6,5.3338,8
340,20.132,0.55,16.6,5.6996,8
350,19.887,0.55,16.6,6.0035,8
360,20.158,0.55,16.6,6.2613,8
370,19.148,0.55,16.6,6.4742,8
380,19.355,0.55,16.6,6.6912,8
390,18.337,0.55,16.6,6.8784,8
400,18.258,0.55,16.6,7.108,8
410,17.5,0.55,16.6,7.3151,8
420,17.193,0.55,16.6,7.5862,8
430,16.867,0.55,16.6,7.8188,8
440,16.617,0.55,16.6,8.0246,8
450,16.458,0.55,16.6,8.1347,8
460,16.433,0.55,16.6,8.1519,8
470,16.462,0.55,16.6,8.1138,8
480,16.488,0.55,16.6,8.0729,8
490,16.505,0.55,16.6,8.0466,8
500,16.514,0.55,16.6,8.032,8
510,16.518,0.55,16.6,8.0244,8
520,16.519,0.55,16.6,8.0205,8
530,16.518,0.55,16.6,8.0183,8
540,16.518,0.55,16.6,8.0167,8
550,16.517,0.55,16.6,8.0152,8
560,16.517,0.55,16.6,8.0136,8
570,16.517,0.55,16.6,8.0121,8
580,16.517,0.55,16.6,8.0107,8
590,16.517,0.55,16.6,8.0094,8
600,16.517,0.55,16.6,8.0083,8
610,16.517,0.55,16.6,8.0073,8
620,16.517,0.55,16.6,8.0064,8
630,16.517,0.55,16.6,8.0057,8
640,16.517,0.55,16.6,8.005,8
650,16.517,0.55,16.6,8.0044,8
660,16.517,0.55,16.6,8.0039,8
670,16.517,0.55,16.6,8.0035,8
680,16.517,0.55,16.6,8.0031,8
690,16.517,0.55,16.6,8.0027,8
700,16.517,0.55,16.6,8.0024,8
710,12.545,0.55,16.6,8.0021,4.5
720,10.012,0.55,16.6,8.0019,4.5
730,9.0689,0.55,16.6,7.3306,4.5
740,8.0814,0.55,16.6,6.9211,4.5
750,7.8454,0.55,16.6,6.6531,4.5
760,7.6767,0.55,16.6,6.4261,4.5
770,7.8927,0.55,16.6,6.2286,4.5
780,8.0357,0.55,16.6,6.0386,4.5
790,8.3531,0.55,16.6,5.853,4.5
800,8.6684,0.55,16.6,5.6546,4.5
810,8.9236,0.55,16.6,5.437,4.5
820,9.0471,0.55,16.6,5.1868,4.5
830,9.2634,0.55,16.6,4.9014,4.5
840,9.6792,0.55,16.6,4.6287,4.5
850,10.11,0.55,16.6,4.4442,4.5
860,10.442,0.55,16.6,4.3478,4.5
870,10.663,0.55,16.6,4.3078,4.5
880,10.79,0.55,16.6,4.3011,4.5
890,10.85,0.55,16.6,4.3137,4.5
900,10.865,0.55,16.6,4.3366,4.5
910,10.854,0.55,16.6,4.3638,4.5
920,10.83,0.55,16.6,4.391,4.5
930,10.802,0.55,16.6,4.4155,4.5
940,10.775,0.55,16.6,4.4359,4.5
950,10.754,0.55,16.6,4.4519,4.5
960,10.737,0.55,16.6,4.4639,4.5
970,10.724,0.55,16.6,4.4724,4.5
980,10.716,0.55,16.6,4.4783,4.5
990,10.711,0.55,16.6,4.4823,4.5
1000,15.55,0.55,16.6,4.485,4.5
