t,u1,u2,u3,y,ysp
10,13.746,0.55,16.6,7,5
20,12.02,0.55,16.6,7.0015,5
30,10.824,0.55,16.6,6.906,5
40,10.026,0.55,16.6,6.7566,5
50,9.6428,0.55,16.6,6.5982,5
60,9.2201,0.55,16.6,6.4449,5
70,9.3195,0.55,16.6,6.3025,5
80,9.1292,0.55,16.6,6.1609,5
90,9.3261,0.55,16.6,6.0305,5
100,9.4185,0.55,16.6,5.8949,5
110,9.6778,0.55,16.6,5.7641,5
120,9.9795,0.55,16.6,5.6305,5
130,10.297,0.55,16.6,5.5018,5
140,10.578,0.55,16.6,5.3842,5
150,10.795,0.55,16.6,5.2868,5
160,10.947,0.55,16.6,5.2146,5
170,11.041,0.55,16.6,5.1669,5
180,11.092,0.55,16.6,5.1387,5
190,11.113,0.55,16.6,5.1234,5
200,11.116,0.55,16.6,5.1153,5
210,11.109,0.55,16.6,5.1104,5
220,11.098,0.55,16.6,5.1063,5
230,11.088,0.55,16.6,5.1017,5
240,11.079,0.55,16.6,5.0963,5
250,11.072,0.55,16.6,5.0902,5
260,11.068,0.55,16.6,5.0835,5
270,11.065,0.55,16.6,5.0765,5
280,11.063,0.55,16.6,5.0697,5
290,11.063,0.55,16.6,5.0631,5
300,11.063,0.55,16.6,5.057,5
310,11.063,0.55,16.6,5.0514,5
320,11.064,0.55,16.6,5.0463,5
330,11.064,0.55,16.6,5.0417,5
340,11.064,0.55,16.6,5.0376,5
350,11.065,0.55,16.6,5.0339,5
360,11.065,0.55,16.6,5.0307,5
370,11.065,0.55,16.6,5.0277,5
380,11.065,0.55,16.6,5.0251,5
390,11.065,0.55,16.6,5.0227,5
400,11.065,0.55,16.6,5.0206,5
410,11.065,0.55,16.6,5.0187,5
420,11.065,0.55,16.6,5.0169,5
430,11.065,0.55,16.6,5.0153,5
440,11.065,0.55,16.6,5.0139,5
450,11.065,0.55,16.6,5.0126,5
460,11.065,0.55,16.6,5.0114,5
470,11.065,0.55,16.6,5.0104,5
480,11.065,0.55,16.6,5.0094,5
490,11.065,0.55,16.6,5.0086,5
500,11.065,0.55,16.6,5.0078,5
510,14.244,0.55,16.6,5.0071,8
520,16.8,0.55,16.6,5.0064,8
530,18.421,0.55,16.6,5.3472,8
540,19.135,0.55,16.6,5.7003,8
550,19.074,0.55,16.6,5.9814,8
560,19.536,0.55,16.6,6.2104,8
570,18.779,0.55,16.6,6.4008,8
580,19.003,0.55,16.6,6.5941,8
590,18.292,0.55,16.6,6.7587,8
600,18.198,0.55,16.6,6.9459,8
610,17.711,0.55,16.6,7.1162,8
620,17.337,0.55,16.6,7.3119,8
630,16.944,0.55,16.6,7.5013,8
640,16.666,0.55,16.6,7.6767,8
650,16.526,0.55,16.6,7.7973,8
660,16.481,0.55,16.6,7.8543,8
670,16.481,0.55,16.6,7.8722,8
680,16.494,0.55,16.6,7.8765,8
690,16.507,0.55,16.6,7.8804,8
700,16.515,0.55,16.6,7.8875,8
710,16.519,0.55,16.6,7.8972,8
720,16.52,0.55,16.6,7.908,8
730,16.519,0.55,16.6,7.9187,8
740,16.518,0.55,16.6,7.9285,8
750,16.518,0.55,16.6,7.9371,8
760,16.517,0.55,16.6,7.9446,8
770,16.517,0.55,16.6,7.9511,8
780,16.517,0.55,16.6,7.9568,8
790,16.517,0.55,16.6,7.9618,8
800,16.517,0.55,16.6,7.9661,8
810,16.517,0.55,16.6,7.97,8
820,16.517,0.55,16.6,7.9734,8
830,16.516,0.55,16.6,7.9763,8
840,16.516,0.55,16.6,7.9789,8
850,16.516,0.55,16.6,7.9812,8
860,16.516,0.55,16.6,7.9832,8
870,16.516,0.55,16.6,7.9849,8
880,16.516,0.55,16.6,7.9865,8
890,16.516,0.55,16.6,7.9879,8
900,16.516,0.55,16.6,7.9891,8
910,16.516,0.55,16.6,7.9902,8
920,16.516,0.55,16.6,7.9912,8
930,16.516,0.55,16.6,7.992,8
940,16.516,0.55,16.6,7.9928,8
950,16.516,0.55,16.6,7.9935,8
960,16.516,0.55,16.6,7.9941,8
970,16.516,0.55,16.6,7.9946,8
980,16.516,0.55,16.6,7.9951,8
990,16.516,0.55,16.6,7.9955,8
1000,16.516,0.55,16.6,7.9959,8
1010,12.547,0.55,16.6,7.9963,4.5
1020,10.8,0.55,16.6,7.9965,4.5
1030,9.3239,0.55,16.6,7.3292,4.5
1040,8.4825,0.55,16.6,6.9607,4.5
1050,8.0923,0.55,16.6,6.6884,4.5
1060,7.9202,0.55,16.6,6.4665,4.5
1070,7.9359,0.55,16.6,6.272,4.5
1080,8.0564,0.55,16.6,6.0889,4.5
1090,8.3126,0.55,16.6,5.9074,4.5
1100,8.7273,0.55,16.6,5.7175,4.5
1110,9.2355,0.55,16.6,5.5111,4.5
1120,9.7174,0.55,16.6,5.2878,4.5
1130,10.108,0.55,16.6,5.0641,4.5
1140,10.395,0.55,16.6,4.8775,4.5
1150,10.588,0.55,16.6,4.7535,4.5
1160,10.706,0.55,16.6,4.6835,4.5
1170,10.769,0.55,16.6,4.6483,4.5
1180,10.792,0.55,16.6,4.633,4.5
1190,10.792,0.55,16.6,4.6275,4.5
1200,10.78,0.55,16.6,4.6257,4.5
1210,10.763,0.55,16.6,4.6241,4.5
1220,10.746,0.55,16.6,4.6211,4.5
1230,10.731,0.55,16.6,4.616,4.5
1240,10.72,0.55,16.6,4.6092,4.5
1250,10.712,0.55,16.6,4.6013,4.5
1260,10.707,0.55,16.6,4.5927,4.5
1270,10.705,0.55,16.6,4.584,4.5
1280,10.704,0.55,16.6,4.5756,4.5
1290,10.704,0.55,16.6,4.5678,4.5
1300,10.705,0.55,16.6,4.5606,4.5
1310,10.705,0.55,16.6,4.5543,4.5
1320,10.706,0.55,16.6,4.5486,4.5
1330,10.707,0.55,16.6,4.5436,4.5
1340,10.707,0.55,16.6,4.5392,4.5
1350,10.707,0.55,16.6,4.5353,4.5
1360,10.708,0.55,16.6,4.5318,4.5
1370,10.708,0.55,16.6,4.5288,4.5
1380,10.708,0.55,16.6,4.526,4.5
1390,10.708,0.55,16.6,4.5236,4.5
1400,10.708,0.55,16.6,4.5214,4.5
1410,10.708,0.55,16.6,4.5194,4.5
1420,10.708,0.55,16.6,4.5176,4.5
1430,10.708,0.55,16.6,4.5159,4.5
1440,10.708,0.55,16.6,4.5145,4.5
1450,10.708,0.55,16.6,4.5131,4.5
1460,10.708,0.55,16.6,4.5119,4.5
1470,10.708,0.55,16.6,4.5108,4.5
1480,10.708,0.55,16.6,4.5098,4.5
1490,10.708,0.55,16.6,4.5089,4.5
1500,10.708,0.55,16.6,4.5081,4.5
1510,10.708,0.55,16.6,4.5074,4.5
1520,10.708,0.55,16.6,4.5068,4.5
1530,10.708,0.55,16.6,4.5062,4.5
1540,10.708,0.55,16.6,4.5056,4.5
1550,10.708,0.55,16.6,4.5051,4.5
1560,10.708,0.55,16.6,4.5047,4.5
1570,10.708,0.55,16.6,4.5043,4.5
1580,10.708,0.55,16.6,4.504,4.5
1590,10.708,0.55,16.6,4.5036,4.5
1600,10.708,0.55,16.6,4.5033,4.5
1610,10.708,0.55,16.6,4.5031,4.5
1620,10.708,0.55,16.6,4.5028,4.5
1630,10.708,0.55,16.6,4.5026,4.5
1640,10.708,0.55,16.6,4.5024,4.5
1650,10.708,0.55,16.6,4.5023,4.5
1660,10.708,0.55,16.6,4.5021,4.5
1670,10.708,0.55,16.6,4.502,4.5
1680,10.708,0.55,16.6,4.5018,4.5
1690,10.708,0.55,16.6,4.5017,4.5
1700,10.708,0.55,16.6,4.5016,4.5
1710,10.708,0.55,16.6,4.5015,4.5
1720,10.708,0.55,16.6,4.5014,4.5
1730,10.708,0.55,16.6,4.5013,4.5
1740,10.708,0.55,16.6,4.5013,4.5
1750,10.707,0.55,16.6,4.5012,4.5
1760,10.707,0.55,16.6,4.5012,4.5
1770,10.707,0.55,16.6,4.5011,4.5
1780,10.707,0.55,16.6,4.501,4.5
1790,10.707,0.55,16.6,4.501,4.5
1800,10.707,0.55,16.6,4.5009,4.5
1810,10.707,0.55,16.6,4.5009,4.5
1820,10.707,0.55,16.6,4.5008,4.5
1830,10.707,0.55,16.6,4.5007,4.5
1840,10.707,0.55,16.6,4.5006,4.5
1850,10.707,0.55,16.6,4.5006,4.5
1860,10.707,0.55,16.6,4.5005,4.5
1870,10.707,0.55,16.6,4.5004,4.5
1880,10.707,0.55,16.6,4.5003,4.5
1890,10.707,0.55,16.6,4.5003,4.5
1900,10.707,0.55,16.6,4.5002,4.5
1910,10.707,0.55,16.6,4.5002,4.5
1920,10.707,0.55,16.6,4.5002,4.5
1930,10.707,0.55,16.6,4.5001,4.5
1940,10.707,0.55,16.6,4.5001,4.5
1950,10.707,0.55,16.6,4.5001,4.5
1960,10.707,0.55,16.6,4.5001,4.5
1970,10.707,0.55,16.6,4.5001,4.5
1980,10.707,0.55,16.6,4.5001,4.5
1990,10.707,0.55,16.6,4.5001,4.5
2000,15.55,0.55,16.6,4.5001,4.5
