t,u1,u2,u3,y,ysp
10,13.849,0.55,16.6,7,5
20,12.41,0.55,16.6,7.0015,5
30,11.104,0.55,16.6,6.911,5
40,9.9485,0.55,16.6,6.7765,5
50,9.026,0.55,16.6,6.6236,5
60,8.4286,0.55,16.6,6.4632,5
70,8.1876,0.55,16.6,6.2988,5
80,8.2784,0.55,16.6,6.1312,5
90,8.6072,0.55,16.6,5.9602,5
100,9.0551,0.55,16.6,5.7857,5
110,9.5193,0.55,16.6,5.6089,5
120,9.9216,0.55,16.6,5.4336,5
130,10.226,0.55,16.6,5.268,5
140,10.45,0.55,16.6,5.1233,5
150,10.626,0.55,16.6,5.0078,5
160,10.772,0.55,16.6,4.924,5
170,10.888,0.55,16.6,4.8701,5
180,10.975,0.55,16.6,4.8415,5
190,11.035,0.55,16.6,4.8322,5
200,11.071,0.55,16.6,4.8362,5
210,11.091,0.55,16.6,4.8484,5
220,11.1,0.55,16.6,4.8645,5
230,11.102,0.55,16.6,4.8818,5
240,11.1,0.55,16.6,4.8986,5
250,11.096,0.55,16.6,4.9139,5
260,11.092,0.55,16.6,4.9273,5
270,11.088,0.55,16.6,4.9389,5
280,11.084,0.55,16.6,4.9487,5
290,11.08,0.55,16.6,4.9569,5
300,11.077,0.55,16.6,4.9637,5
310,13.459,0.55,16.6,4.9694,8
320,15.946,0.55,16.6,4.9741,8
330,17.886,0.55,16.6,5.255,8
340,19.103,0.55,16.6,5.604,8
350,19.763,0.55,16.6,5.8984,8
360,20.039,0.55,16.6,6.1455,8
370,20.023,0.55,16.6,6.3669,8
380,19.74,0.55,16.6,6.5793,8
390,19.227,0.55,16.6,6.7967,8
400,18.531,0.55,16.6,7.0321,8
410,17.762,0.55,16.6,7.2994,8
420,17.162,0.55,16.6,7.607,8
430,16.812,0.55,16.6,7.9147,8
440,16.604,0.55,16.6,8.1221,8
450,16.486,0.55,16.6,8.2068,8
460,16.443,0.55,16.6,8.2114,8
470,16.448,0.55,16.6,8.1752,8
480,16.472,0.55,16.6,8.129,8
490,16.496,0.55,16.6,8.0907,8
500,16.512,0.55,16.6,8.0654,8
510,16.52,0.55,16.6,8.051,8
520,16.522,0.55,16.6,8.0433,8
530,16.521,0.55,16.6,8.039,8
540,16.52,0.55,16.6,8.0359,8
550,16.518,0.55,16.6,8.033,8
560,16.517,0.55,16.6,8.0299,8
570,16.516,0.55,16.6,8.0267,8
580,16.516,0.55,16.6,8.0236,8
590,16.516,0.55,16.6,8.0206,8
600,16.517,0.55,16.6,8.018,8
610,16.517,0.55,16.6,8.0157,8
620,16.517,0.55,16.6,8.0138,8
630,16.517,0.55,16.6,8.0121,8
640,16.517,0.55,16.6,8.0106,8
650,16.517,0.55,16.6,8.0094,8
660,16.517,0.55,16.6,8.0083,8
670,16.517,0.55,16.6,8.0073,8
680,16.517,0.55,16.6,8.0065,8
690,16.517,0.55,16.6,8.0058,8
700,16.517,0.55,16.6,8.0051,8
710,14.11,0.55,16.6,8.0045,4.5
720,11.205,0.55,16.6,8.004,4.5
730,9.255,0.55,16.6,7.5111,4.5
740,7.862,0.55,16.6,7.064,4.5
750,6.9678,0.55,16.6,6.7491,4.5
760,6.5741,0.55,16.6,6.4918,4.5
770,6.6391,0.55,16.6,6.2582,4.5
780,7.0949,0.55,16.6,6.029,4.5
790,7.7441,0.55,16.6,5.7888,4.5
800,8.3865,0.55,16.6,5.5215,4.5
810,8.8432,0.55,16.6,5.206,4.5
820,9.1958,0.55,16.6,4.8493,4.5
830,9.5615,0.55,16.6,4.5599,4.5
840,9.9283,0.55,16.6,4.388,4.5
850,10.26,0.55,16.6,4.2943,4.5
860,10.529,0.55,16.6,4.2485,4.5
870,10.724,0.55,16.6,4.2342,4.5
880,10.847,0.55,16.6,4.2413,4.5
890,10.908,0.55,16.6,4.2629,4.5
900,10.924,0.55,16.6,4.2933,4.5
910,10.909,0.55,16.6,4.3276,4.5
920,10.877,0.55,16.6,4.3621,4.5
930,10.84,0.55,16.6,4.3936,4.5
940,10.804,0.55,16.6,4.4203,4.5
950,10.772,0.55,16.6,4.4415,4.5
960,10.748,0.55,16.6,4.4574,4.5
970,10.73,0.55,16.6,4.4685,4.5
980,10.718,0.55,16.6,4.476,4.5
990,10.71,0.55,16.6,4.4809,4.5
1000,10.705,0.55,16.6,4.4839,4.5
1010,10.703,0.55,16.6,4.4857,4.5
1020,10.703,0.55,16.6,4.4869,4.5
1030,10.703,0.55,16.6,4.4877,4.5
1040,10.704,0.55,16.6,4.4884,4.5
1050,10.705,0.55,16.6,4.4891,4.5
1060,10.706,0.55,16.6,4.4898,4.5
1070,10.707,0.55,16.6,4.4906,4.5
1080,10.707,0.55,16.6,4.4913,4.5
1090,10.708,0.55,16.6,4.4922,4.5
1100,10.708,0.55,16.6,4.493,4.5
1110,10.709,0.55,16.6,4.4937,4.5
1120,10.709,0.55,16.6,4.4945,4.5
1130,10.709,0.55,16.6,4.4952,4.5
1140,10.709,0.55,16.6,4.4959,4.5
1150,10.708,0.55,16.6,4.4964,4.5
1160,10.708,0.55,16.6,4.497,4.5
1170,10.708,0.55,16.6,4.4974,4.5
1180,10.708,0.55,16.6,4.4978,4.5
1190,10.708,0.55,16.6,4.4981,4.5
1200,15.55,0.55,16.6,4.4984,4.5
