t,u1,u2,u3,y,ysp
10,13.306,0.55,16.6,7,5
20,11.382,0.55,16.6,7.0015,5
30,9.9363,0.55,16.6,6.8846,5
40,8.9201,0.55,16.6,6.7153,5
50,8.2984,0.55,16.6,6.5355,5
60,8.0399,0.55,16.6,6.3572,5
70,8.1101,0.55,16.6,6.181,5
80,8.4388,0.55,16.6,6.0045,5
90,8.9034,0.55,16.6,5.8259,5
100,9.3953,0.55,16.6,5.6452,5
110,9.8285,0.55,16.6,5.4652,5
120,10.158,0.55,16.6,5.2931,5
130,10.399,0.55,16.6,5.1404,5
140,10.591,0.55,16.6,5.0165,5
150,10.751,0.55,16.6,4.9254,5
160,10.878,0.55,16.6,4.8664,5
170,10.973,0.55,16.6,4.8351,5
180,11.037,0.55,16.6,4.825,5
190,11.076,0.55,16.6,4.8294,5
200,11.096,0.55,16.6,4.8425,5
210,11.104,0.55,16.6,4.8599,5
220,11.106,0.55,16.6,4.8784,5
230,11.103,0.55,16.6,4.8962,5
240,11.099,0.55,16.6,4.9123,5
250,11.094,0.55,16.6,4.9263,5
260,11.089,0.55,16.6,4.9383,5
270,11.085,0.55,16.6,4.9484,5
280,11.081,0.55,16.6,4.9568,5
290,11.078,0.55,16.6,4.9638,5
300,11.075,0.55,16.6,4.9696,5
310,14.852,0.55,16.6,4.9743,8
320,17.434,0.55,16.6,4.9782,8
330,19.068,0.55,16.6,5.3822,8
340,19.928,0.55,16.6,5.7507,8
350,20.249,0.55,16.6,6.0391,8
360,20.247,0.55,16.6,6.2831,8
370,19.976,0.55,16.6,6.5069,8
380,19.472,0.55,16.6,6.7289,8
390,18.777,0.55,16.6,6.964,8
400,17.968,0.55,16.6,7.2277,8
410,17.302,0.55,16.6,7.5337,8
420,16.903,0.55,16.6,7.8587,8
430,16.64,0.55,16.6,8.1059,8
440,16.479,0.55,16.6,8.2233,8
450,16.419,0.55,16.6,8.2381,8
460,16.426,0.55,16.6,8.1962,8
470,16.459,0.55,16.6,8.1391,8
480,16.49,0.55,16.6,8.0923,8
490,16.51,0.55,16.6,8.0624,8
500,16.52,0.55,16.6,8.0464,8
510,16.523,0.55,16.6,8.0387,8
520,16.522,0.55,16.6,8.0352,8
530,16.52,0.55,16.6,8.0329,8
540,16.518,0.55,16.6,8.0308,8
550,16.517,0.55,16.6,8.0282,8
560,16.516,0.55,16.6,8.0254,8
570,16.516,0.55,16.6,8.0224,8
580,16.516,0.55,16.6,8.0196,8
590,16.516,0.55,16.6,8.017,8
600,16.517,0.55,16.6,8.0148,8
610,16.517,0.55,16.6,8.0129,8
620,16.517,0.55,16.6,8.0113,8
630,16.517,0.55,16.6,8.0099,8
640,16.517,0.55,16.6,8.0087,8
650,16.517,0.55,16.6,8.0077,8
660,16.517,0.55,16.6,8.0068,8
670,16.517,0.55,16.6,8.006,8
680,16.517,0.55,16.6,8.0054,8
690,16.517,0.55,16.6,8.0047,8
700,16.517,0.55,16.6,8.0042,8
710,11.625,0.55,16.6,8.0037,4.5
720,8.9068,0.55,16.6,8.0033,4.5
730,7.5185,0.55,16.6,7.2479,4.5
740,6.686,0.55,16.6,6.8313,4.5
750,6.345,0.55,16.6,6.5386,4.5
760,6.4485,0.55,16.6,6.2891,4.5
770,6.9365,0.55,16.6,6.0515,4.5
780,7.6095,0.55,16.6,5.8058,4.5
790,8.2491,0.55,16.6,5.5336,4.5
800,8.6393,0.55,16.6,5.2097,4.5
810,8.992,0.55,16.6,4.8344,4.5
820,9.468,0.55,16.6,4.5239,4.5
830,9.9485,0.55,16.6,4.3438,4.5
840,10.348,0.55,16.6,4.253,4.5
850,10.64,0.55,16.6,4.2155,4.5
860,10.829,0.55,16.6,4.2112,4.5
870,10.932,0.55,16.6,4.2282,4.5
880,10.97,0.55,16.6,4.2586,4.5
890,10.962,0.55,16.6,4.2962,4.5
900,10.929,0.55,16.6,4.336,4.5
910,10.884,0.55,16.6,4.3738,4.5
920,10.838,0.55,16.6,4.4067,4.5
930,10.797,0.55,16.6,4.4334,4.5
940,10.763,0.55,16.6,4.4535,4.5
950,10.739,0.55,16.6,4.4677,4.5
960,10.721,0.55,16.6,4.477,4.5
970,10.71,0.55,16.6,4.4827,4.5
980,10.704,0.55,16.6,4.486,4.5
990,10.701,0.55,16.6,4.4876,4.5
1000,10.7,0.55,16.6,4.4884,4.5
1010,10.7,0.55,16.6,4.4888,4.5
1020,10.701,0.55,16.6,4.489,4.5
1030,10.703,0.55,16.6,4.4893,4.5
1040,10.704,0.55,16.6,4.4897,4.5
1050,10.706,0.55,16.6,4.4902,4.5
1060,10.707,0.55,16.6,4.4908,4.5
1070,10.707,0.55,16.6,4.4915,4.5
1080,10.708,0.55,16.6,4.4923,4.5
1090,10.708,0.55,16.6,4.493,4.5
1100,10.709,0.55,16.6,4.4938,4.5
1110,10.709,0.55,16.6,4.4946,4.5
1120,10.709,0.55,16.6,4.4953,4.5
1130,10.709,0.55,16.6,4.4959,4.5
1140,10.708,0.55,16.6,4.4965,4.5
1150,10.708,0.55,16.6,4.497,4.5
1160,10.708,0.55,16.6,4.4975,4.5
1170,10.708,0.55,16.6,4.4979,4.5
1180,10.708,0.55,16.6,4.4982,4.5
1190,10.707,0.55,16.6,4.4984,4.5
1200,15.55,0.55,16.6,4.4987,4.5
