t,u1,u2,u3,y,ysp
10,13.625,0.55,16.6,7,5
20,11.81,0.55,16.6,7.0015,5
30,10.214,0.55,16.6,6.9,5
40,9.0002,0.55,16.6,6.7436,5
50,8.1972,0.55,16.6,6.5669,5
60,7.7864,0.55,16.6,6.386,5
70,7.7452,0.55,16.6,6.2039,5
80,8.0237,0.55,16.6,6.0181,5
90,8.5023,0.55,16.6,5.8248,5
100,9.0718,0.55,16.6,5.6212,5
110,9.6435,0.55,16.6,5.4067,5
120,10.153,0.55,16.6,5.1909,5
130,10.565,0.55,16.6,5.0037,5
140,10.866,0.55,16.6,4.8785,5
150,11.065,0.55,16.6,4.8195,5
160,11.18,0.55,16.6,4.8091,5
170,11.231,0.55,16.6,4.8283,5
180,11.239,0.55,16.6,4.8619,5
190,11.222,0.55,16.6,4.8993,5
200,11.192,0.55,16.6,4.9337,5
210,11.158,0.55,16.6,4.9618,5
220,11.127,0.55,16.6,4.9827,5
230,11.101,0.55,16.6,4.9968,5
240,11.081,0.55,16.6,5.0054,5
250,11.068,0.55,16.6,5.0096,5
260,11.06,0.55,16.6,5.0109,5
270,11.055,0.55,16.6,5.0103,5
280,11.054,0.55,16.6,5.0086,5
290,11.055,0.55,16.6,5.0066,5
300,11.056,0.55,16.6,5.0046,5
310,14.33,0.55,16.6,5.0028,8
320,17.084,0.55,16.6,5.0015,8
330,18.878,0.55,16.6,5.3516,8
340,19.882,0.55,16.6,5.7171,8
350,20.31,0.55,16.6,6.0097,8
360,20.39,0.55,16.6,6.2579,8
370,20.179,0.55,16.6,6.4856,8
380,19.71,0.55,16.6,6.7123,8
390,19.012,0.55,16.6,6.9553,8
400,18.137,0.55,16.6,7.2358,8
410,17.322,0.55,16.6,7.5824,8
420,16.738,0.55,16.6,7.9838,8
430,16.422,0.55,16.6,8.2494,8
440,16.313,0.55,16.6,8.2948,8
450,16.324,0.55,16.6,8.2271,8
460,16.384,0.55,16.6,8.1305,8
470,16.447,0.55,16.6,8.0523,8
480,16.494,0.55,16.6,8.0049,8
490,16.521,0.55,16.6,7.9834,8
500,16.532,0.55,16.6,7.9785,8
510,16.533,0.55,16.6,7.9823,8
520,16.529,0.55,16.6,7.9888,8
530,16.524,0.55,16.6,7.9948,8
540,16.519,0.55,16.6,7.9989,8
550,16.517,0.55,16.6,8.001,8
560,16.516,0.55,16.6,8.0016,8
570,16.516,0.55,16.6,8.0015,8
580,16.516,0.55,16.6,8.001,8
590,16.516,0.55,16.6,8.0005,8
600,16.517,0.55,16.6,8.0002,8
610,16.517,0.55,16.6,8,8
620,16.517,0.55,16.6,7.9999,8
630,16.517,0.55,16.6,7.9999,8
640,16.517,0.55,16.6,7.9999,8
650,16.517,0.55,16.6,8,8
660,16.517,0.55,16.6,8,8
670,16.517,0.55,16.6,8,8
680,16.517,0.55,16.6,8,8
690,16.517,0.55,16.6,8,8
700,16.517,0.55,16.6,8,8
710,12.592,0.55,16.6,8,4.5
720,9.5546,0.55,16.6,8,4.5
730,7.7954,0.55,16.6,7.3346,4.5
740,6.6471,0.55,16.6,6.9006,4.5
750,6.0464,0.55,16.6,6.5941,4.5
760,5.9565,0.55,16.6,6.3336,4.5
770,6.3409,0.55,16.6,6.0845,4.5
780,7.0394,0.55,16.6,5.8219,4.5
790,7.8763,0.55,16.6,5.517,4.5
800,8.7055,0.55,16.6,5.1226,4.5
810,9.4277,0.55,16.6,4.6808,4.5
820,10.003,0.55,16.6,4.4225,4.5
830,10.427,0.55,16.6,4.3093,4.5
840,10.716,0.55,16.6,4.2668,4.5
850,10.89,0.55,16.6,4.2631,4.5
860,10.976,0.55,16.6,4.2827,4.5
870,10.997,0.55,16.6,4.3159,4.5
880,10.978,0.55,16.6,4.3556,4.5
890,10.935,0.55,16.6,4.3961,4.5
900,10.883,0.55,16.6,4.4332,4.5
910,10.832,0.55,16.6,4.4639,4.5
920,10.787,0.55,16.6,4.4869,4.5
930,10.751,0.55,16.6,4.5025,4.5
940,10.724,0.55,16.6,4.5115,4.5
950,10.707,0.55,16.6,4.5155,4.5
960,10.696,0.55,16.6,4.516,4.5
970,10.691,0.55,16.6,4.5144,4.5
980,10.69,0.55,16.6,4.5118,4.5
990,10.692,0.55,16.6,4.5088,4.5
1000,10.694,0.55,16.6,4.506,4.5
1010,10.697,0.55,16.6,4.5037,4.5
1020,10.7,0.55,16.6,4.5018,4.5
1030,10.703,0.55,16.6,4.5005,4.5
1040,10.705,0.55,16.6,4.4997,4.5
1050,10.706,0.55,16.6,4.4993,4.5
1060,10.707,0.55,16.6,4.4991,4.5
1070,10.708,0.55,16.6,4.4991,4.5
1080,10.708,0.55,16.6,4.4992,4.5
1090,10.708,0.55,16.6,4.4994,4.5
1100,10.708,0.55,16.6,4.4995,4.5
1110,10.708,0.55,16.6,4.4997,4.5
1120,10.708,0.55,16.6,4.4998,4.5
1130,10.707,0.55,16.6,4.4999,4.5
1140,10.707,0.55,16.6,4.5,4.5
1150,10.707,0.55,16.6,4.5,4.5
1160,10.707,0.55,16.6,4.5,4.5
1170,10.707,0.55,16.6,4.5001,4.5
1180,10.707,0.55,16.6,4.5001,4.5
1190,10.707,0.55,16.6,4.5,4.5
1200,15.55,0.55,16.6,4.5,4.5
