t,u1,u2,u3,y,ysp
10,13.848,0.55,16.6,7,5
20,12.69,0.55,16.6,7.0015,5
30,11.67,0.55,16.6,6.911,5
40,10.792,0.55,16.6,6.7883,5
50,10.093,0.55,16.6,6.6535,5
60,9.5637,0.55,16.6,6.5154,5
70,9.2008,0.55,16.6,6.3778,5
80,9.1627,0.55,16.6,6.2405,5
90,9.7903,0.55,16.6,6.1024,5
100,10.326,0.55,16.6,5.9678,5
110,10.594,0.55,16.6,5.8587,5
120,10.717,0.55,16.6,5.7735,5
130,10.768,0.55,16.6,5.7021,5
140,10.788,0.55,16.6,5.6383,5
150,10.794,0.55,16.6,5.5786,5
160,10.797,0.55,16.6,5.5213,5
170,10.802,0.55,16.6,5.4656,5
180,10.811,0.55,16.6,5.4112,5
190,10.825,0.55,16.6,5.3584,5
200,10.844,0.55,16.6,5.3077,5
210,10.867,0.55,16.6,5.2599,5
220,10.893,0.55,16.6,5.2157,5
230,10.919,0.55,16.6,5.1758,5
240,10.945,0.55,16.6,5.1409,5
250,10.97,0.55,16.6,5.1111,5
260,10.992,0.55,16.6,5.0865,5
270,11.011,0.55,16.6,5.0668,5
280,11.027,0.55,16.6,5.0514,5
290,11.04,0.55,16.6,5.0398,5
300,11.049,0.55,16.6,5.0312,5
310,13.44,0.55,16.6,5.025,8
320,14.765,0.55,16.6,5.0206,8
330,15.389,0.55,16.6,5.2835,8
340,15.672,0.55,16.6,5.548,8
350,15.828,0.55,16.6,5.7517,8
360,15.952,0.55,16.6,5.91,8
370,16.142,0.55,16.6,6.0394,8
380,16.658,0.55,16.6,6.1503,8
390,17.427,0.55,16.6,6.2515,8
400,18.157,0.55,16.6,6.3574,8
410,18.744,0.55,16.6,6.4789,8
420,19.169,0.55,16.6,6.6194,8
430,19.404,0.55,16.6,6.7835,8
440,19.172,0.55,16.6,6.9831,8
450,17.802,0.55,16.6,7.248,8
460,17.249,0.55,16.6,7.6301,8
470,16.96,0.55,16.6,7.96,8
480,16.75,0.55,16.6,8.1998,8
490,16.609,0.55,16.6,8.3265,8
500,16.528,0.55,16.6,8.3657,8
510,16.489,0.55,16.6,8.3537,8
520,16.476,0.55,16.6,8.3161,8
530,16.476,0.55,16.6,8.2691,8
540,16.483,0.55,16.6,8.2225,8
550,16.491,0.55,16.6,8.1815,8
560,16.498,0.55,16.6,8.1479,8
570,16.503,0.55,16.6,8.1213,8
580,16.507,0.55,16.6,8.1003,8
590,16.509,0.55,16.6,8.0837,8
600,16.511,0.55,16.6,8.0704,8
610,16.512,0.55,16.6,8.0595,8
620,16.513,0.55,16.6,8.0504,8
630,16.513,0.55,16.6,8.0429,8
640,16.514,0.55,16.6,8.0365,8
650,16.515,0.55,16.6,8.0311,8
660,16.515,0.55,16.6,8.0265,8
670,16.515,0.55,16.6,8.0227,8
680,16.516,0.55,16.6,8.0195,8
690,16.516,0.55,16.6,8.0167,8
700,16.516,0.55,16.6,8.0144,8
710,14.11,0.55,16.6,8.0125,4.5
720,13.388,0.55,16.6,8.0108,4.5
730,13.311,0.55,16.6,7.5137,4.5
740,13.012,0.55,16.6,7.2176,4.5
750,11.85,0.55,16.6,7.038,4.5
760,10.577,0.55,16.6,6.8975,4.5
770,9.4757,0.55,16.6,6.7435,4.5
780,8.6082,0.55,16.6,6.5794,4.5
790,7.972,0.55,16.6,6.4117,4.5
800,7.8109,0.55,16.6,6.2402,4.5
810,8.7493,0.55,16.6,6.0601,4.5
820,9.3608,0.55,16.6,5.8724,4.5
830,9.6607,0.55,16.6,5.7128,4.5
840,9.8144,0.55,16.6,5.5715,4.5
850,9.9081,0.55,16.6,5.4359,4.5
860,9.9869,0.55,16.6,5.2981,4.5
870,10.074,0.55,16.6,5.1548,4.5
880,10.178,0.55,16.6,5.0093,4.5
890,10.294,0.55,16.6,4.8728,4.5
900,10.409,0.55,16.6,4.7592,4.5
910,10.507,0.55,16.6,4.6747,4.5
920,10.585,0.55,16.6,4.6168,4.5
930,10.641,0.55,16.6,4.5793,4.5
940,10.678,0.55,16.6,4.5561,4.5
950,10.702,0.55,16.6,4.5425,4.5
960,10.716,0.55,16.6,4.5348,4.5
970,10.722,0.55,16.6,4.5308,4.5
980,10.725,0.55,16.6,4.5288,4.5
990,10.724,0.55,16.6,4.5279,4.5
1000,10.723,0.55,16.6,4.5273,4.5
1010,10.72,0.55,16.6,4.5267,4.5
1020,10.718,0.55,16.6,4.5259,4.5
1030,10.716,0.55,16.6,4.525,4.5
1040,10.714,0.55,16.6,4.5239,4.5
1050,10.712,0.55,16.6,4.5226,4.5
1060,10.711,0.55,16.6,4.5212,4.5
1070,10.71,0.55,16.6,4.5198,4.5
1080,10.71,0.55,16.6,4.5183,4.5
1090,10.709,0.55,16.6,4.5169,4.5
1100,10.709,0.55,16.6,4.5156,4.5
1110,10.709,0.55,16.6,4.5143,4.5
1120,10.709,0.55,16.6,4.5132,4.5
1130,10.709,0.55,16.6,4.5121,4.5
1140,10.708,0.55,16.6,4.5111,4.5
1150,10.708,0.55,16.6,4.5102,4.5
1160,10.708,0.55,16.6,4.5094,4.5
1170,10.708,0.55,16.6,4.5086,4.5
1180,10.708,0.55,16.6,4.5079,4.5
1190,10.708,0.55,16.6,4.5073,4.5
1200,15.55,0.55,16.6,4.5067,4.5
