t,u1,u2,u3,y,ysp
10,16.698,0.55,16.6,7,8.0423
20,17.7,0.55,16.6,7.0015,8.0423
30,18.203,0.55,16.6,7.0702,8.0423
40,18.173,0.55,16.6,7.2138,8.0423
50,17.735,0.55,16.6,7.4378,8.0423
60,17.027,0.55,16.6,7.7569,8.0423
70,16.224,0.55,16.6,8.1218,8.0423
80,15.747,0.55,16.6,8.2802,8.0423
90,15.843,0.55,16.6,8.1468,8.0423
100,16.333,0.55,16.6,7.8966,8.0423
110,16.809,0.55,16.6,7.7469,8.0423
120,17.027,0.55,16.6,7.7327,8.0423
130,16.946,0.55,16.6,7.825,8.0423
140,16.651,0.55,16.6,7.9815,8.0423
150,16.324,0.55,16.6,8.1193,8.0423
160,16.169,0.55,16.6,8.1496,8.0423
170,16.261,0.55,16.6,8.0681,8.0423
180,16.497,0.55,16.6,7.9545,8.0423
190,16.704,0.55,16.6,7.8891,8.0423
200,16.771,0.55,16.6,7.896,8.0423
210,16.687,0.55,16.6,7.9597,8.0423
220,16.521,0.55,16.6,8.0412,8.0423
230,16.383,0.55,16.6,8.0906,8.0423
240,16.356,0.55,16.6,8.0809,8.0423
250,16.44,0.55,16.6,8.0288,8.0423
260,16.563,0.55,16.6,7.9768,8.0423
270,16.645,0.55,16.6,7.957,8.0423
280,16.644,0.55,16.6,7.9754,8.0423
290,16.575,0.55,16.6,8.0167,8.0423
300,16.488,0.55,16.6,8.0545,8.0423
310,16.44,0.55,16.6,8.0665,8.0423
320,16.456,0.55,16.6,8.0495,8.0423
330,16.514,0.55,16.6,8.0198,8.0423
340,16.574,0.55,16.6,7.9989,8.0423
350,16.597,0.55,16.6,7.9983,8.0423
360,16.577,0.55,16.6,8.0157,8.0423
370,16.532,0.55,16.6,8.0387,8.0423
380,16.493,0.55,16.6,8.053,8.0423
390,16.484,0.55,16.6,8.0515,8.0423
400,16.506,0.55,16.6,8.0379,8.0423
410,16.54,0.55,16.6,8.0232,8.0423
420,16.564,0.55,16.6,8.0171,8.0423
430,13.489,0.55,16.6,8.0222,3.6464
440,10.774,0.55,16.6,8.0342,3.6464
450,9.2473,0.55,16.6,7.4427,3.6464
460,7.6318,0.55,16.6,7.0105,3.6464
470,5.9145,0.55,16.6,6.7167,3.6464
480,5.079,0.55,16.6,6.4603,3.6464
490,5.036,0.55,16.6,6.1971,3.6464
500,5.2357,0.55,16.6,5.911,3.6464
510,5.3791,0.55,16.6,5.5588,3.6464
520,5.6556,0.55,16.6,4.9746,3.6464
530,6.1221,0.55,16.6,4.2938,3.6464
540,6.4224,0.55,16.6,3.9999,3.6464
550,6.7155,0.55,16.6,3.8481,3.6464
560,7.01,0.55,16.6,3.751,3.6464
570,7.2921,0.55,16.6,3.6842,3.6464
580,7.5552,0.55,16.6,3.6368,3.6464
590,7.7968,0.55,16.6,3.603,3.6464
600,8.016,0.55,16.6,3.579,3.6464
610,8.2125,0.55,16.6,3.5625,3.6464
620,8.3861,0.55,16.6,3.5518,3.6464
630,8.5373,0.55,16.6,3.5457,3.6464
640,8.6668,0.55,16.6,3.5432,3.6464
650,8.7755,0.55,16.6,3.5435,3.6464
660,8.865,0.55,16.6,3.5461,3.6464
670,8.9368,0.55,16.6,3.5504,3.6464
680,8.9928,0.55,16.6,3.5559,3.6464
690,9.0348,0.55,16.6,3.5623,3.6464
700,9.0648,0.55,16.6,3.5692,3.6464
710,9.0846,0.55,16.6,3.5764,3.6464
720,9.0961,0.55,16.6,3.5836,3.6464
730,9.101,0.55,16.6,3.5907,3.6464
740,9.1008,0.55,16.6,3.5974,3.6464
750,9.0968,0.55,16.6,3.6037,3.6464
760,9.0901,0.55,16.6,3.6095,3.6464
770,9.0818,0.55,16.6,3.6148,3.6464
780,9.0725,0.55,16.6,3.6195,3.6464
790,9.063,0.55,16.6,3.6237,3.6464
800,9.0536,0.55,16.6,3.6273,3.6464
810,9.0447,0.55,16.6,3.6304,3.6464
820,9.0364,0.55,16.6,3.6331,3.6464
830,9.029,0.55,16.6,3.6353,3.6464
840,10.886,0.55,16.6,3.6372,5.4189
850,12.862,0.55,16.6,3.6388,5.4189
860,14.186,0.55,16.6,3.6817,5.4189
870,14.772,0.55,16.6,3.7784,5.4189
880,14.757,0.55,16.6,3.9389,5.4189
890,14.24,0.55,16.6,4.1936,5.4189
900,13.235,0.55,16.6,4.6205,5.4189
910,12.038,0.55,16.6,5.0927,5.4189
920,11.259,0.55,16.6,5.3121,5.4189
930,10.924,0.55,16.6,5.3719,5.4189
940,10.867,0.55,16.6,5.3593,5.4189
950,10.94,0.55,16.6,5.3187,5.4189
960,11.054,0.55,16.6,5.2744,5.4189
970,11.162,0.55,16.6,5.2392,5.4189
980,11.245,0.55,16.6,5.2177,5.4189
990,11.303,0.55,16.6,5.209,5.4189
1000,11.34,0.55,16.6,5.2098,5.4189
1010,11.364,0.55,16.6,5.2165,5.4189
1020,11.38,0.55,16.6,5.2262,5.4189
1030,11.393,0.55,16.6,5.2372,5.4189
1040,11.404,0.55,16.6,5.2486,5.4189
1050,11.414,0.55,16.6,5.26,5.4189
1060,11.423,0.55,16.6,5.2712,5.4189
1070,11.432,0.55,16.6,5.2821,5.4189
1080,11.44,0.55,16.6,5.2926,5.4189
1090,11.447,0.55,16.6,5.3028,5.4189
1100,11.453,0.55,16.6,5.3125,5.4189
1110,11.458,0.55,16.6,5.3218,5.4189
1120,11.462,0.55,16.6,5.3305,5.4189
1130,11.466,0.55,16.6,5.3388,5.4189
1140,11.469,0.55,16.6,5.3465,5.4189
1150,11.472,0.55,16.6,5.3537,5.4189
1160,11.474,0.55,16.6,5.3604,5.4189
1170,11.476,0.55,16.6,5.3666,5.4189
1180,11.477,0.55,16.6,5.3723,5.4189
1190,11.478,0.55,16.6,5.3776,5.4189
1200,11.479,0.55,16.6,5.3824,5.4189
1210,11.48,0.55,16.6,5.3868,5.4189
1220,11.48,0.55,16.6,5.3908,5.4189
1230,12.571,0.55,16.6,5.3944,6.7717
1240,13.522,0.55,16.6,5.3977,6.7717
1250,14.177,0.55,16.6,5.4813,6.7717
1260,14.642,0.55,16.6,5.606,6.7717
1270,15.05,0.55,16.6,5.7345,6.7717
1280,15.464,0.55,16.6,5.8543,6.7717
1290,15.861,0.55,16.6,5.9657,6.7717
1300,16.188,0.55,16.6,6.0718,6.7717
1310,16.412,0.55,16.6,6.1747,6.7717
1320,16.527,0.55,16.6,6.2743,6.7717
1330,16.546,0.55,16.6,6.3697,6.7717
1340,16.492,0.55,16.6,6.4598,6.7717
1350,16.386,0.55,16.6,6.5435,6.7717
1360,16.252,0.55,16.6,6.6195,6.7717
1370,16.107,0.55,16.6,6.6871,6.7717
