t,u1,u2,u3,y,ysp
10,13.848,0.55,16.6,7,5
20,12.434,0.55,16.6,7.0015,5
30,11.237,0.55,16.6,6.911,5
40,10.3,0.55,16.6,6.7775,5
50,9.7091,0.55,16.6,6.6292,5
60,9.4962,0.55,16.6,6.4793,5
70,9.4738,0.55,16.6,6.3345,5
80,9.4033,0.55,16.6,6.1992,5
90,9.2832,0.55,16.6,6.0726,5
100,9.3172,0.55,16.6,5.9475,5
110,9.4864,0.55,16.6,5.8167,5
120,9.7268,0.55,16.6,5.6814,5
130,9.983,0.55,16.6,5.5448,5
140,10.215,0.55,16.6,5.4114,5
150,10.404,0.55,16.6,5.2866,5
160,10.553,0.55,16.6,5.1761,5
170,10.672,0.55,16.6,5.0838,5
180,10.771,0.55,16.6,5.0112,5
190,10.852,0.55,16.6,4.9577,5
200,10.918,0.55,16.6,4.9215,5
210,10.968,0.55,16.6,4.8997,5
220,11.004,0.55,16.6,4.8891,5
230,11.031,0.55,16.6,4.8865,5
240,11.049,0.55,16.6,4.8894,5
250,11.061,0.55,16.6,4.8956,5
260,11.069,0.55,16.6,4.9038,5
270,11.074,0.55,16.6,4.9129,5
280,11.076,0.55,16.6,4.9221,5
290,11.078,0.55,16.6,4.9311,5
300,11.078,0.55,16.6,4.9395,5
310,13.462,0.55,16.6,4.9473,8
320,15.214,0.55,16.6,4.9544,8
330,16.73,0.55,16.6,5.2423,8
340,18.041,0.55,16.6,5.5525,8
350,19.129,0.55,16.6,5.8167,8
360,19.696,0.55,16.6,6.0479,8
370,19.157,0.55,16.6,6.2637,8
380,18.454,0.55,16.6,6.4699,8
390,17.863,0.55,16.6,6.6481,8
400,17.469,0.55,16.6,6.8005,8
410,17.329,0.55,16.6,6.9314,8
420,17.378,0.55,16.6,7.0469,8
430,17.438,0.55,16.6,7.1597,8
440,17.38,0.55,16.6,7.2858,8
450,17.213,0.55,16.6,7.4349,8
460,17.012,0.55,16.6,7.6035,8
470,16.835,0.55,16.6,7.7749,8
480,16.699,0.55,16.6,7.9222,8
490,16.604,0.55,16.6,8.0243,8
500,16.545,0.55,16.6,8.0789,8
510,16.514,0.55,16.6,8.0978,8
520,16.5,0.55,16.6,8.0952,8
530,16.498,0.55,16.6,8.0826,8
540,16.501,0.55,16.6,8.0675,8
550,16.505,0.55,16.6,8.0534,8
560,16.509,0.55,16.6,8.0419,8
570,16.513,0.55,16.6,8.0332,8
580,16.515,0.55,16.6,8.0269,8
590,16.516,0.55,16.6,8.0223,8
600,16.517,0.55,16.6,8.0191,8
610,16.517,0.55,16.6,8.0166,8
620,16.517,0.55,16.6,8.0147,8
630,16.517,0.55,16.6,8.0131,8
640,16.517,0.55,16.6,8.0117,8
650,16.517,0.55,16.6,8.0104,8
660,16.517,0.55,16.6,8.0092,8
670,16.517,0.55,16.6,8.0082,8
680,16.517,0.55,16.6,8.0072,8
690,16.517,0.55,16.6,8.0064,8
700,16.517,0.55,16.6,8.0056,8
710,14.11,0.55,16.6,8.005,4.5
720,12.334,0.55,16.6,8.0044,4.5
730,10.798,0.55,16.6,7.5112,4.5
740,9.3653,0.55,16.6,7.1379,4.5
750,8.5005,0.55,16.6,6.8583,4.5
760,8.2294,0.55,16.6,6.6212,4.5
770,8.2116,0.55,16.6,6.4143,4.5
780,8.2129,0.55,16.6,6.2304,4.5
790,8.0991,0.55,16.6,6.0589,4.5
800,8.1647,0.55,16.6,5.8873,4.5
810,8.3528,0.55,16.6,5.697,4.5
820,8.565,0.55,16.6,5.4762,4.5
830,8.7149,0.55,16.6,5.2057,4.5
840,8.8675,0.55,16.6,4.874,4.5
850,9.1144,0.55,16.6,4.5636,4.5
860,9.4207,0.55,16.6,4.3595,4.5
870,9.745,0.55,16.6,4.2381,4.5
880,10.061,0.55,16.6,4.1676,4.5
890,10.35,0.55,16.6,4.1304,4.5
900,10.599,0.55,16.6,4.1171,4.5
910,10.795,0.55,16.6,4.1221,4.5
920,10.933,0.55,16.6,4.1418,4.5
930,11.012,0.55,16.6,4.1732,4.5
940,11.037,0.55,16.6,4.213,4.5
950,11.022,0.55,16.6,4.258,4.5
960,10.984,0.55,16.6,4.3043,4.5
970,10.935,0.55,16.6,4.3486,4.5
980,10.886,0.55,16.6,4.388,4.5
990,10.842,0.55,16.6,4.4209,4.5
1000,10.804,0.55,16.6,4.447,4.5
1010,10.775,0.55,16.6,4.4666,4.5
1020,10.752,0.55,16.6,4.4806,4.5
1030,10.735,0.55,16.6,4.4901,4.5
1040,10.723,0.55,16.6,4.4961,4.5
1050,10.715,0.55,16.6,4.4997,4.5
1060,10.709,0.55,16.6,4.5016,4.5
1070,10.706,0.55,16.6,4.5023,4.5
1080,10.704,0.55,16.6,4.5024,4.5
1090,10.703,0.55,16.6,4.5021,4.5
1100,10.703,0.55,16.6,4.5015,4.5
1110,10.704,0.55,16.6,4.501,4.5
1120,10.704,0.55,16.6,4.5005,4.5
1130,10.705,0.55,16.6,4.5,4.5
1140,10.705,0.55,16.6,4.4997,4.5
1150,10.706,0.55,16.6,4.4995,4.5
1160,10.706,0.55,16.6,4.4993,4.5
1170,10.706,0.55,16.6,4.4992,4.5
1180,10.707,0.55,16.6,4.4992,4.5
1190,10.707,0.55,16.6,4.4992,4.5
1200,15.55,0.55,16.6,4.4992,4.5
