t,u1,u2,u3,y,ysp
10,13.848,0.55,16.6,7,5
20,12.102,0.55,16.6,7.0015,5
30,10.843,0.55,16.6,6.911,5
40,10.229,0.55,16.6,6.7637,5
50,9.5885,0.55,16.6,6.6044,5
60,9.6089,0.55,16.6,6.4567,5
70,9.2003,0.55,16.6,6.311,5
80,9.2417,0.55,16.6,6.1815,5
90,9.1769,0.55,16.6,6.0461,5
100,9.2761,0.55,16.6,5.915,5
110,9.4934,0.55,16.6,5.7783,5
120,9.7548,0.55,16.6,5.638,5
130,10.005,0.55,16.6,5.4975,5
140,10.216,0.55,16.6,5.3613,5
150,10.389,0.55,16.6,5.2342,5
160,10.541,0.55,16.6,5.1212,5
170,10.681,0.55,16.6,5.0268,5
180,10.805,0.55,16.6,4.9547,5
190,10.905,0.55,16.6,4.9063,5
200,10.979,0.55,16.6,4.8791,5
210,11.031,0.55,16.6,4.8686,5
220,11.064,0.55,16.6,4.8696,5
230,11.084,0.55,16.6,4.8778,5
240,11.095,0.55,16.6,4.89,5
250,11.099,0.55,16.6,4.9038,5
260,11.1,0.55,16.6,4.9176,5
270,11.097,0.55,16.6,4.9307,5
280,11.093,0.55,16.6,4.9423,5
290,11.089,0.55,16.6,4.9525,5
300,11.085,0.55,16.6,4.9611,5
310,13.465,0.55,16.6,4.9683,8
320,15.632,0.55,16.6,4.9741,8
330,17.538,0.55,16.6,5.2556,8
340,19.046,0.55,16.6,5.5856,8
350,19.991,0.55,16.6,5.8725,8
360,20.102,0.55,16.6,6.1243,8
370,19.996,0.55,16.6,6.3562,8
380,18.985,0.55,16.6,6.5712,8
390,19.242,0.55,16.6,6.7868,8
400,18.281,0.55,16.6,6.9766,8
410,17.762,0.55,16.6,7.2255,8
420,17.308,0.55,16.6,7.4632,8
430,17.01,0.55,16.6,7.7091,8
440,16.796,0.55,16.6,7.9271,8
450,16.616,0.55,16.6,8.085,8
460,16.504,0.55,16.6,8.1676,8
470,16.461,0.55,16.6,8.1808,8
480,16.459,0.55,16.6,8.1543,8
490,16.471,0.55,16.6,8.1171,8
500,16.486,0.55,16.6,8.084,8
510,16.498,0.55,16.6,8.0593,8
520,16.508,0.55,16.6,8.0425,8
530,16.513,0.55,16.6,8.0317,8
540,16.517,0.55,16.6,8.0251,8
550,16.518,0.55,16.6,8.021,8
560,16.518,0.55,16.6,8.0184,8
570,16.518,0.55,16.6,8.0166,8
580,16.518,0.55,16.6,8.0151,8
590,16.517,0.55,16.6,8.0137,8
600,16.517,0.55,16.6,8.0124,8
610,16.517,0.55,16.6,8.0111,8
620,16.517,0.55,16.6,8.0099,8
630,16.517,0.55,16.6,8.0088,8
640,16.517,0.55,16.6,8.0077,8
650,16.517,0.55,16.6,8.0068,8
660,16.517,0.55,16.6,8.006,8
670,16.517,0.55,16.6,8.0053,8
680,16.517,0.55,16.6,8.0047,8
690,16.517,0.55,16.6,8.0041,8
700,16.517,0.55,16.6,8.0037,8
710,14.11,0.55,16.6,8.0032,4.5
720,12.149,0.55,16.6,8.0029,4.5
730,10.634,0.55,16.6,7.5106,4.5
740,9.4968,0.55,16.6,7.1249,4.5
750,8.4407,0.55,16.6,6.8432,4.5
760,8.3201,0.55,16.6,6.6153,4.5
770,7.954,0.55,16.6,6.4076,4.5
780,8.0432,0.55,16.6,6.2273,4.5
790,8.0585,0.55,16.6,6.047,4.5
800,8.2993,0.55,16.6,5.8681,4.5
810,8.641,0.55,16.6,5.6731,4.5
820,8.9391,0.55,16.6,5.4561,4.5
830,9.1072,0.55,16.6,5.2087,4.5
840,9.2932,0.55,16.6,4.9298,4.5
850,9.6141,0.55,16.6,4.6614,4.5
860,9.969,0.55,16.6,4.4713,4.5
870,10.276,0.55,16.6,4.3626,4.5
880,10.51,0.55,16.6,4.3082,4.5
890,10.672,0.55,16.6,4.2878,4.5
900,10.772,0.55,16.6,4.2887,4.5
910,10.825,0.55,16.6,4.3029,4.5
920,10.845,0.55,16.6,4.3249,4.5
930,10.843,0.55,16.6,4.3503,4.5
940,10.829,0.55,16.6,4.3763,4.5
950,10.81,0.55,16.6,4.4006,4.5
960,10.789,0.55,16.6,4.4219,4.5
970,10.769,0.55,16.6,4.4398,4.5
980,10.753,0.55,16.6,4.4542,4.5
990,10.739,0.55,16.6,4.4653,4.5
1000,10.728,0.55,16.6,4.4736,4.5
1010,10.72,0.55,16.6,4.4797,4.5
1020,10.715,0.55,16.6,4.484,4.5
1030,10.711,0.55,16.6,4.4871,4.5
1040,10.708,0.55,16.6,4.4892,4.5
1050,10.707,0.55,16.6,4.4907,4.5
1060,10.706,0.55,16.6,4.4917,4.5
1070,10.706,0.55,16.6,4.4925,4.5
1080,10.706,0.55,16.6,4.4932,4.5
1090,10.707,0.55,16.6,4.4937,4.5
1100,10.707,0.55,16.6,4.4942,4.5
1110,10.707,0.55,16.6,4.4947,4.5
1120,10.707,0.55,16.6,4.4952,4.5
1130,10.708,0.55,16.6,4.4957,4.5
1140,10.708,0.55,16.6,4.4961,4.5
1150,10.708,0.55,16.6,4.4966,4.5
1160,10.708,0.55,16.6,4.497,4.5
1170,10.708,0.55,16.6,4.4973,4.5
1180,10.707,0.55,16.6,4.4977,4.5
1190,10.707,0.55,16.6,4.498,4.5
1200,15.55,0.55,16.6,4.4982,4.5
