t,u1,u2,u3,y,ysp
10,16.7,0.55,16.6,7,8.0423
20,17.684,0.55,16.6,7.0015,8.0423
30,18.182,0.55,16.6,7.0703,8.0423
40,18.175,0.55,16.6,7.2127,8.0423
50,17.772,0.55,16.6,7.4338,8.0423
60,17.084,0.55,16.6,7.7509,8.0423
70,16.26,0.55,16.6,8.126,8.0423
80,15.735,0.55,16.6,8.3033,8.0423
90,15.8,0.55,16.6,8.1793,8.0423
100,16.307,0.55,16.6,7.9163,8.0423
110,16.809,0.55,16.6,7.7516,8.0423
120,17.041,0.55,16.6,7.7314,8.0423
130,16.964,0.55,16.6,7.8236,8.0423
140,16.663,0.55,16.6,7.984,8.0423
150,16.321,0.55,16.6,8.1276,8.0423
160,16.154,0.55,16.6,8.1609,8.0423
170,16.247,0.55,16.6,8.0767,8.0423
180,16.494,0.55,16.6,7.957,8.0423
190,16.711,0.55,16.6,7.8874,8.0423
200,16.781,0.55,16.6,7.8936,8.0423
210,16.694,0.55,16.6,7.9593,8.0423
220,16.521,0.55,16.6,8.0439,8.0423
230,16.377,0.55,16.6,8.0956,8.0423
240,16.348,0.55,16.6,8.0855,8.0423
250,16.436,0.55,16.6,8.0309,8.0423
260,16.565,0.55,16.6,7.9762,8.0423
270,16.65,0.55,16.6,7.9553,8.0423
280,16.649,0.55,16.6,7.9744,8.0423
290,16.577,0.55,16.6,8.0173,8.0423
300,16.487,0.55,16.6,8.0567,8.0423
310,16.436,0.55,16.6,8.069,8.0423
320,16.452,0.55,16.6,8.0511,8.0423
330,16.514,0.55,16.6,8.02,8.0423
340,16.576,0.55,16.6,7.9981,8.0423
350,16.6,0.55,16.6,7.9974,8.0423
360,16.579,0.55,16.6,8.0156,8.0423
370,16.532,0.55,16.6,8.0395,8.0423
380,16.491,0.55,16.6,8.0544,8.0423
390,16.482,0.55,16.6,8.0526,8.0423
400,16.505,0.55,16.6,8.0384,8.0423
410,16.541,0.55,16.6,8.023,8.0423
420,16.565,0.55,16.6,8.0166,8.0423
430,13.494,0.55,16.6,8.0219,3.6464
440,10.408,0.55,16.6,8.0344,3.6464
450,8.4721,0.55,16.6,7.4433,3.6464
460,6.8147,0.55,16.6,6.9904,3.6464
470,5.5242,0.55,16.6,6.6749,3.6464
480,5.1445,0.55,16.6,6.4024,3.6464
490,5.2962,0.55,16.6,6.132,3.6464
500,5.4971,0.55,16.6,5.8416,3.6464
510,5.5737,0.55,16.6,5.4756,3.6464
520,5.8371,0.55,16.6,4.8509,3.6464
530,6.2124,0.55,16.6,4.2454,3.6464
540,6.4576,0.55,16.6,3.9829,3.6464
550,6.7178,0.55,16.6,3.8398,3.6464
560,6.9938,0.55,16.6,3.7458,3.6464
570,7.2693,0.55,16.6,3.6801,3.6464
580,7.5344,0.55,16.6,3.6331,3.6464
590,7.7834,0.55,16.6,3.5994,3.6464
600,8.0122,0.55,16.6,3.5755,3.6464
610,8.2186,0.55,16.6,3.5592,3.6464
620,8.401,0.55,16.6,3.5488,3.6464
630,8.5591,0.55,16.6,3.5431,3.6464
640,8.6933,0.55,16.6,3.5411,3.6464
650,8.8048,0.55,16.6,3.542,3.6464
660,8.895,0.55,16.6,3.5452,3.6464
670,8.9659,0.55,16.6,3.55,3.6464
680,9.0198,0.55,16.6,3.5561,3.6464
690,9.0589,0.55,16.6,3.563,3.6464
700,9.0854,0.55,16.6,3.5704,3.6464
710,9.1016,0.55,16.6,3.5779,3.6464
720,9.1096,0.55,16.6,3.5854,3.6464
730,9.111,0.55,16.6,3.5927,3.6464
740,9.1077,0.55,16.6,3.5995,3.6464
750,9.101,0.55,16.6,3.6059,3.6464
760,9.0922,0.55,16.6,3.6116,3.6464
770,9.082,0.55,16.6,3.6168,3.6464
780,9.0714,0.55,16.6,3.6214,3.6464
790,9.0608,0.55,16.6,3.6254,3.6464
800,9.0508,0.55,16.6,3.6289,3.6464
810,9.0414,0.55,16.6,3.6318,3.6464
820,9.033,0.55,16.6,3.6343,3.6464
830,9.0256,0.55,16.6,3.6364,3.6464
840,10.876,0.55,16.6,3.6381,5.4189
850,12.816,0.55,16.6,3.6395,5.4189
860,14.158,0.55,16.6,3.6822,5.4189
870,14.776,0.55,16.6,3.7776,5.4189
880,14.779,0.55,16.6,3.9367,5.4189
890,14.269,0.55,16.6,4.1906,5.4189
900,13.254,0.55,16.6,4.6181,5.4189
910,12.024,0.55,16.6,5.0942,5.4189
920,11.236,0.55,16.6,5.3149,5.4189
930,10.909,0.55,16.6,5.373,5.4189
940,10.862,0.55,16.6,5.3584,5.4189
950,10.942,0.55,16.6,5.3165,5.4189
960,11.059,0.55,16.6,5.2719,5.4189
970,11.167,0.55,16.6,5.2371,5.4189
980,11.249,0.55,16.6,5.2162,5.4189
990,11.305,0.55,16.6,5.2082,5.4189
1000,11.341,0.55,16.6,5.2095,5.4189
1010,11.364,0.55,16.6,5.2164,5.4189
1020,11.38,0.55,16.6,5.2263,5.4189
1030,11.393,0.55,16.6,5.2374,5.4189
1040,11.404,0.55,16.6,5.2488,5.4189
1050,11.414,0.55,16.6,5.2602,5.4189
1060,11.424,0.55,16.6,5.2714,5.4189
1070,11.432,0.55,16.6,5.2822,5.4189
1080,11.44,0.55,16.6,5.2928,5.4189
1090,11.447,0.55,16.6,5.3029,5.4189
1100,11.453,0.55,16.6,5.3127,5.4189
1110,11.458,0.55,16.6,5.3219,5.4189
1120,11.462,0.55,16.6,5.3306,5.4189
1130,11.466,0.55,16.6,5.3389,5.4189
1140,11.469,0.55,16.6,5.3466,5.4189
1150,11.472,0.55,16.6,5.3538,5.4189
1160,11.474,0.55,16.6,5.3605,5.4189
1170,11.476,0.55,16.6,5.3667,5.4189
1180,11.477,0.55,16.6,5.3724,5.4189
1190,11.478,0.55,16.6,5.3777,5.4189
1200,11.479,0.55,16.6,5.3825,5.4189
1210,11.48,0.55,16.6,5.3869,5.4189
1220,11.48,0.55,16.6,5.3909,5.4189
1230,12.573,0.55,16.6,5.3945,6.7717
1240,13.534,0.55,16.6,5.3978,6.7717
1250,14.203,0.55,16.6,5.4814,6.7717
1260,14.686,0.55,16.6,5.6067,6.7717
1270,15.117,0.55,16.6,5.7363,6.7717
1280,15.559,0.55,16.6,5.8576,6.7717
1290,15.979,0.55,16.6,5.9709,6.7717
1300,16.312,0.55,16.6,6.0795,6.7717
1310,16.522,0.55,16.6,6.1852,6.7717
1320,16.61,0.55,16.6,6.2875,6.7717
1330,16.598,0.55,16.6,6.3852,6.7717
1340,16.514,0.55,16.6,6.4768,6.7717
1350,16.387,0.55,16.6,6.561,6.7717
1360,16.239,0.55,16.6,6.6368,6.7717
1370,16.087,0.55,16.6,6.7034,6.7717
1380,15.943,0.55,16.6,6.7602,6.7717
1390,15.812,0.55,16.6,6.8071,6.7717
