u,y
0.3,2.7314
0.6,2.7512
0.9,2.7713
1.2,2.7917
1.5,2.8123
1.8,2.8333
2.1,2.8547
2.4,2.8764
2.7,2.8986
3,2.9212
3.3,2.9444
3.6,2.9682
3.9,2.9926
4.2,3.0177
4.5,3.0436
4.8,3.0703
5.1,3.098
5.4,3.1268
5.7,3.1568
6,3.1881
6.3,3.221
6.6,3.2556
6.9,3.2923
7.2,3.3313
7.5,3.373
7.8,3.418
8.1,3.4669
8.4,3.5206
8.7,3.5804
9,3.6478
9.3,3.7256
9.6,3.8178
9.9,3.9312
10.2,4.0789
10.5,4.2889
10.8,4.6195
11.1,5.0469
11.4,5.3627
11.7,5.5761
12,5.7372
12.3,5.8696
12.6,5.9846
12.9,6.0887
13.2,6.1859
13.5,6.2792
13.8,6.3708
14.1,6.4627
14.4,6.5571
14.7,6.6563
15,6.7637
15.3,6.8841
15.6,7.0258
15.9,7.2051
16.2,7.4638
16.5,7.957
16.8,8.7191
17.1,9.0863
17.4,9.2957
17.7,9.4433
18,9.5581
18.3,9.6528
18.6,9.7338
18.9,9.8048
19.2,9.8682
19.5,9.9255
19.8,9.9779
20.1,10.026
20.4,10.071
20.7,10.113
21,10.152
21.3,10.189
21.6,10.223
21.9,10.256
22.2,10.287
22.5,10.316
22.8,10.344
23.1,10.371
23.4,10.396
23.7,10.42
24,10.443
24.3,10.465
24.6,10.486
24.9,10.506
25.2,10.525
25.5,10.544
25.8,10.561
26.1,10.578
26.4,10.595
26.7,10.61
27,10.626
27.3,10.64
27.6,10.654
27.9,10.668
28.2,10.681
28.5,10.693
28.8,10.705
29.1,10.717
29.4,10.728
29.7,10.739
30,10.75
