t,y,yref
10,7,7
20,7.0002,7.0015
30,7.0645,7.0603
40,7.1794,7.1661
50,7.3447,7.3181
60,7.5676,7.5203
70,7.8424,7.7657
80,8.0839,7.9902
90,8.1906,8.1082
100,8.1968,8.1339
110,8.1647,8.1196
120,8.1297,8.0984
130,8.1038,8.0824
140,8.0872,8.0726
150,8.0766,8.0668
160,8.0693,8.0628
170,8.0636,8.0596
180,8.059,8.0568
190,8.0552,8.0542
200,8.052,8.0519
210,8.0496,8.05
220,8.0476,8.0485
230,8.0461,8.0472
240,8.045,8.0462
250,8.0442,8.0455
260,8.0436,8.0448
270,8.0432,8.0443
280,8.0428,8.0439
290,8.0426,8.0436
300,8.0425,8.0434
310,8.0424,8.0432
320,8.0423,8.043
330,8.0422,8.0429
340,8.0422,8.0428
350,8.0422,8.0427
360,8.0422,8.0426
370,8.0422,8.0426
380,8.0422,8.0425
390,8.0422,8.0425
400,8.0423,8.0425
410,8.0423,8.0424
420,8.0423,8.0424
430,8.0423,8.0424
440,8.0423,8.0424
450,7.1924,7.226
460,6.8817,6.9213
470,6.6238,6.6733
480,6.3778,6.4443
490,6.117,6.2142
500,5.7969,5.959
510,5.2675,5.6318
520,4.3324,5.093
530,3.9777,4.4203
540,3.8507,4.153
550,3.7998,4.0409
560,3.7758,3.9782
570,3.7627,3.9363
580,3.7543,3.9051
590,3.7481,3.8801
600,3.7428,3.8591
610,3.7379,3.841
620,3.7332,3.825
630,3.7284,3.8106
640,3.7237,3.7976
650,3.7191,3.7857
660,3.7146,3.7749
670,3.7101,3.7649
680,3.7058,3.7557
690,3.7017,3.7473
700,3.6977,3.7395
710,3.6939,3.7323
720,3.6904,3.7256
730,3.687,3.7195
740,3.6838,3.7138
750,3.6809,3.7086
760,3.6781,3.7037
770,3.6756,3.6992
780,3.6732,3.6951
790,3.671,3.6913
800,3.669,3.6878
810,3.6671,3.6846
820,3.6654,3.6816
830,3.6638,3.6788
840,3.6623,3.6763
850,3.661,3.674
860,3.7165,3.7142
870,3.8271,3.7946
880,4.0112,3.9227
890,4.3286,4.1178
900,4.8742,4.4181
910,5.2854,4.825
920,5.4724,5.1315
930,5.5575,5.2872
940,5.5914,5.3649
950,5.5997,5.4052
960,5.5952,5.4264
970,5.5846,5.4373
980,5.5713,5.4425
990,5.5571,5.4444
1000,5.5431,5.4445
