t,u1,u2,u3,y,ysp
10,11.164,0.55,16.6,7,5
20,8.8998,0.55,16.6,7.0015,5
30,7.2794,0.55,16.6,6.7884,5
40,6.9916,0.55,16.6,6.5551,5
50,7.1371,0.55,16.6,6.3215,5
60,7.6405,0.55,16.6,6.1047,5
70,8.5292,0.55,16.6,5.8924,5
80,9.5771,0.55,16.6,5.6795,5
90,10.452,0.55,16.6,5.4798,5
100,10.963,0.55,16.6,5.3263,5
110,11.154,0.55,16.6,5.2418,5
120,11.17,0.55,16.6,5.2107,5
130,11.128,0.55,16.6,5.2018,5
140,11.088,0.55,16.6,5.1954,5
150,11.066,0.55,16.6,5.1851,5
160,11.058,0.55,16.6,5.1713,5
170,11.058,0.55,16.6,5.1561,5
180,11.06,0.55,16.6,5.1413,5
190,11.063,0.55,16.6,5.1277,5
200,11.064,0.55,16.6,5.1155,5
210,11.065,0.55,16.6,5.1046,5
220,11.065,0.55,16.6,5.0949,5
230,11.065,0.55,16.6,5.086,5
240,11.065,0.55,16.6,5.078,5
250,11.065,0.55,16.6,5.0707,5
260,11.065,0.55,16.6,5.064,5
270,11.065,0.55,16.6,5.058,5
280,11.065,0.55,16.6,5.0525,5
290,11.065,0.55,16.6,5.0476,5
300,11.065,0.55,16.6,5.0431,5
310,18.865,0.55,16.6,5.039,8
320,20.632,0.55,16.6,5.0353,8
330,23.581,0.55,16.6,5.6714,8
340,22.597,0.55,16.6,6.0457,8
350,21.851,0.55,16.6,6.4109,8
360,20.497,0.55,16.6,6.7228,8
370,17.916,0.55,16.6,7.0673,8
380,16.468,0.55,16.6,7.5,8
390,16.313,0.55,16.6,7.7948,8
400,16.455,0.55,16.6,7.8043,8
410,16.528,0.55,16.6,7.7773,8
420,16.535,0.55,16.6,7.7855,8
430,16.526,0.55,16.6,7.8097,8
440,16.521,0.55,16.6,7.8336,8
450,16.519,0.55,16.6,7.8532,8
460,16.519,0.55,16.6,7.8698,8
470,16.519,0.55,16.6,7.8844,8
480,16.518,0.55,16.6,7.8975,8
490,16.518,0.55,16.6,7.9092,8
500,16.518,0.55,16.6,7.9196,8
510,16.518,0.55,16.6,7.9288,8
520,16.517,0.55,16.6,7.937,8
530,16.517,0.55,16.6,7.9443,8
540,16.517,0.55,16.6,7.9507,8
550,16.517,0.55,16.6,7.9564,8
560,16.517,0.55,16.6,7.9614,8
570,16.517,0.55,16.6,7.9659,8
580,16.517,0.55,16.6,7.9698,8
590,16.517,0.55,16.6,7.9733,8
600,16.517,0.55,16.6,7.9764,8
610,16.517,0.55,16.6,7.9791,8
620,16.517,0.55,16.6,7.9815,8
630,16.517,0.55,16.6,7.9836,8
640,16.517,0.55,16.6,7.9855,8
650,16.517,0.55,16.6,7.9872,8
660,16.517,0.55,16.6,7.9886,8
670,16.517,0.55,16.6,7.9899,8
680,16.517,0.55,16.6,7.991,8
690,16.517,0.55,16.6,7.992,8
700,16.517,0.55,16.6,7.9929,8
710,8.8134,0.55,16.6,7.9936,4.5
720,6.8389,0.55,16.6,7.9943,4.5
730,5.1212,0.55,16.6,7.0491,4.5
740,4.6487,0.55,16.6,6.6487,4.5
750,4.8788,0.55,16.6,6.3288,4.5
760,6.0758,0.55,16.6,6.0319,4.5
770,8.138,0.55,16.6,5.7105,4.5
780,9.8087,0.55,16.6,5.3353,4.5
790,10.626,0.55,16.6,4.9855,4.5
800,10.899,0.55,16.6,4.8119,4.5
810,10.911,0.55,16.6,4.7679,4.5
820,10.839,0.55,16.6,4.7672,4.5
830,10.766,0.55,16.6,4.7684,4.5
840,10.721,0.55,16.6,4.7591,4.5
850,10.701,0.55,16.6,4.7404,4.5
860,10.696,0.55,16.6,4.7173,4.5
870,10.698,0.55,16.6,4.6938,4.5
880,10.702,0.55,16.6,4.6723,4.5
890,10.704,0.55,16.6,4.6533,4.5
900,10.706,0.55,16.6,4.6368,4.5
910,10.706,0.55,16.6,4.6224,4.5
920,10.707,0.55,16.6,4.6098,4.5
930,10.707,0.55,16.6,4.5986,4.5
940,10.707,0.55,16.6,4.5885,4.5
950,10.707,0.55,16.6,4.5796,4.5
960,10.707,0.55,16.6,4.5716,4.5
970,10.707,0.55,16.6,4.5644,4.5
980,10.707,0.55,16.6,4.558,4.5
990,10.707,0.55,16.6,4.5522,4.5
1000,15.55,0.55,16.6,4.5471,4.5
