t,u1,y,ysp
2.5,28.639,1.12,0.8
5,23.772,1.1197,0.8
7.5,19.635,1.1195,0.8
10,16.167,1.1192,0.8
12.5,13.302,1.119,0.8
15,10.971,1.1232,0.8
17.5,9.1058,1.1299,0.8
20,7.6441,1.1376,0.8
22.5,6.5281,1.1451,0.8
25,5.7051,1.1517,0.8
27.5,5.1287,1.1567,0.8
30,4.7578,1.1597,0.8
32.5,4.5577,1.1605,0.8
35,4.4989,1.1589,0.8
37.5,4.5574,1.155,0.8
40,4.7134,1.1488,0.8
42.5,4.9514,1.1403,0.8
45,5.2592,1.1298,0.8
47.5,5.6275,1.1174,0.8
50,6.049,1.1033,0.8
52.5,6.5184,1.0878,0.8
55,7.0314,1.0711,0.8
57.5,7.585,1.0534,0.8
60,8.1765,1.0349,0.8
62.5,8.8036,1.0159,0.8
65,9.4639,0.99648,0.8
67.5,10.155,0.97694,0.8
70,10.874,0.95742,0.8
72.5,11.617,0.93808,0.8
75,12.379,0.91909,0.8
77.5,13.155,0.90057,0.8
80,13.938,0.88266,0.8
82.5,14.72,0.86548,0.8
85,15.49,0.84914,0.8
87.5,16.24,0.83372,0.8
90,16.956,0.81933,0.8
92.5,17.629,0.80603,0.8
95,18.246,0.79388,0.8
97.5,18.797,0.78295,0.8
100,19.273,0.77327,0.8
102.5,19.668,0.76486,0.8
105,19.976,0.75775,0.8
107.5,20.196,0.75193,0.8
110,20.328,0.74739,0.8
112.5,20.376,0.7441,0.8
115,20.345,0.74202,0.8
117.5,20.242,0.74109,0.8
120,20.075,0.74125,0.8
122.5,19.856,0.74239,0.8
125,19.593,0.74445,0.8
127.5,19.297,0.7473,0.8
130,18.978,0.75085,0.8
132.5,18.643,0.75499,0.8
135,18.302,0.75959,0.8
137.5,17.962,0.76456,0.8
140,17.627,0.76978,0.8
142.5,17.304,0.77516,0.8
145,16.996,0.78059,0.8
147.5,16.705,0.78599,0.8
150,16.435,0.79128,0.8
152.5,16.186,0.79639,0.8
155,15.958,0.80126,0.8
157.5,15.752,0.80585,0.8
160,15.569,0.81012,0.8
162.5,15.406,0.81402,0.8
165,15.264,0.81755,0.8
167.5,15.141,0.82069,0.8
170,15.037,0.82343,0.8
172.5,14.95,0.82577,0.8
175,14.879,0.82772,0.8
177.5,14.823,0.82928,0.8
180,14.781,0.83048,0.8
182.5,14.751,0.83133,0.8
185,14.733,0.83185,0.8
187.5,14.724,0.83206,0.8
190,14.725,0.83199,0.8
192.5,14.734,0.83166,0.8
195,14.75,0.8311,0.8
197.5,14.771,0.83033,0.8
200,14.798,0.82939,0.8
202.5,14.828,0.82828,0.8
205,14.861,0.82705,0.8
207.5,14.897,0.82571,0.8
210,14.934,0.82428,0.8
212.5,14.972,0.82279,0.8
215,15.009,0.82125,0.8
217.5,15.046,0.81968,0.8
220,15.081,0.81811,0.8
222.5,15.115,0.81654,0.8
225,15.146,0.81499,0.8
227.5,15.175,0.81347,0.8
230,15.201,0.812,0.8
232.5,15.225,0.81057,0.8
235,15.245,0.8092,0.8
237.5,15.263,0.80789,0.8
240,15.279,0.80666,0.8
242.5,15.291,0.80549,0.8
245,15.302,0.8044,0.8
247.5,15.31,0.80338,0.8
250,15.317,0.80243,0.8
252.5,15.324,0.80156,0.8
255,15.331,0.80076,0.8
257.5,15.341,0.80003,0.8
260,15.353,0.79936,0.8
262.5,15.368,0.79876,0.8
265,15.385,0.79821,0.8
267.5,15.405,0.79772,0.8
270,15.427,0.79727,0.8
272.5,15.451,0.79687,0.8
275,15.476,0.79651,0.8
277.5,15.502,0.79618,0.8
280,15.528,0.7959,0.8
282.5,15.555,0.79564,0.8
285,15.581,0.79542,0.8
287.5,15.606,0.79523,0.8
290,15.63,0.79507,0.8
292.5,15.653,0.79494,0.8
295,15.674,0.79485,0.8
297.5,15.693,0.79479,0.8
300,15.711,0.79476,0.8
302.5,15.726,0.79476,0.8
305,15.739,0.7948,0.8
307.5,15.749,0.79487,0.8
310,15.757,0.79497,0.8
312.5,15.763,0.7951,0.8
315,15.767,0.79526,0.8
317.5,15.768,0.79544,0.8
320,15.767,0.79566,0.8
322.5,15.764,0.79589,0.8
325,15.759,0.79615,0.8
327.5,15.752,0.79643,0.8
330,15.742,0.79672,0.8
332.5,15.732,0.79703,0.8
335,15.719,0.79735,0.8
337.5,15.705,0.79768,0.8
340,15.69,0.79801,0.8
342.5,15.674,0.79834,0.8
345,15.657,0.79868,0.8
347.5,15.64,0.79901,0.8
350,15.622,0.79934,0.8
352.5,15.604,0.79966,0.8
355,15.585,0.79996,0.8
357.5,15.567,0.80026,0.8
360,15.55,0.80054,0.8
362.5,15.533,0.8008,0.8
365,15.517,0.80105,0.8
367.5,15.502,0.80127,0.8
370,15.488,0.80148,0.8
372.5,15.475,0.80166,0.8
375,15.463,0.80182,0.8
377.5,15.454,0.80195,0.8
380,15.445,0.80206,0.8
382.5,15.438,0.80215,0.8
385,15.433,0.80221,0.8
387.5,15.429,0.80224,0.8
390,15.426,0.80226,0.8
392.5,15.425,0.80225,0.8
395,15.425,0.80222,0.8
397.5,15.426,0.80217,0.8
400,15.428,0.8021,0.8
402.5,15.432,0.80202,0.8
405,15.436,0.80192,0.8
407.5,15.441,0.80181,0.8
410,15.447,0.80169,0.8
412.5,15.453,0.80155,0.8
415,15.459,0.80141,0.8
417.5,15.466,0.80127,0.8
420,15.473,0.80112,0.8
422.5,15.48,0.80097,0.8
425,15.487,0.80082,0.8
427.5,15.494,0.80067,0.8
430,15.501,0.80052,0.8
432.5,15.507,0.80038,0.8
435,15.513,0.80024,0.8
437.5,15.519,0.80011,0.8
440,15.525,0.79999,0.8
442.5,15.53,0.79988,0.8
445,15.535,0.79977,0.8
447.5,15.539,0.79968,0.8
450,15.542,0.79959,0.8
452.5,15.546,0.79952,0.8
455,15.549,0.79945,0.8
457.5,15.551,0.7994,0.8
460,15.553,0.79935,0.8
462.5,15.554,0.79932,0.8
465,15.555,0.79929,0.8
467.5,15.556,0.79927,0.8
470,15.557,0.79926,0.8
472.5,15.557,0.79926,0.8
475,15.556,0.79927,0.8
477.5,15.556,0.79928,0.8
