t,y,yref
2.5,1.12,1.12
5,1.1512,1.1197
7.5,1.1486,1.1195
10,1.1488,1.1192
12.5,1.1488,1.119
15,1.1603,1.1318
17.5,1.1753,1.1502
20,1.1877,1.167
22.5,1.1937,1.1775
25,1.1944,1.1824
27.5,1.1908,1.1824
30,1.1834,1.1782
32.5,1.1731,1.1704
35,1.1604,1.1595
37.5,1.1458,1.1459
40,1.1299,1.13
42.5,1.1129,1.1123
45,1.0949,1.0925
47.5,1.0761,1.0708
50,1.0567,1.0476
52.5,1.0371,1.0233
55,1.0176,0.99814
57.5,0.9985,0.97271
60,0.98007,0.94738
62.5,0.9625,0.92255
65,0.94597,0.89857
67.5,0.93057,0.87575
70,0.91638,0.85433
72.5,0.90344,0.83454
75,0.89178,0.81655
77.5,0.88141,0.80049
80,0.87233,0.78646
82.5,0.86453,0.77452
85,0.85802,0.76469
87.5,0.85279,0.75697
90,0.84882,0.75132
92.5,0.8461,0.74768
95,0.84457,0.74593
97.5,0.84419,0.74593
100,0.84488,0.74752
102.5,0.84655,0.75051
105,0.84906,0.75468
107.5,0.85229,0.75981
110,0.85607,0.76565
112.5,0.86027,0.77197
115,0.8647,0.77856
117.5,0.86921,0.78521
120,0.87366,0.79172
122.5,0.8779,0.79794
125,0.88184,0.80374
127.5,0.88537,0.80901
130,0.88844,0.81368
132.5,0.891,0.81771
135,0.89303,0.82107
137.5,0.89454,0.82378
140,0.89555,0.82585
142.5,0.89608,0.82733
145,0.89619,0.82826
147.5,0.89592,0.8287
150,0.89532,0.82871
152.5,0.89444,0.82835
155,0.89335,0.82768
157.5,0.89208,0.82676
160,0.89068,0.82564
162.5,0.8892,0.82437
165,0.88766,0.823
167.5,0.88611,0.82157
170,0.88456,0.8201
172.5,0.88303,0.81864
175,0.88155,0.81719
177.5,0.88013,0.81578
180,0.87878,0.81442
182.5,0.8775,0.81313
185,0.8763,0.81191
187.5,0.87518,0.81078
190,0.87415,0.80973
192.5,0.8732,0.80876
195,0.87233,0.80787
197.5,0.87154,0.80707
200,0.87083,0.80635
202.5,0.87019,0.80571
205,0.87011,0.80515
207.5,0.87038,0.80465
210,0.8708,0.80421
212.5,0.8712,0.80384
215,0.87162,0.80352
217.5,0.87203,0.80326
220,0.87245,0.80304
222.5,0.87287,0.80285
225,0.87328,0.80271
227.5,0.87368,0.80259
230,0.87408,0.80249
232.5,0.87447,0.80241
235,0.87483,0.80234
237.5,0.87514,0.80228
240,0.87541,0.80221
242.5,0.87562,0.80214
245,0.87577,0.80205
247.5,0.87586,0.80194
250,0.87589,0.8018
252.5,0.87584,0.80164
255,0.87573,0.80143
257.5,0.87556,0.8012
260,0.87532,0.80092
262.5,0.87503,0.80062
265,0.87467,0.80027
267.5,0.87425,0.79988
270,0.87376,0.79946
272.5,0.87323,0.799
275,0.87267,0.79853
277.5,0.8721,0.79806
280,0.87153,0.79761
282.5,0.87098,0.79718
285,0.87047,0.79681
287.5,0.87001,0.79648
290,0.86962,0.79622
292.5,0.8693,0.79603
295,0.86906,0.7959
297.5,0.8689,0.79585
