t,y,yref
2.5,1.12,1.12
5,1.1204,1.1197
7.5,1.1212,1.1195
10,1.1223,1.1192
12.5,1.1235,1.119
15,1.1376,1.132
17.5,1.1573,1.1511
20,1.1742,1.1677
22.5,1.1849,1.1779
25,1.1903,1.1826
27.5,1.1916,1.1824
30,1.1894,1.1781
32.5,1.1844,1.1702
35,1.1773,1.1591
37.5,1.1684,1.1454
40,1.1582,1.1295
42.5,1.1468,1.1116
45,1.1347,1.0921
47.5,1.1219,1.0714
50,1.1086,1.0495
52.5,1.0948,1.0268
55,1.0806,1.0034
57.5,1.0654,0.97883
60,1.0485,0.9527
62.5,1.0298,0.92516
65,1.0096,0.89682
67.5,0.98852,0.86861
70,0.96745,0.84158
72.5,0.94721,0.81672
75,0.92854,0.79479
77.5,0.912,0.7763
80,0.89793,0.76146
82.5,0.88649,0.75028
85,0.8777,0.74258
87.5,0.87144,0.73809
90,0.86756,0.7365
92.5,0.86582,0.73743
95,0.86597,0.74052
97.5,0.86774,0.7454
100,0.87081,0.75167
102.5,0.87488,0.75899
105,0.87962,0.767
107.5,0.88472,0.77537
110,0.88989,0.7838
112.5,0.89487,0.79202
115,0.89942,0.7998
117.5,0.90338,0.80696
120,0.90662,0.81337
122.5,0.90904,0.81892
125,0.91062,0.82357
127.5,0.91136,0.82731
130,0.91128,0.83016
132.5,0.91045,0.83218
135,0.90895,0.83344
137.5,0.90688,0.83402
140,0.90432,0.83401
142.5,0.90138,0.83352
145,0.89815,0.83263
147.5,0.89473,0.83143
150,0.89118,0.83001
152.5,0.88758,0.82844
155,0.884,0.82677
157.5,0.88047,0.82507
160,0.87705,0.82338
162.5,0.87376,0.82172
165,0.87063,0.82014
167.5,0.86767,0.81863
170,0.86489,0.81722
172.5,0.8623,0.81592
175,0.85989,0.81472
177.5,0.85767,0.81363
180,0.85562,0.81264
182.5,0.85373,0.81175
185,0.852,0.81094
187.5,0.85042,0.81022
190,0.84898,0.80958
192.5,0.84766,0.809
195,0.84645,0.80849
197.5,0.84535,0.80802
200,0.84434,0.80761
202.5,0.84341,0.80723
205,0.84257,0.80688
207.5,0.84179,0.80657
210,0.84108,0.80628
212.5,0.84043,0.80602
215,0.83983,0.80577
217.5,0.83928,0.80555
220,0.83877,0.80533
222.5,0.8383,0.80513
225,0.83787,0.80494
227.5,0.83747,0.80476
230,0.83709,0.80458
232.5,0.83674,0.8044
235,0.83641,0.80423
237.5,0.83609,0.80404
240,0.83578,0.80385
242.5,0.83547,0.80365
245,0.83516,0.80343
247.5,0.83484,0.80318
250,0.83451,0.80292
252.5,0.83416,0.80262
255,0.8338,0.80229
257.5,0.83341,0.80194
260,0.83301,0.80156
262.5,0.8326,0.80115
265,0.84085,0.8091
267.5,0.8455,0.81349
270,0.84707,0.81474
272.5,0.846,0.81322
275,0.8427,0.8093
277.5,0.83752,0.80326
280,0.83078,0.79541
282.5,0.82274,0.78597
285,0.81365,0.77518
287.5,0.80371,0.76324
290,0.7931,0.75032
292.5,0.78197,0.73658
295,0.77046,0.72217
297.5,0.75869,0.70722
300,0.74673,0.69183
302.5,0.73468,0.67612
305,0.7226,0.66016
307.5,0.71053,0.64404
310,0.69852,0.62784
312.5,0.68659,0.6116
315,0.67478,0.5954
317.5,0.66308,0.57927
320,0.65152,0.56325
322.5,0.64009,0.54739
325,0.62879,0.53172
327.5,0.61762,0.51626
330,0.60657,0.50104
332.5,0.59563,0.48607
335,0.58479,0.47137
337.5,0.57405,0.45696
340,0.56339,0.44285
342.5,0.55279,0.42904
345,0.54226,0.41555
347.5,0.53179,0.40237
350,0.52135,0.38952
352.5,0.51096,0.37699
355,0.50061,0.36478
357.5,0.49028,0.3529
360,0.47999,0.34133
362.5,0.46973,0.33009
365,0.45951,0.31917
367.5,0.44931,0.30854
370,0.43909,0.29815
372.5,0.42893,0.28808
375,0.41895,0.27843
377.5,0.40928,0.26934
380,0.40004,0.26092
382.5,0.39136,0.25329
385,0.3833,0.24651
387.5,0.3759,0.24061
390,0.3692,0.23558
392.5,0.36317,0.2314
395,0.35778,0.228
397.5,0.35296,0.22532
400,0.34867,0.22326
402.5,0.34481,0.22173
405,0.34132,0.22064
407.5,0.33811,0.2199
410,0.33511,0.21942
412.5,0.33227,0.21912
415,0.32951,0.21894
417.5,0.3268,0.21882
420,0.3241,0.21871
422.5,0.32138,0.21859
425,0.31863,0.21842
427.5,0.31582,0.21819
430,0.31297,0.21789
432.5,0.31007,0.21752
435,0.30714,0.21708
437.5,0.30417,0.21659
440,0.30119,0.21605
442.5,0.29821,0.21547
445,0.29524,0.21487
447.5,0.2923,0.21425
450,0.2894,0.21363
452.5,0.28655,0.21302
455,0.28376,0.21243
457.5,0.28104,0.21186
460,0.27839,0.21132
462.5,0.27582,0.21081
465,0.27333,0.21033
467.5,0.27091,0.20987
470,0.26856,0.20944
472.5,0.26628,0.20903
475,0.26405,0.20863
477.5,0.26188,0.20823
480,0.25974,0.20783
482.5,0.25763,0.2074
485,0.25554,0.20694
487.5,0.25344,0.20643
490,0.25134,0.20588
492.5,0.24922,0.20526
495,0.24707,0.20456
497.5,0.24489,0.20379
500,0.24267,0.20294
502.5,0.24042,0.20202
505,0.23813,0.20102
507.5,0.23582,0.19995
510,0.2335,0.19883
512.5,0.23117,0.19767
515,0.22595,0.19374
517.5,0.22372,0.193
520,0.2278,0.19859
522.5,0.23964,0.2115
525,0.2593,0.23131
527.5,0.2859,0.25683
530,0.31801,0.28657
532.5,0.35394,0.31897
535,0.39192,0.35259
537.5,0.43029,0.38614
540,0.4676,0.41853
542.5,0.50269,0.44883
545,0.53471,0.47636
547.5,0.56308,0.50062
550,0.5875,0.52134
552.5,0.60792,0.53843
555,0.62448,0.55201
557.5,0.63747,0.56233
560,0.64732,0.56978
562.5,0.65454,0.57484
565,0.65967,0.57803
567.5,0.66324,0.57986
570,0.66572,0.58079
572.5,0.66754,0.58123
575,0.66902,0.58148
577.5,0.6704,0.58177
580,0.67184,0.58225
582.5,0.67343,0.58299
585,0.67519,0.584
587.5,0.67712,0.58527
590,0.67917,0.58675
592.5,0.68131,0.58837
595,0.68346,0.59008
597.5,0.68557,0.59181
600,0.6876,0.59351
602.5,0.6895,0.59512
605,0.69124,0.59663
607.5,0.6928,0.59801
610,0.69418,0.59923
612.5,0.69538,0.60031
615,0.69639,0.60124
617.5,0.69723,0.60202
620,0.69792,0.60267
622.5,0.69846,0.6032
625,0.69888,0.60362
627.5,0.69919,0.60395
630,0.69941,0.6042
632.5,0.69955,0.60437
635,0.69961,0.60449
637.5,0.69962,0.60455
640,0.69958,0.60456
642.5,0.69948,0.60453
645,0.69935,0.60446
647.5,0.69918,0.60435
650,0.69898,0.60421
652.5,0.69876,0.60405
655,0.69851,0.60386
657.5,0.69824,0.60365
660,0.69797,0.60342
662.5,0.69768,0.60319
665,0.69739,0.60294
667.5,0.6971,0.6027
670,0.69681,0.60246
672.5,0.69653,0.60223
675,0.69627,0.602
677.5,0.69602,0.60179
680,0.69579,0.60159
682.5,0.69557,0.60141
685,0.69538,0.60125
687.5,0.69521,0.60111
690,0.69506,0.60098
692.5,0.69492,0.60087
695,0.6948,0.60077
697.5,0.6947,0.60068
700,0.6946,0.6006
702.5,0.69452,0.60053
705,0.69443,0.60045
707.5,0.69435,0.60038
710,0.69426,0.6003
712.5,0.69417,0.60021
715,0.69407,0.60012
717.5,0.69397,0.60002
720,0.69387,0.59993
722.5,0.69376,0.59983
725,0.69365,0.59974
727.5,0.69356,0.59966
730,0.69348,0.59961
732.5,0.69343,0.59959
735,0.69341,0.59962
737.5,0.69345,0.59971
740,0.69355,0.59987
742.5,0.69372,0.60012
745,0.69398,0.60045
747.5,0.69433,0.60089
750,0.69478,0.60143
752.5,0.69532,0.60207
755,0.69595,0.60281
757.5,0.69666,0.60362
760,0.69743,0.60449
762.5,0.69823,0.60539
765,0.68445,0.59358
767.5,0.66858,0.58107
770,0.66365,0.57976
772.5,0.66825,0.58742
775,0.68099,0.60216
777.5,0.70053,0.62233
780,0.72576,0.64672
782.5,0.75673,0.67528
785,0.79242,0.70712
787.5,0.83128,0.74099
790,0.87152,0.77556
792.5,0.91149,0.80961
795,0.9498,0.8421
797.5,0.98543,0.87229
800,1.0177,0.89974
802.5,1.0464,0.92432
805,1.0714,0.94609
807.5,1.0929,0.96529
810,1.1112,0.98219
812.5,1.1265,0.9971
815,1.1393,1.0103
817.5,1.1498,1.022
820,1.1585,1.0323
822.5,1.1654,1.0416
825,1.171,1.0499
827.5,1.1754,1.0573
830,1.1789,1.0641
832.5,1.1818,1.0704
835,1.1841,1.0763
837.5,1.1861,1.0819
840,1.1879,1.0874
842.5,1.1896,1.0927
845,1.1914,1.0979
847.5,1.1931,1.1031
850,1.1949,1.1082
852.5,1.1968,1.1133
855,1.1987,1.1182
857.5,1.2006,1.123
860,1.2025,1.1277
862.5,1.2044,1.1322
865,1.2062,1.1365
867.5,1.208,1.1406
870,1.2096,1.1444
872.5,1.2112,1.1481
875,1.2126,1.1515
877.5,1.214,1.1547
880,1.2152,1.1577
882.5,1.2164,1.1605
885,1.2175,1.1631
887.5,1.2185,1.1655
890,1.2194,1.1678
892.5,1.2202,1.1698
895,1.221,1.1718
897.5,1.2217,1.1736
900,1.2223,1.1752
902.5,1.2229,1.1768
905,1.2235,1.1782
907.5,1.224,1.1795
910,1.2244,1.1807
912.5,1.2248,1.1819
915,1.2252,1.1829
917.5,1.2255,1.1838
920,1.2258,1.1847
922.5,1.2261,1.1855
925,1.2264,1.1863
927.5,1.2266,1.187
930,1.2268,1.1876
932.5,1.227,1.1882
935,1.2272,1.1887
937.5,1.2274,1.1892
940,1.2275,1.1897
942.5,1.2277,1.1901
945,1.2278,1.1905
947.5,1.228,1.1909
950,1.2281,1.1912
952.5,1.2282,1.1915
955,1.2284,1.1918
957.5,1.2285,1.1921
960,1.2286,1.1924
962.5,1.2287,1.1927
965,1.2289,1.1929
967.5,1.229,1.1931
970,1.2291,1.1933
972.5,1.2292,1.1935
975,1.2293,1.1937
977.5,1.2294,1.1939
980,1.2296,1.1941
982.5,1.2297,1.1943
985,1.2298,1.1945
987.5,1.2299,1.1946
990,1.23,1.1948
992.5,1.2302,1.1949
995,1.2303,1.1951
997.5,1.2304,1.1952
1000,1.2305,1.1954
