t,y,yref
2.5,1.12,1.12
5,1.1202,1.1197
7.5,1.1207,1.1195
10,1.1212,1.1192
12.5,1.1219,1.119
15,1.1351,1.1319
17.5,1.1536,1.1508
20,1.1695,1.1675
22.5,1.1788,1.1778
25,1.1828,1.1825
27.5,1.1823,1.1824
30,1.1782,1.1781
32.5,1.1712,1.1703
35,1.1617,1.1592
37.5,1.1504,1.1456
40,1.1377,1.1296
42.5,1.1238,1.1118
45,1.1091,1.0923
47.5,1.0938,1.0716
50,1.078,1.0497
52.5,1.0619,1.027
55,1.0454,1.0035
57.5,1.028,0.97877
60,1.0095,0.95283
62.5,0.98987,0.9259
65,0.96936,0.89841
67.5,0.94833,0.87098
70,0.9273,0.84438
72.5,0.90692,0.81938
75,0.88783,0.79674
77.5,0.87062,0.77703
80,0.85573,0.76065
82.5,0.84342,0.74775
85,0.8338,0.7383
87.5,0.82684,0.73214
90,0.82243,0.72902
92.5,0.82038,0.72861
95,0.82046,0.73058
97.5,0.82241,0.73456
100,0.82591,0.74018
102.5,0.83064,0.74707
105,0.83627,0.75487
107.5,0.84246,0.76323
110,0.84889,0.77181
112.5,0.85526,0.78032
115,0.86131,0.78851
117.5,0.86683,0.79616
120,0.87166,0.80312
122.5,0.87568,0.80926
125,0.87884,0.81453
127.5,0.88112,0.81888
130,0.88254,0.82233
132.5,0.88315,0.82493
135,0.88302,0.82674
137.5,0.88225,0.82783
140,0.88092,0.82831
142.5,0.87913,0.82826
145,0.87699,0.82778
147.5,0.87458,0.82696
150,0.87199,0.82588
152.5,0.86928,0.82462
155,0.86653,0.82324
157.5,0.86377,0.8218
160,0.86107,0.82034
162.5,0.85844,0.81889
165,0.85592,0.81749
167.5,0.85352,0.81615
170,0.85126,0.81489
172.5,0.84913,0.81371
175,0.84715,0.81262
177.5,0.84531,0.81162
180,0.8436,0.81071
182.5,0.84203,0.80989
185,0.84058,0.80914
187.5,0.83924,0.80846
190,0.83802,0.80786
192.5,0.83689,0.80731
195,0.83585,0.80682
197.5,0.8349,0.80637
200,0.83402,0.80597
202.5,0.83322,0.8056
205,0.83247,0.80527
207.5,0.83178,0.80497
210,0.83115,0.80469
212.5,0.83056,0.80444
215,0.83002,0.8042
217.5,0.82951,0.80398
220,0.82904,0.80377
222.5,0.82861,0.80358
225,0.8282,0.8034
227.5,0.82782,0.80322
230,0.82746,0.80305
232.5,0.82713,0.80288
235,0.8268,0.80272
237.5,0.82649,0.80255
240,0.82619,0.80237
242.5,0.82589,0.80219
245,0.82559,0.80199
247.5,0.8253,0.80179
250,0.82499,0.80156
252.5,0.82468,0.80132
255,0.82436,0.80107
257.5,0.82404,0.80079
260,0.82371,0.80051
262.5,0.82337,0.80021
265,0.83205,0.80837
267.5,0.8371,0.81295
270,0.83903,0.81436
272.5,0.8383,0.81299
275,0.83532,0.8092
277.5,0.83045,0.80328
280,0.824,0.79552
282.5,0.81624,0.78618
285,0.8074,0.77546
287.5,0.7977,0.76358
290,0.78731,0.75072
292.5,0.77637,0.73704
295,0.76503,0.72267
297.5,0.75337,0.70775
300,0.74151,0.69239
302.5,0.72949,0.6767
305,0.7174,0.66077
307.5,0.70526,0.64467
310,0.69313,0.62847
312.5,0.68101,0.61225
315,0.66894,0.59605
317.5,0.65692,0.57992
320,0.64495,0.56391
322.5,0.63305,0.54804
325,0.62121,0.53237
327.5,0.60944,0.5169
330,0.59772,0.50167
332.5,0.58607,0.48669
335,0.57447,0.47199
337.5,0.56292,0.45757
340,0.55144,0.44345
342.5,0.54001,0.42963
345,0.52864,0.41613
347.5,0.51734,0.40294
350,0.50611,0.39007
352.5,0.49496,0.37753
355,0.48389,0.36531
357.5,0.47292,0.35341
360,0.46205,0.34184
362.5,0.4513,0.33058
365,0.44067,0.31965
367.5,0.43017,0.30902
370,0.41981,0.29871
372.5,0.4096,0.2887
375,0.39955,0.27898
377.5,0.38967,0.26957
380,0.37997,0.26044
382.5,0.37038,0.25155
385,0.3609,0.24292
387.5,0.35162,0.23463
390,0.34265,0.22681
392.5,0.3341,0.21957
395,0.32609,0.213
397.5,0.31869,0.20719
400,0.31199,0.20217
402.5,0.306,0.19798
405,0.30075,0.1946
407.5,0.29621,0.19199
410,0.29234,0.1901
412.5,0.28909,0.18885
415,0.2864,0.18816
417.5,0.28418,0.18794
420,0.28235,0.1881
422.5,0.28085,0.18856
425,0.27959,0.18925
427.5,0.2785,0.19008
430,0.27754,0.19099
432.5,0.27664,0.19195
435,0.27577,0.19289
437.5,0.27489,0.1938
440,0.274,0.19466
442.5,0.27306,0.19543
445,0.27208,0.19613
447.5,0.27105,0.19675
450,0.26998,0.19729
452.5,0.26887,0.19775
455,0.26773,0.19815
457.5,0.26657,0.19849
460,0.2654,0.19878
462.5,0.26423,0.19903
465,0.26307,0.19924
467.5,0.26191,0.19943
470,0.26077,0.19959
