y,w1,w2,w3
0.111,0.99884,0.001162,1.0347e-23
0.122,0.99867,0.0013337,2.9831e-23
0.133,0.99847,0.0015306,8.5225e-23
0.144,0.99824,0.0017566,2.4127e-22
0.155,0.99798,0.0020159,6.7685e-22
0.166,0.99769,0.0023134,1.8816e-21
0.177,0.99735,0.0026547,5.183e-21
0.188,0.99695,0.0030461,1.4148e-20
0.199,0.9965,0.0034951,3.8267e-20
0.21,0.99599,0.00401,1.0256e-19
0.221,0.9954,0.0046004,2.7238e-19
0.232,0.99472,0.0052772,7.1679e-19
0.243,0.99395,0.006053,1.8691e-18
0.254,0.99306,0.0069421,4.829e-18
0.265,0.99204,0.0079607,1.2362e-17
0.276,0.99087,0.0091275,3.1357e-17
0.287,0.98954,0.010463,7.8804e-17
0.298,0.98801,0.011992,1.9622e-16
0.309,0.98626,0.013742,4.8405e-16
0.32,0.98426,0.015742,1.183e-15
0.331,0.98197,0.018029,2.8643e-15
0.342,0.97936,0.02064,6.8699e-15
0.353,0.97638,0.023621,1.6322e-14
0.364,0.97298,0.02702,3.8413e-14
0.375,0.96911,0.030894,8.9541e-14
0.386,0.9647,0.035302,2.0672e-13
0.397,0.95969,0.040313,4.7261e-13
0.408,0.954,0.046001,1.07e-12
0.419,0.94755,0.052448,2.3984e-12
0.43,0.94026,0.059742,5.3228e-12
0.441,0.93202,0.067978,1.1694e-11
0.452,0.92274,0.077255,2.5426e-11
0.463,0.91232,0.08768,5.4713e-11
0.474,0.90064,0.09936,1.1649e-10
0.485,0.8876,0.1124,2.4537e-10
0.496,0.87308,0.12692,5.1119e-10
0.507,0.85699,0.14301,1.0531e-09
0.518,0.83924,0.16076,2.145e-09
0.529,0.81975,0.18025,4.3183e-09
0.54,0.79846,0.20154,8.591e-09
0.551,0.77535,0.22465,1.6885e-08
0.562,0.75041,0.24959,3.2777e-08
0.573,0.7237,0.2763,6.2829e-08
0.584,0.69528,0.30472,1.1889e-07
0.595,0.6653,0.3347,2.2205e-07
0.606,0.63392,0.36608,4.0924e-07
0.617,0.60136,0.39864,7.4412e-07
0.628,0.56787,0.43213,1.3347e-06
0.639,0.53376,0.46624,2.3614e-06
0.65,0.49932,0.50067,4.1204e-06
0.661,0.46489,0.5351,7.0912e-06
0.672,0.43079,0.56919,1.2036e-05
0.683,0.39734,0.60264,2.0151e-05
0.694,0.36482,0.63515,3.3281e-05
0.705,0.33348,0.66647,5.4228e-05
0.716,0.30354,0.69637,8.7191e-05
0.727,0.27518,0.72468,0.00013836
0.738,0.24852,0.75126,0.00021676
0.749,0.22363,0.77603,0.00033529
0.76,0.20057,0.79892,0.00051224
0.771,0.17931,0.81991,0.00077307
0.782,0.15985,0.839,0.0011528
0.793,0.1421,0.8562,0.0016989
0.804,0.12601,0.87152,0.0024747
0.815,0.11147,0.88497,0.0035636
0.826,0.098375,0.89655,0.0050736
0.837,0.086625,0.90623,0.0071419
0.848,0.076106,0.91395,0.0099401
0.859,0.06671,0.91961,0.013678
0.87,0.058333,0.92306,0.018606
0.881,0.050874,0.92411,0.025016
0.892,0.044243,0.92252,0.033235
0.903,0.038354,0.91803,0.043618
0.914,0.033133,0.91034,0.056527
0.925,0.02851,0.89918,0.072311
0.936,0.024425,0.88431,0.091269
0.947,0.020827,0.86556,0.11362
0.958,0.017668,0.84289,0.13944
0.969,0.014908,0.81641,0.16868
0.98,0.01251,0.78639,0.2011
0.991,0.010439,0.7533,0.23626
1.002,0.0086649,0.71774,0.27359
1.013,0.0071562,0.68045,0.3124
1.024,0.0058838,0.64221,0.3519
1.035,0.0048194,0.60384,0.39134
1.046,0.0039359,0.56607,0.42999
1.057,0.0032076,0.52957,0.46722
1.068,0.0026112,0.49487,0.50252
1.079,0.0021253,0.46236,0.53551
1.09,0.0017312,0.43232,0.56595
1.101,0.0014124,0.40489,0.59369
1.112,0.0011553,0.38015,0.6187
1.123,0.00094794,0.35807,0.64099
1.134,0.00078085,0.33858,0.66064
1.145,0.0006461,0.32158,0.67777
1.156,0.00053726,0.30697,0.6925
1.167,0.00044918,0.2946,0.70495
1.178,0.00037771,0.28437,0.71525
1.189,0.00031955,0.27616,0.72352
1.2,0.00027204,0.26988,0.72985
