t,s1,s2,s3
2.5,0,0,0
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,-0.00027707,-0.00062541,-0.00079851
15,-0.00031267,-0.0010089,-0.0013549
17.5,-0.00013613,-0.001186,-0.0017102
20,0.00022596,-0.0011879,-0.0018996
22.5,0.00074949,-0.0010422,-0.0019532
25,0.0014127,-0.00077321,-0.0018968
27.5,0.0021959,-0.00040214,-0.0017523
30,0.0030812,5.2385e-05,-0.0015381
32.5,0.0040528,0.00057412,-0.0012701
35,0.0050963,0.0011489,-0.00096143
37.5,0.0061987,0.0017645,-0.00062318
40,0.0073484,0.0024102,-0.00026462
42.5,0.0085351,0.0030769,0.00010659
45,0.0097496,0.0037568,0.00048412
47.5,0.010984,0.0044431,0.00086283
50,0.01223,0.0051302,0.0012385
52.5,0.013482,0.0058132,0.0016079
55,0.014735,0.0064881,0.0019683
57.5,0.015983,0.0071517,0.0023178
60,0.017221,0.0078011,0.0026547
62.5,0.018447,0.0084343,0.0029781
65,0.019656,0.0090494,0.0032871
67.5,0.020847,0.0096451,0.0035814
70,0.022016,0.01022,0.0038608
72.5,0.023162,0.010775,0.0041251
75,0.024282,0.011307,0.0043746
77.5,0.025377,0.011818,0.0046096
80,0.026443,0.012308,0.0048304
82.5,0.027482,0.012775,0.0050375
85,0.028491,0.013221,0.0052313
87.5,0.029471,0.013646,0.0054125
90,0.030422,0.01405,0.0055815
92.5,0.031342,0.014434,0.0057391
95,0.032233,0.014799,0.0058857
97.5,0.033094,0.015145,0.0060219
100,0.033926,0.015472,0.0061484
102.5,0.034728,0.015782,0.0062658
105,0.035502,0.016074,0.0063745
107.5,0.036248,0.016351,0.0064751
110,0.036966,0.016611,0.0065682
112.5,0.037656,0.016857,0.0066542
115,0.038321,0.017089,0.0067336
117.5,0.038959,0.017307,0.0068068
120,0.039572,0.017512,0.0068744
122.5,0.04016,0.017705,0.0069366
125,0.040725,0.017886,0.0069939
127.5,0.041266,0.018057,0.0070467
130,0.041785,0.018216,0.0070952
132.5,0.042282,0.018366,0.0071398
135,0.042758,0.018507,0.0071807
137.5,0.043213,0.018639,0.0072184
140,0.043649,0.018762,0.0072529
142.5,0.044066,0.018878,0.0072846
145,0.044465,0.018986,0.0073136
147.5,0.044846,0.019087,0.0073403
150,0.04521,0.019182,0.0073647
152.5,0.045557,0.019271,0.007387
155,0.045889,0.019353,0.0074075
157.5,0.046206,0.019431,0.0074262
160,0.046509,0.019503,0.0074434
162.5,0.046798,0.01957,0.0074591
165,0.047073,0.019633,0.0074734
167.5,0.047335,0.019692,0.0074865
170,0.047586,0.019747,0.0074985
172.5,0.047824,0.019798,0.0075094
175,0.048051,0.019846,0.0075194
177.5,0.048268,0.01989,0.0075286
180,0.048474,0.019931,0.0075369
182.5,0.048671,0.01997,0.0075445
185,0.048858,0.020006,0.0075514
187.5,0.049036,0.020039,0.0075578
190,0.049205,0.02007,0.0075635
192.5,0.049366,0.020099,0.0075688
195,0.04952,0.020126,0.0075736
197.5,0.049666,0.020151,0.007578
200,0.049805,0.020175,0.007582
202.5,0.049937,0.020196,0.0075856
205,0.050062,0.020217,0.0075889
207.5,0.050182,0.020235,0.0075919
210,0.050295,0.020253,0.0075947
212.5,0.050403,0.020269,0.0075972
215,0.050505,0.020284,0.0075995
217.5,0.050603,0.020298,0.0076015
220,0.050695,0.020311,0.0076034
222.5,0.050783,0.020323,0.0076051
225,0.050867,0.020334,0.0076067
227.5,0.050946,0.020345,0.0076081
230,0.051021,0.020354,0.0076094
232.5,0.051093,0.020363,0.0076106
235,0.051161,0.020372,0.0076116
237.5,0.051225,0.02038,0.0076126
240,0.051286,0.020387,0.0076135
242.5,0.051344,0.020393,0.0076143
245,0.051399,0.020399,0.007615
247.5,0.051452,0.020405,0.0076157
250,0.051501,0.020411,0.0076163
