u,y_model,y_real
0.6,0.05,0.057615
1.2,0.11918,0.11093
1.8,0.1653,0.16054
2.4,0.2121,0.20691
3,0.26015,0.2504
3.6,0.31042,0.29134
4.2,0.36433,0.32997
4.8,0.42283,0.36652
5.4,0.483,0.40116
6,0.53661,0.43406
6.6,0.5786,0.46537
7.2,0.6108,0.49519
7.8,0.63662,0.52364
8.4,0.65842,0.55082
9,0.67762,0.5768
9.6,0.69504,0.60168
10.2,0.71119,0.62551
10.8,0.72642,0.64837
11.4,0.74095,0.6703
12,0.75496,0.69136
12.6,0.76856,0.71161
13.2,0.78186,0.73107
13.8,0.79492,0.7498
14.4,0.80781,0.76783
15,0.82059,0.78519
15.6,0.83329,0.80192
16.2,0.84597,0.81805
16.8,0.85867,0.83361
17.4,0.87144,0.84861
18,0.88434,0.8631
18.6,0.89742,0.87708
19.2,0.91078,0.89058
19.8,0.92451,0.90363
20.4,0.93871,0.91623
21,0.95352,0.92842
21.6,0.96904,0.94019
22.2,0.98524,0.95158
22.8,1.0018,0.96259
23.4,1.0182,0.97325
24,1.0335,0.98356
24.6,1.0473,0.99353
25.2,1.0594,1.0032
25.8,1.0701,1.0125
26.4,1.0796,1.0216
27,1.0882,1.0303
27.6,1.096,1.0388
28.2,1.1032,1.047
28.8,1.1099,1.055
29.4,1.1161,1.0627
30,1.1221,1.0701
30.6,1.1277,1.0774
31.2,1.1331,1.0843
31.8,1.1383,1.0911
32.4,1.1433,1.0977
33,1.1482,1.1041
33.6,1.1529,1.1102
34.2,1.1576,1.1162
34.8,1.1621,1.122
35.4,1.1665,1.1276
36,1.1708,1.133
36.6,1.1751,1.1382
37.2,1.1793,1.1433
37.8,1.1834,1.1483
38.4,1.1875,1.153
39,1.1916,1.1577
39.6,1.1956,1.1621
40.2,1.1996,1.1665
40.8,1.2035,1.1707
41.4,1.2075,1.1747
42,1.2114,1.1786
42.6,1.2153,1.1824
43.2,1.2191,1.1861
43.8,1.223,1.1897
44.4,1.2268,1.1931
45,1.2307,1.1964
45.6,1.2345,1.1996
46.2,1.2384,1.2027
46.8,1.2422,1.2057
47.4,1.2461,1.2086
48,1.2499,1.2114
48.6,1.2538,1.2141
49.2,1.2577,1.2168
49.8,1.2616,1.2193
50.4,1.2655,1.2217
51,1.2695,1.224
51.6,1.2734,1.2263
52.2,1.2774,1.2285
52.8,1.2815,1.2305
53.4,1.2855,1.2326
54,1.2896,1.2345
54.6,1.2938,1.2363
55.2,1.298,1.2381
55.8,1.3022,1.2398
56.4,1.3065,1.2415
57,1.3109,1.2431
57.6,1.3154,1.2446
58.2,1.3199,1.246
58.8,1.3246,1.2474
59.4,1.3293,1.2487
60,1.3342,1.25
