t,y,yref
2.5,1.12,1.12
5,1.1172,1.1197
7.5,1.1172,1.1195
10,1.1172,1.1192
12.5,1.1172,1.119
15,1.1311,1.1319
17.5,1.1492,1.1508
20,1.1631,1.1675
22.5,1.1707,1.1778
25,1.1739,1.1825
27.5,1.1736,1.1824
30,1.1706,1.1781
32.5,1.1652,1.1703
35,1.1576,1.1592
37.5,1.148,1.1456
40,1.1365,1.1296
42.5,1.1231,1.1118
45,1.1079,1.0923
47.5,1.091,1.0716
50,1.0723,1.0497
52.5,1.0519,1.027
55,1.0298,1.0035
57.5,1.0046,0.97877
60,0.97574,0.95283
62.5,0.94228,0.9259
65,0.90378,0.89841
67.5,0.86014,0.87098
70,0.81184,0.84438
72.5,0.76017,0.81938
75,0.70724,0.79674
77.5,0.6559,0.77703
80,0.60927,0.76065
82.5,0.57029,0.74775
85,0.54125,0.7383
87.5,0.52346,0.73214
90,0.51723,0.72902
92.5,0.52189,0.72861
95,0.53605,0.73058
97.5,0.5578,0.73456
100,0.58506,0.74018
102.5,0.6157,0.74707
105,0.64783,0.75487
107.5,0.67985,0.76323
110,0.71051,0.77181
112.5,0.7389,0.78032
115,0.76445,0.78851
117.5,0.78685,0.79616
120,0.80598,0.80312
122.5,0.82187,0.80926
125,0.83469,0.81453
127.5,0.84464,0.81888
130,0.85198,0.82233
132.5,0.857,0.82493
135,0.85999,0.82674
137.5,0.86124,0.82783
140,0.86102,0.82831
142.5,0.8596,0.82826
145,0.85723,0.82778
147.5,0.85414,0.82696
150,0.85053,0.82588
152.5,0.84659,0.82462
155,0.84247,0.82324
157.5,0.83831,0.8218
160,0.8342,0.82034
162.5,0.83024,0.81889
165,0.8265,0.81749
167.5,0.82301,0.81615
170,0.8198,0.81489
172.5,0.8169,0.81371
175,0.8143,0.81262
177.5,0.812,0.81162
180,0.80998,0.81071
182.5,0.80822,0.80989
185,0.80671,0.80914
187.5,0.80542,0.80846
190,0.80432,0.80786
192.5,0.80339,0.80731
195,0.80261,0.80682
197.5,0.80196,0.80637
200,0.80142,0.80597
202.5,0.80122,0.8056
205,0.80127,0.80527
207.5,0.80142,0.80497
210,0.80158,0.80469
212.5,0.80175,0.80444
215,0.80193,0.8042
217.5,0.80212,0.80398
220,0.8023,0.80377
222.5,0.80248,0.80358
225,0.80266,0.8034
227.5,0.80284,0.80322
230,0.80301,0.80305
232.5,0.80317,0.80288
235,0.80331,0.80272
237.5,0.80344,0.80255
240,0.80354,0.80237
242.5,0.80361,0.80219
245,0.80363,0.80199
247.5,0.80358,0.80179
250,0.80344,0.80156
252.5,0.80321,0.80132
255,0.80289,0.80107
257.5,0.80248,0.80079
260,0.80199,0.80051
262.5,0.80143,0.80021
265,0.83622,0.80837
267.5,0.85839,0.81295
270,0.87136,0.81436
272.5,0.87736,0.81299
275,0.8779,0.8092
277.5,0.87402,0.80328
280,0.8665,0.79552
282.5,0.85591,0.78618
285,0.84272,0.77546
287.5,0.82728,0.76358
290,0.8099,0.75072
292.5,0.79085,0.73704
295,0.77034,0.72267
297.5,0.74861,0.70775
300,0.72582,0.69239
302.5,0.70218,0.6767
305,0.67783,0.66077
307.5,0.65295,0.64467
310,0.62768,0.62847
312.5,0.60215,0.61225
315,0.57651,0.59605
317.5,0.55086,0.57992
320,0.52534,0.56391
322.5,0.50004,0.54804
325,0.47506,0.53237
327.5,0.45049,0.5169
330,0.42641,0.50167
332.5,0.4029,0.48669
335,0.38,0.47199
337.5,0.35779,0.45757
340,0.33629,0.44345
342.5,0.31556,0.42963
345,0.29561,0.41613
347.5,0.27648,0.40294
350,0.25817,0.39007
352.5,0.24069,0.37753
355,0.22404,0.36531
357.5,0.20823,0.35341
360,0.19324,0.34184
362.5,0.17906,0.33058
365,0.16568,0.31965
367.5,0.15307,0.30902
370,0.14121,0.29871
372.5,0.13007,0.2887
375,0.11964,0.27898
377.5,0.10988,0.26957
380,0.10076,0.26044
382.5,0.090299,0.25155
385,0.077457,0.24292
387.5,0.062246,0.23463
390,0.045349,0.22681
392.5,0.027833,0.21957
395,0.010944,0.213
397.5,0,0.20719
400,0,0.20217
402.5,0,0.19798
405,0,0.1946
407.5,0,0.19199
410,0,0.1901
412.5,0,0.18885
415,0.0010525,0.18816
417.5,0.016385,0.18794
420,0.033412,0.1881
422.5,0.051346,0.18856
425,0.069487,0.18925
427.5,0.087249,0.19008
430,0.10417,0.19099
432.5,0.11991,0.19195
435,0.13425,0.19289
437.5,0.14704,0.1938
440,0.15824,0.19466
442.5,0.16787,0.19543
445,0.176,0.19613
447.5,0.18272,0.19675
450,0.18817,0.19729
452.5,0.19314,0.19775
455,0.19707,0.19815
457.5,0.20013,0.19849
460,0.20248,0.19878
462.5,0.20427,0.19903
465,0.20561,0.19924
467.5,0.20663,0.19943
470,0.20742,0.19959
472.5,0.20806,0.19972
475,0.2086,0.19982
477.5,0.20909,0.1999
480,0.20954,0.19996
482.5,0.20995,0.19997
485,0.21033,0.19995
487.5,0.21065,0.19989
490,0.21087,0.19978
492.5,0.21096,0.19961
495,0.21088,0.19939
497.5,0.21059,0.19912
500,0.21006,0.19879
502.5,0.20926,0.19841
505,0.2082,0.19798
507.5,0.20689,0.19751
510,0.20536,0.197
512.5,0.20366,0.19647
515,0.054332,0.19318
517.5,0,0.19304
520,0,0.19926
522.5,0,0.2129
525,0,0.23362
527.5,0,0.26032
530,0,0.29154
532.5,0,0.32574
535,0,0.36145
537.5,0.16286,0.39732
540,0.35572,0.43219
