y,w1,w2
0.111,0.98719,0.01281
0.122,0.98589,0.014106
0.133,0.98447,0.015531
0.144,0.9829,0.017098
0.155,0.98118,0.01882
0.166,0.97929,0.020711
0.177,0.97721,0.022789
0.188,0.97493,0.025069
0.199,0.97243,0.027571
0.21,0.96969,0.030314
0.221,0.96668,0.033322
0.232,0.96338,0.036617
0.243,0.95978,0.040224
0.254,0.95583,0.044169
0.265,0.95152,0.048483
0.276,0.94681,0.053194
0.287,0.94167,0.058335
0.298,0.93606,0.063939
0.309,0.92996,0.070042
0.32,0.92332,0.076679
0.331,0.91611,0.083889
0.342,0.90829,0.091709
0.353,0.89982,0.10018
0.364,0.89066,0.10934
0.375,0.88078,0.11922
0.386,0.87013,0.12987
0.397,0.85869,0.14131
0.408,0.84641,0.15359
0.419,0.83328,0.16672
0.43,0.81926,0.18074
0.441,0.80434,0.19566
0.452,0.78851,0.21149
0.463,0.77176,0.22824
0.474,0.75409,0.24591
0.485,0.73553,0.26447
0.496,0.71609,0.28391
0.507,0.69582,0.30418
0.518,0.67475,0.32525
0.529,0.65295,0.34705
0.54,0.6305,0.3695
0.551,0.60746,0.39254
0.562,0.58394,0.41606
0.573,0.56002,0.43998
0.584,0.53583,0.46417
0.595,0.51146,0.48854
0.606,0.48704,0.51296
0.617,0.46268,0.53732
0.628,0.4385,0.5615
0.639,0.41461,0.58539
0.65,0.39111,0.60889
0.661,0.36811,0.63189
0.672,0.34569,0.65431
0.683,0.32393,0.67607
0.694,0.30292,0.69708
0.705,0.28269,0.71731
0.716,0.26331,0.73669
0.727,0.2448,0.7552
0.738,0.22719,0.77281
0.749,0.21049,0.78951
0.76,0.19472,0.80528
0.771,0.17985,0.82015
0.782,0.16589,0.83411
0.793,0.15281,0.84719
0.804,0.14058,0.85942
0.815,0.12919,0.87081
0.826,0.11859,0.88141
0.837,0.10875,0.89125
0.848,0.099638,0.90036
0.859,0.09121,0.90879
0.87,0.083429,0.91657
0.881,0.076255,0.92374
0.892,0.069652,0.93035
0.903,0.063581,0.93642
0.914,0.058006,0.94199
0.925,0.052893,0.94711
0.936,0.048207,0.95179
0.947,0.043917,0.95608
0.958,0.039993,0.96001
0.969,0.036406,0.96359
0.98,0.033129,0.96687
0.991,0.030139,0.96986
1.002,0.02741,0.97259
1.013,0.024922,0.97508
1.024,0.022655,0.97734
1.035,0.02059,0.97941
1.046,0.018709,0.98129
1.057,0.016997,0.983
1.068,0.01544,0.98456
1.079,0.014023,0.98598
1.09,0.012734,0.98727
1.101,0.011563,0.98844
1.112,0.010498,0.9895
1.123,0.0095299,0.99047
1.134,0.0086505,0.99135
1.145,0.0078517,0.99215
1.156,0.007126,0.99287
1.167,0.0064671,0.99353
1.178,0.0058686,0.99413
1.189,0.0053253,0.99467
1.2,0.004832,0.99517
