t,u1,y,ysp
2.5,17.695,1.12,0.8
5,5.8636,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1317,0.8
17.5,0,1.1499,0.8
20,0,1.1668,0.8
22.5,0,1.1774,0.8
25,0.38702,1.1823,0.8
27.5,1.1757,1.1824,0.8
30,2.2573,1.1783,0.8
32.5,3.5442,1.1705,0.8
35,4.9519,1.1596,0.8
37.5,6.4216,1.1458,0.8
40,7.9198,1.1291,0.8
42.5,9.4273,1.1099,0.8
45,10.932,1.0887,0.8
47.5,12.421,1.0659,0.8
50,13.877,1.0421,0.8
52.5,15.279,1.0178,0.8
55,16.603,0.99341,0.8
57.5,17.821,0.96935,0.8
60,18.906,0.94601,0.8
62.5,19.837,0.92371,0.8
65,20.596,0.90274,0.8
67.5,21.172,0.88334,0.8
70,21.562,0.86571,0.8
72.5,21.77,0.84999,0.8
75,21.808,0.83629,0.8
77.5,21.693,0.82466,0.8
80,21.447,0.81509,0.8
82.5,21.093,0.80754,0.8
85,20.657,0.80191,0.8
87.5,20.164,0.79808,0.8
90,19.638,0.79589,0.8
92.5,19.098,0.79514,0.8
95,18.564,0.79565,0.8
97.5,18.05,0.79722,0.8
100,17.566,0.79962,0.8
102.5,17.12,0.80267,0.8
105,16.719,0.80618,0.8
107.5,16.364,0.80997,0.8
110,16.056,0.81389,0.8
112.5,15.795,0.8178,0.8
115,15.578,0.82159,0.8
117.5,15.402,0.82516,0.8
120,15.263,0.82844,0.8
122.5,15.159,0.83138,0.8
125,15.084,0.83393,0.8
127.5,15.034,0.83608,0.8
130,15.006,0.83781,0.8
132.5,14.994,0.83913,0.8
135,14.996,0.84005,0.8
137.5,15.006,0.8406,0.8
140,15.02,0.84079,0.8
142.5,15.035,0.84066,0.8
145,15.047,0.84024,0.8
147.5,15.052,0.83957,0.8
150,15.048,0.83868,0.8
152.5,15.031,0.83761,0.8
155,14.999,0.83639,0.8
157.5,14.95,0.83506,0.8
160,14.885,0.83364,0.8
162.5,14.801,0.83217,0.8
165,14.702,0.83066,0.8
167.5,14.588,0.82914,0.8
170,14.463,0.82761,0.8
172.5,14.331,0.8261,0.8
175,14.198,0.82461,0.8
177.5,14.069,0.82313,0.8
180,13.951,0.82168,0.8
182.5,13.851,0.82023,0.8
185,13.775,0.81879,0.8
187.5,13.728,0.81734,0.8
190,13.713,0.81586,0.8
192.5,13.726,0.81435,0.8
195,13.766,0.81278,0.8
197.5,13.826,0.81114,0.8
200,13.961,0.80943,0.8
202.5,14.187,0.80763,0.8
205,14.49,0.80575,0.8
207.5,14.838,0.8038,0.8
210,15.2,0.8018,0.8
212.5,15.555,0.79973,0.8
215,15.888,0.79759,0.8
217.5,16.191,0.79538,0.8
220,16.459,0.79317,0.8
222.5,16.69,0.791,0.8
225,16.88,0.78895,0.8
227.5,17.029,0.78708,0.8
230,17.134,0.78545,0.8
232.5,17.197,0.78409,0.8
235,17.219,0.78305,0.8
237.5,17.202,0.78234,0.8
240,17.149,0.78197,0.8
242.5,17.065,0.78193,0.8
245,16.953,0.78222,0.8
247.5,16.818,0.78282,0.8
250,16.665,0.78371,0.8
252.5,16.498,0.78485,0.8
255,16.322,0.78622,0.8
257.5,16.143,0.78776,0.8
260,15.963,0.78944,0.8
262.5,15.788,0.79122,0.8
265,15.622,0.79306,0.8
267.5,15.467,0.79492,0.8
270,15.327,0.79676,0.8
272.5,15.204,0.79854,0.8
