t,u1,y,ysp
2.5,0,1.12,0.4
5,0,1.1197,0.4
7.5,0,1.1195,0.4
10,0,1.1192,0.4
12.5,0,1.119,0.4
15,0,1.1455,0.4
17.5,0,1.1643,0.4
20,0,1.1765,0.4
22.5,0,1.1829,0.4
25,0,1.1842,0.4
27.5,0,1.1811,0.4
30,0,1.1743,0.4
32.5,0,1.1642,0.4
35,0,1.1512,0.4
37.5,0,1.1359,0.4
40,0,1.1186,0.4
42.5,0,1.0996,0.4
45,0,1.0792,0.4
47.5,0,1.0576,0.4
50,0,1.0351,0.4
52.5,0,1.0119,0.4
55,0,0.98815,0.4
57.5,0,0.96398,0.4
60,0,0.93955,0.4
62.5,0,0.91499,0.4
65,0,0.89038,0.4
67.5,0,0.86583,0.4
70,0,0.84141,0.4
72.5,0,0.81719,0.4
75,0,0.79323,0.4
77.5,0,0.76958,0.4
80,0,0.74629,0.4
82.5,0,0.72338,0.4
85,0,0.70089,0.4
87.5,0,0.67885,0.4
90,0.70763,0.65727,0.4
92.5,2.3037,0.63617,0.4
95,4.3912,0.61557,0.4
97.5,6.6326,0.59546,0.4
100,8.7612,0.57587,0.4
102.5,10.593,0.5565,0.4
105,12.014,0.53721,0.4
107.5,12.97,0.51826,0.4
110,13.452,0.50009,0.4
112.5,13.491,0.48326,0.4
115,13.144,0.46825,0.4
117.5,12.487,0.45546,0.4
120,11.605,0.44513,0.4
122.5,10.581,0.43734,0.4
125,9.4927,0.43206,0.4
127.5,8.4064,0.42908,0.4
130,7.3767,0.42816,0.4
132.5,6.4441,0.42896,0.4
135,5.6359,0.43111,0.4
137.5,4.9674,0.43425,0.4
140,4.4431,0.43803,0.4
142.5,4.059,0.44212,0.4
145,3.8049,0.44623,0.4
147.5,3.6661,0.45013,0.4
150,3.6255,0.45363,0.4
152.5,3.6649,0.45659,0.4
155,3.7664,0.45891,0.4
157.5,3.9131,0.46055,0.4
160,4.0897,0.46149,0.4
162.5,4.2829,0.46176,0.4
165,4.4816,0.4614,0.4
167.5,4.6767,0.46048,0.4
170,4.8612,0.45907,0.4
172.5,5.0299,0.45725,0.4
175,5.1794,0.45512,0.4
177.5,5.3074,0.45275,0.4
180,5.4132,0.45022,0.4
182.5,5.4968,0.44761,0.4
185,5.5588,0.44498,0.4
187.5,5.6004,0.44237,0.4
190,5.6231,0.43985,0.4
192.5,5.6284,0.43743,0.4
195,5.618,0.43515,0.4
197.5,5.5934,0.43301,0.4
200,5.5558,0.43104,0.4
202.5,5.5065,0.42922,0.4
205,5.4465,0.42757,0.4
207.5,5.3769,0.42606,0.4
210,5.2986,0.4247,0.4
212.5,5.2128,0.42346,0.4
215,5.1209,0.42234,0.4
217.5,5.0244,0.42131,0.4
220,4.9255,0.42036,0.4
222.5,4.8266,0.41948,0.4
225,4.7306,0.41863,0.4
227.5,4.6408,0.41781,0.4
230,4.5606,0.417,0.4
232.5,4.4935,0.41618,0.4
235,4.4424,0.41533,0.4
237.5,4.4094,0.41444,0.4
240,4.3947,0.4135,0.4
242.5,4.3963,0.41249,0.4
245,4.4115,0.4114,0.4
247.5,4.4374,0.41023,0.4
250,4.4709,0.40898,0.4
252.5,14.27,0.40765,0.6
255,20.724,0.40624,0.6
257.5,24.462,0.40477,0.6
260,26.062,0.40325,0.6
262.5,26.044,0.4017,0.6
265,24.856,0.39739,0.6
267.5,22.886,0.39371,0.6
270,20.462,0.39268,0.6
272.5,17.858,0.39528,0.6
275,15.288,0.40171,0.6
277.5,12.916,0.41169,0.6
280,10.854,0.42463,0.6
282.5,9.1693,0.4398,0.6
285,7.8886,0.45644,0.6
287.5,7.0051,0.4738,0.6
290,6.4863,0.49121,0.6
292.5,6.2824,0.5081,0.6
295,6.3329,0.52399,0.6
297.5,6.5739,0.53852,0.6
300,6.9432,0.55145,0.6
302.5,7.3847,0.56266,0.6
305,7.8513,0.5721,0.6
307.5,8.3065,0.57983,0.6
310,8.7242,0.58596,0.6
312.5,9.0881,0.59066,0.6
315,9.3902,0.59414,0.6
317.5,9.6291,0.5966,0.6
320,9.8076,0.59825,0.6
322.5,9.9319,0.59929,0.6
325,10.009,0.5999,0.6
327.5,10.048,0.60021,0.6
330,10.056,0.60035,0.6
332.5,10.039,0.60041,0.6
335,10.006,0.60045,0.6
337.5,9.9606,0.60052,0.6
340,9.9069,0.60065,0.6
342.5,9.8465,0.60084,0.6
345,9.7803,0.6011,0.6
347.5,9.7095,0.60143,0.6
350,9.6356,0.60181,0.6
352.5,9.5609,0.60222,0.6
355,9.4879,0.60267,0.6
357.5,9.4194,0.60312,0.6
360,9.3581,0.60356,0.6
362.5,9.3064,0.604,0.6
365,9.2662,0.6044,0.6
367.5,9.2387,0.60476,0.6
370,9.2245,0.60507,0.6
372.5,9.2234,0.60531,0.6
375,9.2344,0.60548,0.6
377.5,19.035,0.60558,0.8
380,25.613,0.6056,0.8
382.5,29.557,0.60553,0.8
385,31.413,0.60539,0.8
387.5,31.671,0.60517,0.8
390,30.733,0.60079,0.8
392.5,28.973,0.596,0.8
395,26.73,0.59322,0.8
397.5,24.295,0.59373,0.8
400,21.899,0.59797,0.8
402.5,19.714,0.60585,0.8
405,17.853,0.61691,0.8
407.5,16.377,0.63048,0.8
410,15.3,0.64584,0.8
412.5,14.596,0.66223,0.8
415,14.215,0.67895,0.8
417.5,14.091,0.69542,0.8
420,14.154,0.71112,0.8
422.5,14.337,0.72568,0.8
425,14.582,0.73886,0.8
427.5,14.847,0.75052,0.8
430,15.099,0.76062,0.8
432.5,15.317,0.76922,0.8
435,15.492,0.77644,0.8
437.5,15.619,0.78243,0.8
440,15.701,0.78735,0.8
442.5,15.743,0.79138,0.8
445,15.751,0.79469,0.8
447.5,15.733,0.79742,0.8
450,15.698,0.79969,0.8
452.5,15.652,0.80159,0.8
455,15.601,0.80321,0.8
457.5,15.55,0.80461,0.8
460,15.502,0.80582,0.8
462.5,15.461,0.80686,0.8
465,15.428,0.80777,0.8
467.5,15.403,0.80855,0.8
470,15.387,0.80921,0.8
472.5,15.378,0.80975,0.8
475,15.377,0.81017,0.8
477.5,15.381,0.81048,0.8
480,15.389,0.81068,0.8
482.5,15.4,0.81078,0.8
485,15.412,0.81079,0.8
487.5,15.424,0.81071,0.8
490,15.436,0.81056,0.8
492.5,15.446,0.81034,0.8
495,15.454,0.81006,0.8
497.5,15.461,0.80974,0.8
500,15.466,0.80939,0.8
502.5,25.404,0.80901,1
505,32.373,0.80861,1
507.5,36.877,0.80821,1
510,39.39,0.8078,1
512.5,40.346,0.80739,1
515,40.09,0.80142,1
517.5,38.941,0.79402,1
520,37.191,0.78795,1
522.5,35.102,0.78482,1
525,32.898,0.78537,1
