t,u1,y,ysp
2.5,18.015,1.12,0.8
5,5.8181,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1315,0.8
17.5,0,1.1498,0.8
20,0,1.1668,0.8
22.5,0,1.1773,0.8
25,0,1.1823,0.8
27.5,0,1.1824,0.8
30,0,1.1783,0.8
32.5,0,1.1706,0.8
35,0,1.1597,0.8
37.5,0,1.1462,0.8
40,0,1.1304,0.8
42.5,0.23015,1.1126,0.8
45,1.2511,1.0932,0.8
47.5,2.9728,1.0725,0.8
50,5.2897,1.0507,0.8
52.5,8.062,1.028,0.8
55,11.108,1.0045,0.8
57.5,14.219,0.97986,0.8
60,17.169,0.954,0.8
62.5,19.767,0.92715,0.8
65,21.895,0.89974,0.8
67.5,23.519,0.87238,0.8
70,24.67,0.84577,0.8
72.5,25.404,0.82072,0.8
75,25.777,0.79793,0.8
77.5,25.831,0.77801,0.8
80,25.597,0.76135,0.8
82.5,25.1,0.74812,0.8
85,24.373,0.73832,0.8
87.5,23.454,0.73179,0.8
90,22.394,0.7283,0.8
92.5,21.249,0.72755,0.8
95,20.075,0.7292,0.8
97.5,18.928,0.73291,0.8
100,17.853,0.73831,0.8
102.5,16.886,0.74503,0.8
105,16.051,0.75271,0.8
107.5,15.362,0.76101,0.8
110,14.822,0.7696,0.8
112.5,14.424,0.77817,0.8
115,14.156,0.78648,0.8
117.5,14.003,0.79429,0.8
120,13.945,0.80145,0.8
122.5,13.963,0.80782,0.8
125,14.038,0.81333,0.8
127.5,14.153,0.81795,0.8
130,14.293,0.82166,0.8
132.5,14.447,0.82451,0.8
135,14.605,0.82655,0.8
137.5,14.759,0.82786,0.8
140,14.904,0.82852,0.8
142.5,15.037,0.82863,0.8
145,15.155,0.82828,0.8
147.5,15.258,0.82756,0.8
150,15.346,0.82656,0.8
152.5,15.419,0.82535,0.8
155,15.478,0.82399,0.8
157.5,15.525,0.82255,0.8
160,15.561,0.82108,0.8
162.5,15.587,0.8196,0.8
165,15.605,0.81816,0.8
167.5,15.616,0.81678,0.8
170,15.622,0.81546,0.8
172.5,15.624,0.81423,0.8
175,15.622,0.81309,0.8
177.5,0,0.81203,0.2
180,0,0.81107,0.2
182.5,0,0.81019,0.2
185,0,0.8094,0.2
187.5,0,0.80868,0.2
190,0,0.81681,0.2
192.5,0,0.82131,0.2
195,0,0.82263,0.2
197.5,0,0.82115,0.2
200,0,0.81722,0.2
202.5,0,0.81115,0.2
205,0,0.80323,0.2
207.5,0,0.79371,0.2
210,0,0.78282,0.2
212.5,0,0.77076,0.2
215,0,0.75771,0.2
217.5,0,0.74383,0.2
220,0,0.72927,0.2
222.5,0,0.71416,0.2
225,0,0.69861,0.2
227.5,0,0.68273,0.2
230,0,0.6666,0.2
232.5,0,0.65032,0.2
235,0,0.63394,0.2
237.5,0,0.61753,0.2
240,0,0.60115,0.2
242.5,0,0.58485,0.2
245,0,0.56867,0.2
247.5,0,0.55264,0.2
250,0,0.5368,0.2
252.5,0,0.52118,0.2
255,0,0.5058,0.2
257.5,0,0.49067,0.2
260,0,0.47582,0.2
262.5,0,0.46126,0.2
265,0,0.44701,0.2
267.5,0,0.43306,0.2
270,0,0.41943,0.2
272.5,0,0.40612,0.2
275,0,0.39313,0.2
277.5,0,0.38047,0.2
280,0,0.36814,0.2
282.5,0,0.35614,0.2
285,0,0.34446,0.2
287.5,0,0.33311,0.2
290,0,0.32208,0.2
292.5,0.17369,0.31136,0.2
295,0.61127,0.30096,0.2
297.5,1.1938,0.29086,0.2
300,1.8281,0.28107,0.2
302.5,2.4448,0.27157,0.2
305,2.9945,0.26233,0.2
307.5,3.445,0.25335,0.2
310,3.7791,0.24468,0.2
312.5,3.9917,0.23647,0.2
315,4.0881,0.22883,0.2
317.5,4.0804,0.22189,0.2
320,3.9859,0.21573,0.2
322.5,3.8242,0.21042,0.2
325,3.6157,0.20596,0.2
327.5,3.3802,0.20235,0.2
330,3.1356,0.19953,0.2
332.5,2.8973,0.19745,0.2
335,2.6779,0.19601,0.2
337.5,2.4866,0.19511,0.2
340,2.3295,0.19465,0.2
342.5,2.2095,0.19453,0.2
345,2.1271,0.19467,0.2
347.5,2.0802,0.19496,0.2
350,2.065,0.19535,0.2
352.5,2.0764,0.19577,0.2
355,2.1086,0.19618,0.2
357.5,2.1555,0.19654,0.2
360,2.211,0.19684,0.2
362.5,2.2697,0.19707,0.2
365,2.3265,0.19722,0.2
367.5,2.3773,0.19731,0.2
370,2.419,0.19735,0.2
372.5,2.4493,0.19735,0.2
375,2.4667,0.19732,0.2
377.5,2.4706,0.19729,0.2
380,2.4611,0.19727,0.2
382.5,2.4389,0.19727,0.2
385,2.4051,0.1973,0.2
387.5,2.3614,0.19736,0.2
390,2.3096,0.19746,0.2
392.5,2.2519,0.19759,0.2
395,2.1907,0.19776,0.2
397.5,2.1283,0.19794,0.2
400,2.0673,0.19814,0.2
402.5,2.0101,0.19835,0.2
405,1.9592,0.19854,0.2
407.5,1.9167,0.19871,0.2
410,1.8844,0.19885,0.2
412.5,1.8633,0.19895,0.2
415,1.8535,0.19899,0.2
417.5,1.8538,0.19897,0.2
420,1.8628,0.19888,0.2
422.5,1.8786,0.19872,0.2
425,1.8995,0.19849,0.2
427.5,21.297,0.19819,0.6
430,60,0.19783,1.2
432.5,60,0.19741,1.2
435,60,0.19694,1.2
437.5,60,0.19643,1.2
440,60,0.19325,1.2
442.5,60,0.18958,1.2
445,60,0.19936,1.2
447.5,60,0.21998,1.2
450,60,0.24914,1.2
452.5,58.176,0.28486,1.2
455,53.698,0.32543,1.2
457.5,47.883,0.3694,1.2
460,41.804,0.41554,1.2
462.5,36.331,0.46285,1.2
465,32.155,0.51107,1.2
467.5,29.791,0.5602,1.2
470,29.481,0.60968,1.2
472.5,31.046,0.65864,1.2
475,33.89,0.70603,1.2
477.5,37.236,0.75076,1.2
480,40.431,0.79172,1.2
482.5,43.083,0.82796,1.2
485,45.049,0.85891,1.2
487.5,46.348,0.8846,1.2
490,47.079,0.90563,1.2
492.5,47.363,0.92303,1.2
495,47.323,0.93791,1.2
497.5,47.072,0.95126,1.2
500,46.711,0.96382,1.2
502.5,46.321,0.97609,1.2
505,45.966,0.98836,1.2
507.5,45.686,1.0007,1.2
510,45.499,1.0132,1.2
512.5,45.403,1.0256,1.2
515,45.384,1.0378,1.2
517.5,45.418,1.0497,1.2
520,45.481,1.0612,1.2
522.5,45.55,1.0721,1.2
525,45.609,1.0823,1.2
527.5,45.646,1.0917,1.2
530,45.656,1.1005,1.2
532.5,45.639,1.1085,1.2
535,45.598,1.1159,1.2
537.5,45.538,1.1227,1.2
540,45.466,1.129,1.2
542.5,45.386,1.1348,1.2
545,45.305,1.1402,1.2
547.5,45.227,1.1452,1.2
550,45.155,1.1499,1.2
552.5,45.091,1.1543,1.2
555,45.037,1.1583,1.2
557.5,44.994,1.1621,1.2
560,44.961,1.1655,1.2
562.5,44.939,1.1687,1.2
565,44.926,1.1716,1.2
567.5,44.92,1.1743,1.2
570,44.922,1.1767,1.2
572.5,44.93,1.1789,1.2
575,44.943,1.1808,1.2
577.5,44.96,1.1826,1.2
580,44.979,1.1841,1.2
582.5,45,1.1855,1.2
585,45.022,1.1867,1.2
587.5,45.045,1.1877,1.2
590,45.067,1.1886,1.2
592.5,45.09,1.1895,1.2
595,45.112,1.1902,1.2
597.5,45.133,1.1908,1.2
600,45.152,1.1913,1.2
602.5,45.172,1.1918,1.2
605,45.19,1.1922,1.2
607.5,45.207,1.1926,1.2
610,45.223,1.1929,1.2
612.5,45.239,1.1932,1.2
615,45.254,1.1934,1.2
617.5,45.268,1.1937,1.2
620,45.283,1.1939,1.2
622.5,45.297,1.1941,1.2
625,45.311,1.1943,1.2
627.5,45.326,1.1945,1.2
630,45.341,1.1946,1.2
632.5,45.356,1.1948,1.2
635,45.371,1.195,1.2
637.5,45.387,1.1951,1.2
640,45.403,1.1952,1.2
642.5,45.419,1.1954,1.2
645,45.435,1.1955,1.2
647.5,45.451,1.1956,1.2
650,45.467,1.1957,1.2
652.5,45.482,1.1958,1.2
655,45.496,1.1959,1.2
657.5,45.509,1.1961,1.2
660,45.521,1.1962,1.2
662.5,45.531,1.1962,1.2
665,45.539,1.1963,1.2
667.5,45.546,1.1964,1.2
670,45.552,1.1965,1.2
672.5,45.556,1.1966,1.2
675,45.561,1.1967,1.2
677.5,34.3,1.1968,1.2
