t,u1,y,ysp
2.5,24.695,1.12,0.8
5,10.398,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1263,0.8
17.5,0,1.1425,0.8
20,0,1.1618,0.8
22.5,0,1.1744,0.8
25,0,1.1812,0.8
27.5,0,1.1828,0.8
30,0,1.1801,0.8
32.5,0,1.1735,0.8
35,0,1.1636,0.8
37.5,0,1.1509,0.8
40,0,1.1357,0.8
42.5,0,1.1186,0.8
45,0.30729,1.0997,0.8
47.5,1.6901,1.0794,0.8
50,3.9558,1.058,0.8
52.5,7.5375,1.0356,0.8
55,11.649,1.0124,0.8
57.5,17.934,0.9885,0.8
60,24.364,0.96331,0.8
62.5,29.357,0.93679,0.8
65,31.971,0.90883,0.8
67.5,31.06,0.88014,0.8
70,28.785,0.85051,0.8
72.5,25.586,0.82148,0.8
75,23.058,0.79528,0.8
77.5,18.905,0.774,0.8
80,18.017,0.7594,0.8
82.5,15.396,0.75105,0.8
85,14.826,0.74808,0.8
87.5,14.394,0.74879,0.8
90,14.065,0.75305,0.8
92.5,13.866,0.75794,0.8
95,15.509,0.76412,0.8
97.5,15.101,0.76989,0.8
100,14.846,0.77511,0.8
102.5,16.268,0.77971,0.8
105,15.841,0.78364,0.8
107.5,15.521,0.78594,0.8
110,15.297,0.78821,0.8
112.5,15.139,0.79028,0.8
115,15.039,0.79122,0.8
117.5,14.981,0.79243,0.8
120,16.373,0.79372,0.8
122.5,16.061,0.79499,0.8
125,15.81,0.79615,0.8
127.5,15.629,0.79716,0.8
130,15.494,0.79799,0.8
132.5,15.398,0.79785,0.8
135,15.332,0.79806,0.8
137.5,15.292,0.79846,0.8
140,15.273,0.79896,0.8
142.5,15.272,0.79949,0.8
145,15.284,0.79998,0.8
147.5,15.305,0.80042,0.8
150,15.332,0.80079,0.8
152.5,15.363,0.80107,0.8
155,15.395,0.80127,0.8
157.5,15.425,0.80138,0.8
160,15.454,0.80141,0.8
162.5,15.479,0.80139,0.8
165,15.501,0.80131,0.8
167.5,15.519,0.80119,0.8
170,15.533,0.80104,0.8
172.5,15.543,0.80088,0.8
175,15.55,0.80071,0.8
177.5,15.554,0.80054,0.8
180,15.556,0.80038,0.8
182.5,15.555,0.80023,0.8
185,15.553,0.80009,0.8
187.5,15.55,0.79997,0.8
190,15.546,0.79987,0.8
192.5,15.542,0.79979,0.8
195,15.538,0.79973,0.8
197.5,15.534,0.79968,0.8
200,15.53,0.79965,0.8
202.5,15.526,0.79962,0.8
205,15.523,0.79961,0.8
207.5,15.521,0.79961,0.8
210,15.519,0.79961,0.8
212.5,15.517,0.79962,0.8
215,15.516,0.79963,0.8
217.5,15.516,0.79964,0.8
220,15.515,0.79966,0.8
222.5,15.515,0.79967,0.8
225,15.515,0.79968,0.8
227.5,15.516,0.79969,0.8
230,15.516,0.7997,0.8
232.5,15.516,0.79971,0.8
235,15.517,0.79971,0.8
237.5,15.517,0.79972,0.8
240,15.518,0.79972,0.8
242.5,15.518,0.79972,0.8
245,15.519,0.79972,0.8
247.5,15.519,0.79972,0.8
250,15.519,0.79972,0.8
252.5,0,0.79972,0.2
255,0,0.79972,0.2
257.5,0,0.79971,0.2
260,0,0.79971,0.2
262.5,0,0.79971,0.2
265,0,0.80833,0.2
267.5,0,0.8133,0.2
270,0,0.81505,0.2
272.5,0,0.81398,0.2
275,0,0.81044,0.2
277.5,0,0.80475,0.2
280,0,0.79718,0.2
282.5,0,0.788,0.2
285,0,0.77742,0.2
287.5,0,0.76565,0.2
290,0,0.75288,0.2
292.5,0,0.73927,0.2
295,0,0.72496,0.2
297.5,0,0.71008,0.2
300,0,0.69476,0.2
302.5,0,0.67908,0.2
305,0,0.66316,0.2
307.5,0,0.64705,0.2
310,0,0.63085,0.2
312.5,0,0.61461,0.2
315,0,0.59839,0.2
317.5,0,0.58224,0.2
320,0,0.56619,0.2
322.5,0,0.5503,0.2
325,0,0.53459,0.2
327.5,0,0.51908,0.2
330,0,0.50381,0.2
332.5,0,0.48879,0.2
335,0,0.47404,0.2
337.5,0,0.45957,0.2
340,0,0.4454,0.2
342.5,0,0.43154,0.2
345,0,0.41798,0.2
347.5,0,0.40475,0.2
350,0,0.39183,0.2
352.5,1.3278,0.37924,0.2
355,0,0.36698,0.2
357.5,0,0.35503,0.2
360,2.7331,0.34341,0.2
362.5,0.87259,0.33211,0.2
365,0,0.32082,0.2
367.5,2.7401,0.31048,0.2
370,1.8998,0.30042,0.2
372.5,1.1491,0.29006,0.2
375,0.79422,0.28104,0.2
377.5,0.77925,0.27261,0.2
380,3.2414,0.26384,0.2
382.5,3.2716,0.25609,0.2
385,3.1351,0.24907,0.2
387.5,3.0657,0.24246,0.2
390,3.0582,0.23611,0.2
392.5,3.1009,0.22958,0.2
395,4.1192,0.2239,0.2
397.5,3.9599,0.21901,0.2
400,3.693,0.2148,0.2
402.5,3.4376,0.21119,0.2
405,3.2025,0.2081,0.2
407.5,2.9902,0.20536,0.2
410,2.7982,0.20335,0.2
412.5,2.6296,0.20195,0.2
415,2.4871,0.20106,0.2
417.5,2.3716,0.20055,0.2
420,2.2827,0.20032,0.2
422.5,2.2186,0.20031,0.2
425,2.1769,0.20042,0.2
427.5,2.1545,0.20061,0.2
430,2.148,0.20084,0.2
432.5,2.1541,0.20107,0.2
435,2.1694,0.20127,0.2
437.5,2.1909,0.20143,0.2
440,2.2159,0.20154,0.2
442.5,2.2422,0.2016,0.2
445,2.2678,0.20162,0.2
447.5,2.2913,0.20159,0.2
450,2.3119,0.20152,0.2
452.5,2.3289,0.20143,0.2
455,2.3419,0.20132,0.2
457.5,2.3512,0.2012,0.2
460,2.3568,0.20107,0.2
462.5,2.3591,0.20095,0.2
465,2.3588,0.20084,0.2
467.5,2.3562,0.20074,0.2
470,2.3521,0.20066,0.2
472.5,2.3468,0.20059,0.2
475,2.341,0.20054,0.2
477.5,2.3351,0.2005,0.2
480,2.3293,0.20048,0.2
482.5,2.324,0.20047,0.2
485,2.3194,0.20047,0.2
487.5,2.3155,0.20048,0.2
490,2.3125,0.2005,0.2
492.5,2.3103,0.20052,0.2
495,2.3089,0.20054,0.2
497.5,2.3082,0.20056,0.2
500,2.3081,0.20058,0.2
502.5,21.472,0.2006,0.6
505,37.758,0.20061,0.6
507.5,47.523,0.20063,0.6
510,51.579,0.20064,0.6
512.5,51.132,0.20064,0.6
515,47.59,0.19798,0.6
517.5,41.609,0.19773,0.6
520,34.502,0.20405,0.6
522.5,26.946,0.21868,0.6
525,18.509,0.24146,0.6
527.5,10.002,0.27114,0.6
530,6.5436,0.3061,0.6
532.5,0,0.34449,0.6
535,0,0.38459,0.6
537.5,0,0.42514,0.6
540,0,0.46486,0.6
542.5,0,0.50102,0.6
545,0,0.53459,0.6
547.5,1.3901,0.56253,0.6
550,3.8271,0.58541,0.6
552.5,6.6195,0.60379,0.6
555,9.2428,0.61815,0.6
557.5,7.9463,0.62892,0.6
560,7.2059,0.6359,0.6
562.5,10.409,0.63928,0.6
565,9.8338,0.63979,0.6
567.5,9.4835,0.63834,0.6
570,9.3951,0.63743,0.6
572.5,5.7995,0.6365,0.6
575,6.2743,0.63368,0.6
577.5,7.1404,0.63149,0.6
580,7.971,0.62965,0.6
582.5,8.6908,0.62794,0.6
585,9.2901,0.62786,0.6
587.5,9.7987,0.62677,0.6
590,10.227,0.62472,0.6
592.5,10.709,0.62202,0.6
595,11.039,0.61897,0.6
597.5,11.24,0.61581,0.6
600,7.4234,0.61272,0.6
602.5,7.8712,0.60984,0.6
605,8.5581,0.60722,0.6
607.5,9.1204,0.60498,0.6
610,9.5416,0.60321,0.6
612.5,9.8329,0.60356,0.6
615,10.05,0.60327,0.6
617.5,10.205,0.60241,0.6
620,10.303,0.60122,0.6
622.5,10.344,0.59993,0.6
625,10.337,0.59868,0.6
627.5,10.288,0.59756,0.6
630,10.207,0.59663,0.6
632.5,10.103,0.59591,0.6
635,9.9868,0.59543,0.6
637.5,9.8652,0.59518,0.6
640,9.7459,0.59515,0.6
642.5,9.6347,0.59532,0.6
645,9.5362,0.59564,0.6
647.5,9.4535,0.59609,0.6
650,9.3885,0.59663,0.6
652.5,9.3416,0.59722,0.6
655,9.3124,0.59783,0.6
657.5,9.2996,0.59842,0.6
660,9.3013,0.59897,0.6
662.5,9.3151,0.59946,0.6
665,9.3385,0.59988,0.6
667.5,9.3688,0.60021,0.6
670,9.4033,0.60046,0.6
672.5,9.4397,0.60063,0.6
675,9.476,0.60072,0.6
677.5,9.5102,0.60073,0.6
680,9.541,0.6007,0.6
682.5,9.5674,0.60061,0.6
685,9.5888,0.60049,0.6
687.5,9.6049,0.60034,0.6
690,9.6157,0.60018,0.6
692.5,9.6215,0.60002,0.6
695,9.6228,0.59987,0.6
697.5,9.6202,0.59973,0.6
700,9.6145,0.59961,0.6
702.5,9.6064,0.59951,0.6
705,9.5968,0.59943,0.6
707.5,9.5864,0.59938,0.6
710,9.5757,0.59935,0.6
712.5,9.5655,0.59934,0.6
715,9.5561,0.59935,0.6
717.5,9.5479,0.59937,0.6
720,9.5412,0.59941,0.6
722.5,9.5359,0.59945,0.6
725,9.5323,0.5995,0.6
727.5,9.5301,0.59954,0.6
730,9.5293,0.59959,0.6
732.5,9.5297,0.59963,0.6
735,9.5311,0.59967,0.6
737.5,9.5332,0.5997,0.6
740,9.5359,0.59973,0.6
742.5,9.5389,0.59975,0.6
745,9.542,0.59976,0.6
747.5,9.5451,0.59976,0.6
750,9.5479,0.59976,0.6
752.5,38.725,0.59976,1.2
755,60,0.59975,1.2
757.5,60,0.59974,1.2
760,60,0.59972,1.2
762.5,60,0.59971,1.2
765,60,0.58755,1.2
767.5,60,0.57398,1.2
770,60,0.57191,1.2
772.5,58.452,0.57906,1.2
775,58.033,0.59349,1.2
777.5,54.394,0.61352,1.2
780,55.044,0.63774,1.2
782.5,52.489,0.66498,1.2
785,50.249,0.69496,1.2
787.5,49.63,0.72603,1.2
790,48.588,0.75917,1.2
792.5,46.667,0.79102,1.2
795,45.792,0.82325,1.2
797.5,44.824,0.85505,1.2
800,43.9,0.88506,1.2
802.5,42.78,0.91351,1.2
