t,u1,y,ysp
2.5,18.195,1.12,0.8
5,6.3333,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1313,0.8
17.5,0,1.1493,0.8
20,0,1.1664,0.8
22.5,0,1.1771,0.8
25,0,1.1822,0.8
27.5,0.29169,1.1824,0.8
30,1.2784,1.1784,0.8
32.5,2.7476,1.1708,0.8
35,4.5202,1.16,0.8
37.5,6.4506,1.1465,0.8
40,8.421,1.1304,0.8
42.5,10.337,1.1118,0.8
45,12.125,1.0907,0.8
47.5,13.729,1.0677,0.8
50,15.112,1.0432,0.8
52.5,16.256,1.0179,0.8
55,17.155,0.99248,0.8
57.5,17.82,0.96751,0.8
60,18.269,0.94353,0.8
62.5,18.525,0.92097,0.8
65,18.617,0.90018,0.8
67.5,18.575,0.88139,0.8
70,18.428,0.86472,0.8
72.5,18.204,0.85022,0.8
75,17.928,0.83785,0.8
77.5,17.621,0.8275,0.8
80,17.302,0.81904,0.8
82.5,16.988,0.81228,0.8
85,16.689,0.80703,0.8
87.5,16.414,0.80309,0.8
90,16.17,0.80026,0.8
92.5,15.958,0.79836,0.8
95,15.781,0.7972,0.8
97.5,15.637,0.79662,0.8
100,15.525,0.79648,0.8
102.5,15.442,0.79665,0.8
105,15.384,0.79703,0.8
107.5,15.349,0.79754,0.8
110,15.331,0.79811,0.8
112.5,15.328,0.79869,0.8
115,15.336,0.79923,0.8
117.5,15.352,0.79972,0.8
120,15.372,0.80014,0.8
122.5,15.396,0.80047,0.8
125,15.421,0.80073,0.8
127.5,15.445,0.8009,0.8
130,15.467,0.80101,0.8
132.5,15.488,0.80106,0.8
135,15.505,0.80105,0.8
137.5,15.52,0.80101,0.8
140,15.532,0.80093,0.8
142.5,15.541,0.80084,0.8
145,15.547,0.80073,0.8
147.5,15.552,0.80062,0.8
150,15.554,0.80051,0.8
152.5,15.555,0.8004,0.8
155,15.554,0.8003,0.8
157.5,15.552,0.80022,0.8
160,15.55,0.80014,0.8
162.5,15.548,0.80008,0.8
165,15.545,0.80003,0.8
167.5,15.542,0.79999,0.8
170,15.539,0.79996,0.8
172.5,15.537,0.79994,0.8
175,15.535,0.79993,0.8
177.5,15.533,0.79992,0.8
180,15.531,0.79992,0.8
182.5,15.53,0.79993,0.8
185,15.529,0.79993,0.8
187.5,15.528,0.79994,0.8
190,15.528,0.79995,0.8
192.5,15.528,0.79996,0.8
195,15.528,0.79997,0.8
197.5,15.528,0.79998,0.8
200,15.528,0.79998,0.8
202.5,15.528,0.79999,0.8
205,15.528,0.8,0.8
207.5,15.529,0.8,0.8
210,15.529,0.8,0.8
212.5,15.529,0.80001,0.8
215,15.529,0.80001,0.8
217.5,15.53,0.80001,0.8
220,15.53,0.80001,0.8
222.5,15.53,0.80001,0.8
225,15.53,0.80001,0.8
227.5,15.53,0.80001,0.8
230,15.53,0.80001,0.8
232.5,15.53,0.80001,0.8
235,15.53,0.8,0.8
237.5,15.53,0.8,0.8
240,15.53,0.8,0.8
242.5,15.53,0.8,0.8
245,15.53,0.8,0.8
247.5,15.53,0.8,0.8
250,15.53,0.8,0.8
252.5,0,0.8,0.2
255,0,0.8,0.2
257.5,0,0.8,0.2
260,0,0.8,0.2
262.5,0,0.8,0.2
265,0,0.80863,0.2
267.5,0,0.8136,0.2
270,0,0.81536,0.2
272.5,0,0.8143,0.2
275,0,0.81076,0.2
277.5,0,0.80507,0.2
280,0,0.7975,0.2
282.5,0,0.78832,0.2
285,0,0.77774,0.2
287.5,0,0.76597,0.2
290,0,0.75319,0.2
292.5,0,0.73957,0.2
295,0,0.72526,0.2
297.5,0,0.71037,0.2
300,0,0.69504,0.2
302.5,0,0.67936,0.2
305,0,0.66343,0.2
307.5,0,0.64732,0.2
310,0,0.63111,0.2
312.5,0,0.61487,0.2
315,0,0.59864,0.2
317.5,0,0.58248,0.2
320,0,0.56643,0.2
322.5,0,0.55052,0.2
325,0,0.5348,0.2
327.5,0,0.51929,0.2
330,0,0.50401,0.2
332.5,0,0.48899,0.2
335,0,0.47423,0.2
337.5,0,0.45976,0.2
340,0,0.44558,0.2
342.5,0,0.43171,0.2
345,0,0.41815,0.2
347.5,0,0.40491,0.2
350,0,0.39199,0.2
352.5,0,0.37939,0.2
355,0,0.36712,0.2
357.5,0,0.35517,0.2
360,0,0.34355,0.2
362.5,0,0.33224,0.2
365,0,0.32125,0.2
367.5,0.1402,0.31058,0.2
370,0.57242,0.30022,0.2
372.5,1.1669,0.29016,0.2
375,1.8219,0.2804,0.2
377.5,2.4619,0.27094,0.2
380,3.0345,0.26174,0.2
382.5,3.507,0.25278,0.2
385,3.8626,0.24414,0.2
387.5,4.0972,0.23593,0.2
390,4.2162,0.2283,0.2
392.5,4.2318,0.22136,0.2
395,4.1604,0.21521,0.2
397.5,4.0203,0.20992,0.2
400,3.8307,0.2055,0.2
402.5,3.6098,0.20194,0.2
405,3.3739,0.19921,0.2
407.5,3.1373,0.19723,0.2
410,2.9114,0.19591,0.2
412.5,2.7049,0.19517,0.2
415,2.5239,0.19489,0.2
417.5,2.3719,0.19499,0.2
420,2.2503,0.19537,0.2
422.5,2.1586,0.19593,0.2
425,2.0952,0.19661,0.2
427.5,2.057,0.19734,0.2
430,2.0407,0.19807,0.2
432.5,2.0422,0.19875,0.2
435,2.0576,0.19936,0.2
437.5,2.0831,0.19988,0.2
440,2.1152,0.2003,0.2
442.5,2.1506,0.20062,0.2
445,2.1869,0.20084,0.2
447.5,2.2219,0.20097,0.2
450,2.2541,0.20103,0.2
452.5,2.2822,0.20102,0.2
455,2.3058,0.20096,0.2
457.5,2.3245,0.20086,0.2
460,2.3384,0.20074,0.2
462.5,2.3478,0.20061,0.2
465,2.3531,0.20047,0.2
467.5,2.3549,0.20034,0.2
470,2.3539,0.20022,0.2
