t,u1,y,ysp
2.5,18.029,1.12,0.8
5,5.8681,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1315,0.8
17.5,0,1.1497,0.8
20,0,1.1667,0.8
22.5,0,1.1773,0.8
25,0,1.1823,0.8
27.5,0,1.1824,0.8
30,0,1.1784,0.8
32.5,0,1.1706,0.8
35,0,1.1598,0.8
37.5,0,1.1462,0.8
40,0,1.1304,0.8
42.5,0.49743,1.1126,0.8
45,2.0998,1.0933,0.8
47.5,4.5991,1.0726,0.8
50,7.7187,1.0508,0.8
52.5,11.129,1.0281,0.8
55,14.506,1.0044,0.8
57.5,17.588,0.9792,0.8
60,20.205,0.95251,0.8
62.5,22.288,0.92473,0.8
65,23.848,0.89657,0.8
67.5,24.944,0.86897,0.8
70,25.644,0.84285,0.8
72.5,26.002,0.81907,0.8
75,26.057,0.79826,0.8
77.5,25.838,0.78081,0.8
80,25.364,0.76686,0.8
82.5,24.662,0.75638,0.8
85,23.768,0.74921,0.8
87.5,22.724,0.7451,0.8
90,21.584,0.74374,0.8
92.5,20.403,0.74481,0.8
95,19.233,0.74795,0.8
97.5,18.123,0.75281,0.8
100,17.111,0.75903,0.8
102.5,16.225,0.76626,0.8
105,15.481,0.77414,0.8
107.5,14.885,0.78236,0.8
110,14.437,0.79062,0.8
112.5,14.124,0.79865,0.8
115,13.934,0.80623,0.8
117.5,13.848,0.81318,0.8
120,13.847,0.81935,0.8
122.5,13.913,0.82467,0.8
125,14.028,0.82908,0.8
127.5,14.176,0.83257,0.8
130,14.343,0.83518,0.8
132.5,14.519,0.83695,0.8
135,14.696,0.83795,0.8
137.5,14.866,0.83828,0.8
140,15.024,0.83802,0.8
142.5,15.168,0.83728,0.8
145,15.296,0.83614,0.8
147.5,15.407,0.83471,0.8
150,15.501,0.83305,0.8
152.5,15.578,0.83126,0.8
155,15.64,0.82938,0.8
157.5,15.687,0.82748,0.8
160,15.722,0.8256,0.8
162.5,15.746,0.82378,0.8
165,15.76,0.82203,0.8
167.5,15.766,0.82039,0.8
170,15.765,0.81886,0.8
172.5,15.759,0.81745,0.8
175,15.749,0.81616,0.8
177.5,15.736,0.81499,0.8
180,15.72,0.81394,0.8
182.5,15.703,0.813,0.8
185,15.684,0.81217,0.8
187.5,15.664,0.81143,0.8
190,15.643,0.81077,0.8
192.5,15.622,0.81019,0.8
195,15.599,0.80967,0.8
197.5,15.575,0.80921,0.8
200,15.55,0.8088,0.8
202.5,15.523,0.80844,0.8
205,15.494,0.8081,0.8
207.5,15.463,0.8078,0.8
210,15.429,0.80752,0.8
212.5,15.393,0.80726,0.8
215,15.356,0.80702,0.8
217.5,15.316,0.80678,0.8
220,15.276,0.80656,0.8
222.5,15.236,0.80633,0.8
225,15.197,0.80611,0.8
227.5,15.159,0.80588,0.8
230,15.126,0.80565,0.8
232.5,15.098,0.80541,0.8
235,15.076,0.80516,0.8
237.5,15.061,0.80489,0.8
240,15.054,0.8046,0.8
242.5,15.055,0.80428,0.8
245,15.062,0.80394,0.8
247.5,15.075,0.80357,0.8
250,15.092,0.80317,0.8
252.5,0,0.80274,0.2
255,0,0.80229,0.2
257.5,0,0.8018,0.2
260,0,0.8013,0.2
262.5,0,0.80078,0.2
265,0,0.80866,0.2
267.5,0,0.81298,0.2
270,0,0.81416,0.2
272.5,0,0.8126,0.2
275,0,0.80863,0.2
277.5,0,0.80257,0.2
280,0,0.79469,0.2
282.5,0,0.78523,0.2
285,0,0.77443,0.2
287.5,0,0.76247,0.2
290,0,0.74955,0.2
292.5,0,0.73581,0.2
295,0,0.7214,0.2
297.5,0,0.70645,0.2
300,0,0.69106,0.2
302.5,0,0.67536,0.2
305,0,0.65941,0.2
307.5,0,0.6433,0.2
310,0,0.62711,0.2
312.5,0,0.61089,0.2
315,0,0.59469,0.2
317.5,0,0.57858,0.2
320,0,0.56258,0.2
322.5,0,0.54673,0.2
325,0,0.53108,0.2
327.5,0,0.51563,0.2
330,0,0.50042,0.2
332.5,0,0.48547,0.2
335,0,0.47079,0.2
337.5,0,0.4564,0.2
340,0,0.4423,0.2
342.5,0,0.42851,0.2
345,0,0.41503,0.2
347.5,0,0.40187,0.2
350,0,0.38903,0.2
352.5,0,0.37652,0.2
355,0.18224,0.36432,0.2
357.5,0.6121,0.35245,0.2
360,1.1746,0.34091,0.2
362.5,1.7819,0.32968,0.2
365,2.3697,0.31877,0.2
367.5,2.8949,0.30813,0.2
370,3.3316,0.29775,0.2
372.5,3.667,0.28772,0.2
375,3.8984,0.27814,0.2
377.5,4.03,0.26914,0.2
380,4.0714,0.26084,0.2
382.5,4.0353,0.25333,0.2
385,3.9362,0.24666,0.2
387.5,3.7892,0.24086,0.2
390,3.6093,0.23592,0.2
392.5,3.4101,0.2318,0.2
395,3.204,0.22844,0.2
397.5,3.0011,0.22578,0.2
400,2.8098,0.22373,0.2
402.5,2.6363,0.22219,0.2
405,2.4846,0.22109,0.2
407.5,2.3574,0.22032,0.2
410,2.2552,0.2198,0.2
412.5,2.1778,0.21947,0.2
415,2.1235,0.21926,0.2
417.5,2.0902,0.21911,0.2
420,2.0752,0.21897,0.2
422.5,2.0754,0.21883,0.2
425,2.0879,0.21864,0.2
427.5,2.1095,0.21839,0.2
430,2.1375,0.21808,0.2
432.5,2.169,0.2177,0.2
435,2.2018,0.21726,0.2
437.5,2.2336,0.21677,0.2
440,2.2626,0.21622,0.2
442.5,2.2871,0.21564,0.2
445,2.3056,0.21503,0.2
447.5,2.317,0.21441,0.2
450,2.3202,0.21378,0.2
452.5,2.3145,0.21316,0.2
455,2.2993,0.21256,0.2
457.5,2.2742,0.21197,0.2
460,2.2393,0.21142,0.2
462.5,2.1948,0.21089,0.2
465,2.1415,0.21039,0.2
467.5,2.0805,0.20992,0.2
470,2.0133,0.20947,0.2
472.5,1.9422,0.20904,0.2
475,1.8696,0.20863,0.2
477.5,1.7986,0.20821,0.2
480,1.7323,0.20779,0.2
482.5,1.6739,0.20735,0.2
485,1.6266,0.20688,0.2
487.5,1.5926,0.20636,0.2
490,1.573,0.2058,0.2
492.5,1.5671,0.20518,0.2
495,1.5733,0.20449,0.2
497.5,1.5893,0.20372,0.2
500,1.6129,0.20288,0.2
502.5,20.874,0.20196,0.6
505,33.07,0.20097,0.6
507.5,39.617,0.19992,0.6
510,41.804,0.19882,0.6
512.5,40.774,0.19767,0.6
515,37.511,0.19385,0.6
517.5,32.847,0.19309,0.6
520,27.466,0.19844,0.6
522.5,21.928,0.21091,0.6
525,16.67,0.23014,0.6
527.5,12.011,0.25502,0.6
530,8.1563,0.2841,0.6
532.5,5.2058,0.3159,0.6
535,3.1708,0.34901,0.6
537.5,1.9949,0.38217,0.6
540,1.5753,0.41431,0.6
542.5,1.7809,0.44451,0.6
545,2.4661,0.4721,0.6
547.5,3.4817,0.49657,0.6
550,4.6834,0.51763,0.6
552.5,5.9417,0.53516,0.6
555,7.1496,0.54924,0.6
557.5,8.2285,0.56009,0.6
560,9.1293,0.56805,0.6
562.5,9.8302,0.57355,0.6
