t,u1,y,ysp
2.5,17.125,1.1196,0.8
5,4.6268,1.1189,0.8
7.5,0,1.1183,0.8
10,0,1.1176,0.8
12.5,0,1.117,0.8
15,0,1.1298,0.8
17.5,0,1.1484,0.8
20,0,1.1645,0.8
22.5,0,1.1743,0.8
25,0,1.1786,0.8
27.5,0,1.178,0.8
30,0.34456,1.1733,0.8
32.5,0,1.1649,0.8
35,1.9567,1.1535,0.8
37.5,2.1696,1.1393,0.8
40,4.9755,1.123,0.8
42.5,5.6145,1.1044,0.8
45,8.3688,1.0846,0.8
47.5,9.6276,1.062,0.8
50,11.817,1.0387,0.8
52.5,13.502,1.0131,0.8
55,15.298,0.9875,0.8
57.5,16.96,0.96082,0.8
60,18.504,0.93483,0.8
62.5,19.879,0.90922,0.8
65,21.044,0.88481,0.8
67.5,21.967,0.86182,0.8
70,22.632,0.84062,0.8
72.5,23.038,0.82145,0.8
75,23.193,0.80453,0.8
77.5,23.119,0.78999,0.8
80,22.842,0.77792,0.8
82.5,22.396,0.76832,0.8
85,21.819,0.76113,0.8
87.5,21.149,0.75623,0.8
90,20.424,0.75345,0.8
92.5,19.681,0.75256,0.8
95,18.95,0.75333,0.8
97.5,18.259,0.75548,0.8
100,17.625,0.75876,0.8
102.5,17.063,0.76289,0.8
105,16.578,0.76762,0.8
107.5,16.173,0.7727,0.8
110,15.845,0.77793,0.8
112.5,15.588,0.78311,0.8
115,15.395,0.78809,0.8
117.5,15.256,0.79274,0.8
120,15.164,0.79697,0.8
122.5,15.109,0.8007,0.8
125,15.083,0.8039,0.8
127.5,15.079,0.80696,0.8
130,15.091,0.80947,0.8
132.5,15.114,0.81145,0.8
135,15.145,0.81294,0.8
137.5,15.179,0.81397,0.8
140,15.214,0.81459,0.8
142.5,15.249,0.81485,0.8
145,15.281,0.81478,0.8
147.5,15.311,0.81444,0.8
150,15.338,0.81388,0.8
152.5,15.362,0.81313,0.8
155,15.382,0.81223,0.8
157.5,15.398,0.81121,0.8
160,15.412,0.81011,0.8
162.5,15.423,0.80895,0.8
165,15.432,0.80774,0.8
167.5,15.438,0.80652,0.8
170,15.443,0.80529,0.8
172.5,15.447,0.80407,0.8
175,15.449,0.80286,0.8
177.5,0,0.80167,0.2
180,0,0.80052,0.2
182.5,0,0.7994,0.2
185,0,0.79831,0.2
187.5,0,0.79727,0.2
190,0,0.80503,0.2
192.5,0,0.80919,0.2
195,0,0.81016,0.2
197.5,0,0.80835,0.2
200,0,0.8041,0.2
202.5,0,0.79773,0.2
205,0,0.78952,0.2
207.5,0,0.77972,0.2
210,0,0.76856,0.2
212.5,0,0.75624,0.2
215,0,0.74294,0.2
217.5,0,0.72882,0.2
220,0,0.71403,0.2
222.5,0,0.6987,0.2
225,0,0.68295,0.2
227.5,0,0.66687,0.2
230,0,0.65055,0.2
232.5,0,0.63408,0.2
235,0,0.61753,0.2
237.5,0,0.60096,0.2
240,0,0.58442,0.2
242.5,0,0.56797,0.2
245,0,0.55164,0.2
247.5,0,0.53548,0.2
250,0,0.51951,0.2
252.5,0,0.50376,0.2
255,0,0.48826,0.2
257.5,0,0.47303,0.2
260,0,0.45807,0.2
262.5,0,0.44341,0.2
265,0,0.42905,0.2
267.5,0,0.41501,0.2
270,0,0.40129,0.2
272.5,0,0.3879,0.2
275,0,0.37483,0.2
277.5,0,0.3621,0.2
280,0,0.34969,0.2
282.5,0,0.33762,0.2
285,0.026058,0.32588,0.2
287.5,0.45588,0.31446,0.2
290,1.1262,0.30337,0.2
292.5,1.9088,0.2926,0.2
295,2.7071,0.28214,0.2
297.5,3.4516,0.27198,0.2
300,4.0927,0.26206,0.2
302.5,4.6001,0.25241,0.2
305,4.9596,0.24318,0.2
307.5,5.1701,0.23454,0.2
310,5.2402,0.22665,0.2
312.5,5.1859,0.21964,0.2
315,5.0278,0.2136,0.2
317.5,4.7891,0.2086,0.2
320,4.4937,0.20464,0.2
322.5,4.1644,0.20168,0.2
325,3.8221,0.19966,0.2
327.5,3.4846,0.19848,0.2
330,3.1664,0.19802,0.2
332.5,2.8781,0.19816,0.2
335,2.627,0.19877,0.2
337.5,2.417,0.19971,0.2
340,2.2491,0.20089,0.2
342.5,2.1223,0.20218,0.2
345,2.0334,0.20349,0.2
347.5,1.9782,0.20476,0.2
350,1.9516,0.20591,0.2
352.5,1.9485,0.20691,0.2
355,1.9634,0.20772,0.2
357.5,1.9913,0.20833,0.2
360,2.0278,0.20874,0.2
362.5,2.0689,0.20894,0.2
365,2.1114,0.20896,0.2
367.5,2.1528,0.2088,0.2
370,2.191,0.2085,0.2
372.5,2.2249,0.20806,0.2
375,2.2537,0.20752,0.2
377.5,2.277,0.2069,0.2
380,2.295,0.20621,0.2
382.5,2.3079,0.20548,0.2
385,2.3162,0.20472,0.2
387.5,2.3207,0.20395,0.2
390,2.322,0.20318,0.2
392.5,2.3209,0.20241,0.2
395,2.318,0.20166,0.2
397.5,2.3139,0.20092,0.2
400,2.3092,0.2002,0.2
402.5,2.3044,0.1995,0.2
405,2.2998,0.19883,0.2
407.5,2.2956,0.19817,0.2
410,2.292,0.19754,0.2
412.5,2.2892,0.19692,0.2
415,2.2872,0.19633,0.2
417.5,2.2859,0.19575,0.2
420,2.2854,0.19518,0.2
422.5,2.2854,0.19463,0.2
425,2.2859,0.1941,0.2
427.5,21.623,0.19358,0.6
430,60,0.19306,1.2
432.5,60,0.19257,1.2
435,60,0.19208,1.2
437.5,60,0.19161,1.2
440,60,0.1883,1.2
442.5,60,0.18417,1.2
445,60,0.19345,1.2
447.5,60,0.21351,1.2
450,60,0.24209,1.2
452.5,60,0.2772,1.2
455,59.518,0.31714,1.2
457.5,57.258,0.36047,1.2
460,54.172,0.40598,1.2
462.5,51.046,0.45266,1.2
465,48.464,0.49966,1.2
467.5,46.805,0.54651,1.2
470,46.241,0.59328,1.2
472.5,46.758,0.63961,1.2
475,48.201,0.68487,1.2
477.5,50.324,0.7283,1.2
480,52.842,0.76917,1.2
482.5,55.465,0.80684,1.2
485,57.921,0.84089,1.2
487.5,59.973,0.87113,1.2
490,60,0.89764,1.2
492.5,60,0.92073,1.2
495,60,0.94089,1.2
497.5,60,0.95872,1.2
500,60,0.9749,1.2
502.5,59.621,0.99107,1.2
505,58.888,1.007,1.2
507.5,57.924,1.0226,1.2
510,56.835,1.0376,1.2
512.5,55.708,1.052,1.2
515,54.609,1.066,1.2
517.5,53.584,1.0797,1.2
520,52.664,1.0932,1.2
522.5,51.863,1.1064,1.2
525,51.185,1.1191,1.2
527.5,50.627,1.1313,1.2
530,50.181,1.1427,1.2
532.5,49.836,1.1534,1.2
535,49.58,1.1631,1.2
537.5,49.401,1.1719,1.2
540,49.287,1.1796,1.2
542.5,49.228,1.1864,1.2
545,49.212,1.1922,1.2
547.5,49.233,1.1971,1.2
550,49.281,1.2011,1.2
552.5,49.349,1.2043,1.2
555,49.432,1.2068,1.2
557.5,49.524,1.2086,1.2
560,49.62,1.21,1.2
562.5,49.717,1.2108,1.2
565,49.81,1.2112,1.2
567.5,49.898,1.2113,1.2
570,49.979,1.2111,1.2
572.5,50.05,1.2107,1.2
575,50.11,1.2102,1.2
