t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.339,1.1195,1.12
10,34.369,1.1192,1.12
12.5,34.401,1.119,1.12
15,34.433,1.1188,1.12
17.5,34.463,1.1186,1.12
20,34.491,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.536,1.1181,1.12
27.5,34.554,1.1179,1.12
30,34.567,1.1178,1.12
32.5,34.578,1.1177,1.12
35,34.586,1.1175,1.12
37.5,34.591,1.1174,1.12
40,34.595,1.1174,1.12
42.5,34.596,1.1173,1.12
45,34.597,1.1173,1.12
47.5,34.596,1.1173,1.12
50,34.595,1.1173,1.12
52.5,18.295,1.1173,0.8
55,15.194,1.1174,0.8
57.5,15.165,1.1175,0.8
60,15.133,1.1175,0.8
62.5,15.082,1.1176,0.8
65,13.868,1.1304,0.8
67.5,11.271,1.1418,0.8
70,8.076,1.1493,0.8
72.5,4.3795,1.1534,0.8
75,0.083199,1.1547,0.8
77.5,0,1.1546,0.8
80,0,1.1542,0.8
82.5,0,1.1537,0.8
85,0,1.1532,0.8
87.5,0,1.1528,0.8
90,0,1.1484,0.8
92.5,0,1.1405,0.8
95,0,1.1297,0.8
97.5,1.7152,1.1163,0.8
100,3.7557,1.1007,0.8
102.5,5.9447,1.0833,0.8
105,8.1787,1.0643,0.8
107.5,10.32,1.0441,0.8
110,12.313,1.0216,0.8
112.5,14.304,0.99731,0.8
115,16.968,0.97182,0.8
117.5,21.797,0.94581,0.8
120,22.648,0.91997,0.8
122.5,23.209,0.89495,0.8
125,23.441,0.87114,0.8
127.5,23.372,0.84851,0.8
130,23.057,0.82626,0.8
132.5,22.549,0.80771,0.8
135,21.905,0.79272,0.8
137.5,21.174,0.78115,0.8
140,20.397,0.77275,0.8
142.5,19.611,0.76721,0.8
145,17.114,0.76417,0.8
147.5,16.912,0.76326,0.8
150,16.682,0.76409,0.8
152.5,16.442,0.76631,0.8
155,16.207,0.76958,0.8
157.5,15.991,0.77451,0.8
160,15.8,0.77921,0.8
162.5,15.638,0.78368,0.8
165,15.505,0.7879,0.8
167.5,15.402,0.79183,0.8
170,15.325,0.79546,0.8
172.5,15.272,0.79876,0.8
175,15.239,0.80172,0.8
177.5,15.223,0.80432,0.8
180,15.221,0.80657,0.8
182.5,15.229,0.80848,0.8
185,15.245,0.81006,0.8
187.5,15.265,0.81133,0.8
190,15.288,0.81231,0.8
192.5,15.313,0.81304,0.8
195,15.338,0.81353,0.8
197.5,15.362,0.81381,0.8
200,15.385,0.81392,0.8
202.5,15.405,0.81388,0.8
205,15.424,0.81371,0.8
207.5,15.44,0.81345,0.8
210,15.454,0.8131,0.8
212.5,15.466,0.81268,0.8
215,15.476,0.81223,0.8
217.5,15.485,0.81173,0.8
220,15.492,0.81122,0.8
222.5,15.498,0.8107,0.8
225,15.503,0.81017,0.8
227.5,15.507,0.80964,0.8
230,15.51,0.80913,0.8
232.5,15.512,0.80862,0.8
235,15.513,0.80813,0.8
237.5,15.514,0.80766,0.8
240,15.514,0.80721,0.8
242.5,15.514,0.80677,0.8
245,15.512,0.80636,0.8
247.5,15.51,0.80597,0.8
250,34.3,0.80559,0.8
