t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.339,1.1195,1.12
10,34.369,1.1192,1.12
12.5,34.401,1.119,1.12
15,34.433,1.1188,1.12
17.5,34.463,1.1186,1.12
20,34.491,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.536,1.1181,1.12
27.5,34.554,1.1179,1.12
30,34.567,1.1178,1.12
32.5,34.578,1.1177,1.12
35,34.586,1.1175,1.12
37.5,34.591,1.1174,1.12
40,34.595,1.1174,1.12
42.5,34.596,1.1173,1.12
45,34.597,1.1173,1.12
47.5,34.596,1.1173,1.12
50,34.595,1.1173,1.12
52.5,15.321,1.1173,0.5
55,15.29,1.1174,0.5
57.5,15.254,1.1175,0.5
60,15.199,1.1175,0.5
62.5,14.915,1.1176,0.5
65,13.695,1.1327,0.5
67.5,10.847,1.1433,0.5
70,7.5862,1.1502,0.5
72.5,3.8103,1.1538,0.5
75,0,1.1549,0.5
77.5,0,1.1545,0.5
80,0,1.1541,0.5
82.5,0,1.1536,0.5
85,0,1.1532,0.5
87.5,0,1.1522,0.5
90,0,1.1474,0.5
92.5,0,1.1391,0.5
95,0,1.1279,0.5
97.5,0,1.1142,0.5
100,0,1.0984,0.5
102.5,0,1.0808,0.5
105,0,1.0617,0.5
107.5,0,1.0413,0.5
110,0,1.0199,0.5
112.5,0,0.99775,0.5
115,0,0.97496,0.5
117.5,0,0.9517,0.5
120,0,0.92812,0.5
122.5,0,0.90433,0.5
125,0,0.88046,0.5
127.5,0,0.85659,0.5
130,0.4714,0.8328,0.5
132.5,1.0466,0.80918,0.5
135,1.6395,0.78577,0.5
137.5,2.2797,0.76263,0.5
140,2.9881,0.73981,0.5
142.5,3.7835,0.71711,0.5
145,4.6745,0.69463,0.5
147.5,5.6557,0.67256,0.5
150,6.7196,0.65103,0.5
152.5,8.1814,0.63017,0.5
155,10.663,0.61009,0.5
157.5,18.559,0.59092,0.5
160,18.107,0.57279,0.5
162.5,17.916,0.55583,0.5
165,17.823,0.54004,0.5
167.5,17.688,0.5253,0.5
170,17.461,0.51011,0.5
172.5,16.97,0.49932,0.5
175,16.164,0.49218,0.5
177.5,15.069,0.48815,0.5
180,13.755,0.48683,0.5
182.5,12.311,0.48785,0.5
185,10.822,0.49093,0.5
187.5,9.3662,0.49576,0.5
190,8.2635,0.50205,0.5
192.5,7.9869,0.50943,0.5
195,7.7051,0.51753,0.5
197.5,7.4258,0.52597,0.5
200,7.1581,0.5344,0.5
202.5,6.9132,0.5424,0.5
205,6.7031,0.54948,0.5
207.5,6.526,0.55568,0.5
210,6.3797,0.56104,0.5
212.5,6.2619,0.56559,0.5
215,6.1705,0.56936,0.5
217.5,6.0715,0.57237,0.5
220,5.9976,0.57465,0.5
222.5,5.9459,0.57625,0.5
225,5.9137,0.5772,0.5
227.5,5.8979,0.57755,0.5
230,5.8945,0.57737,0.5
232.5,5.899,0.57668,0.5
235,5.9088,0.57553,0.5
237.5,5.9215,0.57397,0.5
240,5.9355,0.57204,0.5
242.5,5.9555,0.56979,0.5
245,5.9798,0.56726,0.5
247.5,6.0068,0.5645,0.5
250,6.0351,0.56154,0.5
252.5,6.1274,0.55843,0.5
255,6.3059,0.5552,0.5
257.5,6.5346,0.55187,0.5
260,6.7837,0.54848,0.5
262.5,7.0292,0.54505,0.5
265,7.2527,0.54158,0.5
267.5,7.4409,0.53807,0.5
270,7.5848,0.53457,0.5
272.5,7.6794,0.53112,0.5
275,7.7229,0.52779,0.5
277.5,7.7168,0.52462,0.5
280,7.6652,0.52167,0.5
282.5,7.5744,0.51898,0.5
285,7.4523,0.51657,0.5
287.5,7.3079,0.51445,0.5
290,7.15,0.51262,0.5
292.5,6.9862,0.51107,0.5
295,6.8237,0.50978,0.5
297.5,6.6689,0.5087,0.5
300,34.3,0.50781,0.5
