t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.34,1.1195,1.12
10,34.371,1.1192,1.12
12.5,34.403,1.119,1.12
15,34.435,1.1188,1.12
17.5,34.465,1.1186,1.12
20,34.492,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.535,1.1181,1.12
27.5,34.551,1.1179,1.12
30,34.563,1.1178,1.12
32.5,34.572,1.1176,1.12
35,34.578,1.1175,1.12
37.5,34.582,1.1174,1.12
40,34.584,1.1174,1.12
42.5,34.584,1.1173,1.12
45,34.583,1.1173,1.12
47.5,34.581,1.1173,1.12
50,34.579,1.1173,1.12
52.5,34.576,1.1174,1.12
55,34.573,1.1174,1.12
57.5,34.57,1.1175,1.12
60,34.567,1.1176,1.12
62.5,34.565,1.1177,1.12
65,34.563,1.1178,1.12
67.5,34.561,1.1179,1.12
70,34.559,1.118,1.12
72.5,34.558,1.1181,1.12
75,34.557,1.1182,1.12
77.5,34.557,1.1183,1.12
80,34.557,1.1184,1.12
82.5,34.557,1.1184,1.12
85,34.557,1.1185,1.12
87.5,34.557,1.1186,1.12
90,34.558,1.1187,1.12
92.5,34.559,1.1188,1.12
95,34.56,1.1188,1.12
97.5,34.561,1.1189,1.12
100,34.562,1.119,1.12
102.5,34.563,1.119,1.12
105,34.564,1.1191,1.12
107.5,34.565,1.1191,1.12
110,34.566,1.1191,1.12
112.5,34.567,1.1192,1.12
115,34.568,1.1192,1.12
117.5,34.569,1.1192,1.12
120,34.57,1.1193,1.12
122.5,34.571,1.1193,1.12
125,34.572,1.1193,1.12
127.5,27.524,1.1194,0.8
130,27.513,1.1194,0.8
132.5,27.486,1.1194,0.8
135,26.916,1.1194,0.8
137.5,20.256,1.1194,0.8
140,26.09,1.1249,0.8
142.5,20.32,1.1288,0.8
145,22.809,1.1312,0.8
147.5,11.217,1.1329,0.8
150,27.202,1.1387,0.8
152.5,14.387,1.1374,0.8
155,9.7194,1.1399,0.8
157.5,10.458,1.1384,0.8
160,10.97,1.1451,0.8
162.5,10.426,1.1354,0.8
165,11.57,1.1367,0.8
167.5,10.798,1.1393,0.8
170,11.389,1.1381,0.8
172.5,11.315,1.1341,0.8
175,11.499,1.1284,0.8
177.5,11.84,1.1201,0.8
180,11.919,1.1112,0.8
182.5,12.289,1.1007,0.8
185,12.465,1.0894,0.8
187.5,12.755,1.0774,0.8
190,13.02,1.0647,0.8
192.5,13.264,1.0517,0.8
195,13.538,1.0383,0.8
197.5,13.773,1.0249,0.8
200,14.015,1.0115,0.8
202.5,14.236,0.99827,0.8
205,14.443,0.98525,0.8
207.5,14.636,0.97253,0.8
210,14.808,0.9602,0.8
212.5,14.965,0.94832,0.8
215,15.103,0.93694,0.8
217.5,15.224,0.9261,0.8
220,15.328,0.91582,0.8
222.5,15.416,0.90613,0.8
225,15.488,0.89702,0.8
227.5,15.545,0.88852,0.8
230,15.589,0.8806,0.8
232.5,15.62,0.87327,0.8
235,15.641,0.8665,0.8
237.5,15.702,0.86028,0.8
240,15.827,0.85457,0.8
242.5,15.986,0.84937,0.8
245,16.153,0.84463,0.8
247.5,16.311,0.84032,0.8
250,16.447,0.8364,0.8
252.5,16.556,0.8328,0.8
255,16.633,0.82948,0.8
257.5,16.677,0.82646,0.8
260,16.69,0.82374,0.8
262.5,16.674,0.82132,0.8
265,16.633,0.81921,0.8
267.5,16.571,0.81742,0.8
270,16.493,0.81594,0.8
272.5,16.402,0.81475,0.8
275,16.304,0.81385,0.8
277.5,16.201,0.8132,0.8
280,16.098,0.81277,0.8
282.5,15.998,0.81254,0.8
285,15.902,0.81248,0.8
287.5,15.814,0.81254,0.8
290,15.733,0.8127,0.8
292.5,15.662,0.81292,0.8
295,15.6,0.81319,0.8
297.5,15.548,0.81346,0.8
300,15.505,0.81373,0.8
302.5,15.471,0.81397,0.8
305,15.446,0.81416,0.8
307.5,15.428,0.8143,0.8
310,15.418,0.81438,0.8
312.5,15.413,0.81439,0.8
315,15.413,0.81433,0.8
317.5,15.418,0.81421,0.8
320,15.425,0.81401,0.8
322.5,15.435,0.81376,0.8
325,15.446,0.81345,0.8
327.5,15.457,0.81309,0.8
330,15.468,0.81269,0.8
332.5,15.478,0.81225,0.8
335,15.487,0.81178,0.8
337.5,15.492,0.81129,0.8
340,15.496,0.81079,0.8
342.5,15.495,0.81029,0.8
345,15.492,0.80978,0.8
347.5,15.484,0.80928,0.8
350,15.473,0.80878,0.8
352.5,15.459,0.80831,0.8
355,15.441,0.80785,0.8
357.5,15.421,0.8074,0.8
360,15.398,0.80698,0.8
362.5,15.374,0.80658,0.8
365,15.349,0.8062,0.8
367.5,15.323,0.80584,0.8
370,15.298,0.80549,0.8
372.5,15.274,0.80516,0.8
375,15.251,0.80484,0.8
377.5,15.236,0.80453,0.8
380,15.229,0.80423,0.8
382.5,15.228,0.80392,0.8
385,15.231,0.80362,0.8
387.5,15.245,0.80331,0.8
390,15.26,0.80299,0.8
392.5,15.282,0.80266,0.8
395,15.305,0.80232,0.8
397.5,15.341,0.80196,0.8
400,15.366,0.80159,0.8
402.5,15.398,0.80121,0.8
405,15.437,0.80082,0.8
407.5,15.478,0.80044,0.8
410,15.519,0.80005,0.8
412.5,15.557,0.79967,0.8
415,15.591,0.79931,0.8
417.5,15.621,0.79896,0.8
420,15.646,0.79863,0.8
422.5,15.665,0.79833,0.8
425,15.679,0.79806,0.8
