t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.339,1.1195,1.12
10,34.369,1.1192,1.12
12.5,34.401,1.119,1.12
15,34.433,1.1188,1.12
17.5,34.463,1.1186,1.12
20,34.491,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.536,1.1181,1.12
27.5,34.554,1.1179,1.12
30,34.567,1.1178,1.12
32.5,34.578,1.1177,1.12
35,34.586,1.1175,1.12
37.5,34.591,1.1174,1.12
40,34.595,1.1174,1.12
42.5,34.596,1.1173,1.12
45,34.597,1.1173,1.12
47.5,34.596,1.1173,1.12
50,34.595,1.1173,1.12
52.5,3.0157,1.1173,0.5
55,0,1.1174,0.5
57.5,0,1.1175,0.5
60,0,1.1175,0.5
62.5,0,1.1176,0.5
65,0,1.1422,0.5
67.5,0,1.1622,0.5
70,0,1.1753,0.5
72.5,0,1.1825,0.5
75,0,1.1845,0.5
77.5,0,1.1821,0.5
80,0,1.1758,0.5
82.5,0,1.1661,0.5
85,0,1.1536,0.5
87.5,0,1.1386,0.5
90,0,1.1216,0.5
92.5,0,1.1028,0.5
95,0,1.0826,0.5
97.5,0,1.0611,0.5
100,0,1.0388,0.5
102.5,0,1.0156,0.5
105,0,0.99194,0.5
107.5,0,0.96782,0.5
110,0,0.94342,0.5
112.5,0,0.91886,0.5
115,0,0.89425,0.5
117.5,0,0.86968,0.5
120,0,0.84523,0.5
122.5,0,0.82097,0.5
125,0,0.79696,0.5
127.5,0,0.77326,0.5
130,0,0.7499,0.5
132.5,0.68355,0.72693,0.5
135,1.8975,0.70438,0.5
137.5,3.5152,0.68226,0.5
140,5.4349,0.66061,0.5
142.5,7.5713,0.63943,0.5
145,9.8513,0.61844,0.5
147.5,12.198,0.59762,0.5
150,14.514,0.57712,0.5
152.5,16.67,0.55724,0.5
155,18.511,0.53833,0.5
157.5,19.884,0.52081,0.5
160,20.669,0.50505,0.5
162.5,20.807,0.49146,0.5
165,20.311,0.48038,0.5
167.5,19.257,0.4721,0.5
170,17.761,0.46684,0.5
172.5,15.963,0.46468,0.5
175,14,0.46554,0.5
177.5,11.998,0.46924,0.5
180,10.062,0.47542,0.5
182.5,8.2746,0.48366,0.5
185,6.691,0.49345,0.5
187.5,5.3478,0.50426,0.5
190,4.2636,0.51558,0.5
192.5,3.4429,0.52692,0.5
195,2.8793,0.53785,0.5
197.5,2.5571,0.54798,0.5
200,2.4533,0.55701,0.5
202.5,2.5393,0.56473,0.5
205,2.7834,0.57096,0.5
207.5,3.1525,0.57563,0.5
210,3.6145,0.5787,0.5
212.5,4.1395,0.58021,0.5
215,4.7006,0.58026,0.5
217.5,5.2748,0.57896,0.5
220,5.8429,0.57649,0.5
222.5,6.3888,0.57302,0.5
225,6.8997,0.56877,0.5
227.5,7.3653,0.56392,0.5
230,7.7773,0.55868,0.5
232.5,8.1295,0.55323,0.5
235,8.4174,0.54775,0.5
237.5,8.6385,0.54239,0.5
240,8.7919,0.53726,0.5
242.5,8.8787,0.53249,0.5
245,8.9019,0.52814,0.5
247.5,8.8659,0.52428,0.5
250,8.7767,0.52095,0.5
252.5,8.6414,0.51816,0.5
255,8.4674,0.51591,0.5
257.5,8.2628,0.51418,0.5
260,8.0355,0.51293,0.5
262.5,7.7932,0.51213,0.5
265,7.5433,0.51172,0.5
267.5,7.2927,0.51163,0.5
270,7.0478,0.51181,0.5
272.5,6.8146,0.51218,0.5
275,6.5984,0.51269,0.5
277.5,6.404,0.51327,0.5
280,6.2356,0.51385,0.5
282.5,6.0967,0.5144,0.5
285,5.9897,0.51485,0.5
287.5,5.9157,0.51516,0.5
290,5.8738,0.51531,0.5
292.5,5.8606,0.51526,0.5
295,5.8715,0.515,0.5
297.5,5.9012,0.51451,0.5
300,34.3,0.51379,0.5
