t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.339,1.1195,1.12
10,34.369,1.1192,1.12
12.5,34.401,1.119,1.12
15,34.433,1.1188,1.12
17.5,34.463,1.1186,1.12
20,34.491,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.536,1.1181,1.12
27.5,34.554,1.1179,1.12
30,34.567,1.1178,1.12
32.5,34.578,1.1177,1.12
35,34.586,1.1175,1.12
37.5,34.591,1.1174,1.12
40,34.595,1.1174,1.12
42.5,34.596,1.1173,1.12
45,34.597,1.1173,1.12
47.5,34.596,1.1173,1.12
50,34.595,1.1173,1.12
52.5,18.295,1.1173,0.8
55,6.0451,1.1174,0.8
57.5,0,1.1175,0.8
60,0,1.1175,0.8
62.5,0,1.1176,0.8
65,0,1.1304,0.8
67.5,0,1.149,0.8
70,0,1.1664,0.8
72.5,0,1.1774,0.8
75,0,1.1827,0.8
77.5,0,1.1831,0.8
80,0,1.1793,0.8
82.5,0,1.1718,0.8
85,0,1.1611,0.8
87.5,0,1.1477,0.8
90,0,1.132,0.8
92.5,0.015387,1.1143,0.8
95,0.93454,1.095,0.8
97.5,2.6769,1.0744,0.8
100,14.502,1.0527,0.8
102.5,15.035,1.03,0.8
105,16.258,1.0067,0.8
107.5,17.905,0.9822,0.8
110,19.671,0.95641,0.8
112.5,21.367,0.92324,0.8
115,22.672,0.89357,0.8
117.5,23.497,0.86676,0.8
120,23.868,0.84255,0.8
122.5,23.856,0.82096,0.8
125,23.541,0.80213,0.8
127.5,23.001,0.78631,0.8
130,22.302,0.77365,0.8
132.5,21.502,0.76415,0.8
135,20.649,0.75765,0.8
137.5,19.786,0.75388,0.8
140,18.944,0.75253,0.8
142.5,18.153,0.75321,0.8
145,17.431,0.75555,0.8
147.5,16.795,0.75918,0.8
150,16.252,0.76376,0.8
152.5,15.805,0.76898,0.8
155,15.451,0.77456,0.8
157.5,15.185,0.78025,0.8
160,14.997,0.78585,0.8
162.5,14.877,0.7912,0.8
165,14.813,0.79617,0.8
167.5,14.795,0.80067,0.8
170,14.811,0.80464,0.8
172.5,14.852,0.80806,0.8
175,14.91,0.81092,0.8
177.5,14.978,0.81323,0.8
180,15.05,0.81503,0.8
182.5,15.121,0.81636,0.8
185,15.19,0.81727,0.8
187.5,15.253,0.81781,0.8
190,15.309,0.81803,0.8
192.5,15.358,0.81799,0.8
195,15.399,0.81774,0.8
197.5,15.433,0.81732,0.8
200,15.461,0.81677,0.8
202.5,15.482,0.81614,0.8
205,15.499,0.81544,0.8
207.5,15.511,0.8147,0.8
210,15.519,0.81395,0.8
212.5,15.524,0.8132,0.8
215,15.527,0.81246,0.8
217.5,15.529,0.81173,0.8
220,15.529,0.81104,0.8
222.5,15.529,0.81037,0.8
225,15.528,0.80974,0.8
227.5,15.526,0.80915,0.8
230,15.525,0.80858,0.8
232.5,15.523,0.80805,0.8
235,15.521,0.80755,0.8
237.5,15.519,0.80708,0.8
240,15.517,0.80664,0.8
242.5,15.513,0.80622,0.8
245,15.509,0.80583,0.8
247.5,15.505,0.80547,0.8
250,34.3,0.80512,0.8
