t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.339,1.1195,1.12
10,34.369,1.1192,1.12
12.5,34.401,1.119,1.12
15,34.433,1.1188,1.12
17.5,34.463,1.1186,1.12
20,34.491,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.536,1.1181,1.12
27.5,34.554,1.1179,1.12
30,34.567,1.1178,1.12
32.5,34.578,1.1177,1.12
35,34.586,1.1175,1.12
37.5,34.591,1.1174,1.12
40,34.595,1.1174,1.12
42.5,34.596,1.1173,1.12
45,34.597,1.1173,1.12
47.5,34.596,1.1173,1.12
50,34.595,1.1173,1.12
52.5,3.0157,1.1173,0.5
55,0,1.1174,0.5
57.5,0,1.1175,0.5
60,0,1.1175,0.5
62.5,0,1.1176,0.5
65,0,1.1422,0.5
67.5,0,1.1622,0.5
70,0,1.1753,0.5
72.5,0,1.1825,0.5
75,0,1.1845,0.5
77.5,0,1.1821,0.5
80,0,1.1758,0.5
82.5,0,1.1661,0.5
85,0,1.1536,0.5
87.5,0,1.1386,0.5
90,0,1.1216,0.5
92.5,0,1.1028,0.5
95,0,1.0826,0.5
97.5,0,1.0611,0.5
100,0,1.0388,0.5
102.5,0,1.0156,0.5
105,0,0.99194,0.5
107.5,0,0.96782,0.5
110,0,0.94342,0.5
112.5,0,0.91886,0.5
115,0,0.89425,0.5
117.5,0,0.86968,0.5
120,0,0.84523,0.5
122.5,0,0.82097,0.5
125,0,0.79696,0.5
127.5,0,0.77326,0.5
130,6.709,0.7499,0.5
132.5,6.709,0.72693,0.5
135,6.709,0.70438,0.5
137.5,6.709,0.68226,0.5
140,6.9433,0.66061,0.5
142.5,7.8113,0.63635,0.5
145,9.1554,0.61442,0.5
147.5,10.798,0.59461,0.5
150,12.551,0.57674,0.5
152.5,14.232,0.56055,0.5
155,15.688,0.5457,0.5
157.5,16.798,0.5321,0.5
160,17.482,0.51984,0.5
162.5,17.699,0.50912,0.5
165,17.454,0.50019,0.5
167.5,16.788,0.49329,0.5
170,15.77,0.48861,0.5
172.5,14.491,0.48624,0.5
175,13.047,0.48617,0.5
177.5,11.529,0.48827,0.5
180,10.02,0.49233,0.5
182.5,8.5896,0.49805,0.5
185,7.2894,0.50508,0.5
187.5,6.709,0.51303,0.5
190,6.709,0.5215,0.5
192.5,6.709,0.53012,0.5
195,6.709,0.53853,0.5
197.5,6.709,0.54643,0.5
200,6.709,0.55334,0.5
202.5,6.709,0.55905,0.5
205,6.709,0.56367,0.5
207.5,6.709,0.56733,0.5
210,6.709,0.57014,0.5
212.5,6.709,0.57219,0.5
215,6.709,0.57356,0.5
217.5,6.709,0.57435,0.5
220,6.709,0.57461,0.5
222.5,6.709,0.57442,0.5
225,6.709,0.57383,0.5
227.5,6.709,0.5729,0.5
230,6.709,0.57167,0.5
232.5,6.709,0.57019,0.5
235,6.709,0.56849,0.5
237.5,6.709,0.56661,0.5
240,6.709,0.56457,0.5
242.5,6.709,0.56242,0.5
245,6.709,0.56016,0.5
247.5,6.709,0.55782,0.5
250,6.709,0.55543,0.5
252.5,6.709,0.55299,0.5
255,6.709,0.55053,0.5
257.5,6.709,0.54805,0.5
260,6.709,0.54557,0.5
262.5,6.709,0.5431,0.5
265,6.709,0.54065,0.5
267.5,6.709,0.53823,0.5
270,6.709,0.53583,0.5
272.5,6.709,0.53347,0.5
275,6.709,0.53116,0.5
277.5,6.709,0.52889,0.5
280,6.709,0.52667,0.5
282.5,6.709,0.52451,0.5
285,6.709,0.5224,0.5
287.5,6.709,0.52034,0.5
290,6.709,0.51835,0.5
292.5,6.709,0.51641,0.5
295,6.709,0.51453,0.5
297.5,6.709,0.51271,0.5
300,34.3,0.51095,0.5
