t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.339,1.1195,1.12
10,34.369,1.1192,1.12
12.5,34.401,1.119,1.12
15,34.433,1.1188,1.12
17.5,34.463,1.1186,1.12
20,34.491,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.536,1.1181,1.12
27.5,34.554,1.1179,1.12
30,34.567,1.1178,1.12
32.5,34.578,1.1177,1.12
35,34.586,1.1175,1.12
37.5,34.591,1.1174,1.12
40,34.595,1.1174,1.12
42.5,34.596,1.1173,1.12
45,34.597,1.1173,1.12
47.5,34.596,1.1173,1.12
50,34.595,1.1173,1.12
52.5,3.0157,1.1173,0.5
55,16.925,1.1174,0.5
57.5,20.063,1.1175,0.5
60,17.812,1.1175,0.5
62.5,15.31,1.1176,0.5
65,18.58,1.1422,0.5
67.5,11.6,1.1487,0.5
70,8.187,1.1497,0.5
72.5,5.2704,1.1507,0.5
75,1.2897,1.1515,0.5
77.5,0,1.1475,0.5
80,0,1.1478,0.5
82.5,0,1.1482,0.5
85,0,1.1479,0.5
87.5,0,1.1475,0.5
90,0,1.1442,0.5
92.5,0,1.1374,0.5
95,0,1.1275,0.5
97.5,0,1.1149,0.5
100,0,1.1,0.5
102.5,0,1.0832,0.5
105,0,1.0648,0.5
107.5,0,1.0451,0.5
110,0,1.0242,0.5
112.5,0,1.0025,0.5
115,0,0.98009,0.5
117.5,0,0.95715,0.5
120,0,0.93382,0.5
122.5,0,0.91024,0.5
125,0,0.88653,0.5
127.5,0,0.86277,0.5
130,0,0.83907,0.5
132.5,0,0.8155,0.5
135,0,0.79212,0.5
137.5,0,0.76898,0.5
140,0,0.74614,0.5
142.5,0.64369,0.72364,0.5
145,1.829,0.70152,0.5
147.5,3.4264,0.67979,0.5
150,5.3308,0.65849,0.5
152.5,7.4537,0.63764,0.5
155,9.7183,0.61696,0.5
157.5,12.045,0.59642,0.5
160,14.336,0.57617,0.5
162.5,16.462,0.55651,0.5
165,18.274,0.53778,0.5
167.5,19.621,0.52038,0.5
170,15.914,0.50473,0.5
172.5,17.592,0.4912,0.5
175,18.371,0.48015,0.5
177.5,18.339,0.47187,0.5
180,17.634,0.46657,0.5
182.5,16.379,0.46576,0.5
185,14.785,0.46637,0.5
187.5,13.023,0.4688,0.5
190,11.228,0.47321,0.5
192.5,9.5015,0.4795,0.5
195,7.9186,0.48743,0.5
197.5,6.5292,0.49662,0.5
200,5.3634,0.50663,0.5
202.5,4.4352,0.517,0.5
205,3.7461,0.52731,0.5
207.5,3.2871,0.53715,0.5
210,3.0417,0.54622,0.5
212.5,2.9871,0.55423,0.5
215,3.0964,0.56101,0.5
217.5,3.3405,0.56642,0.5
220,3.6898,0.57039,0.5
222.5,4.116,0.57291,0.5
225,4.5927,0.57404,0.5
227.5,5.0967,0.57386,0.5
230,5.6079,0.5725,0.5
232.5,6.1095,0.57011,0.5
235,6.5875,0.56687,0.5
237.5,7.0305,0.56295,0.5
240,7.4295,0.55853,0.5
242.5,7.7774,0.5538,0.5
245,8.0686,0.54891,0.5
247.5,8.2998,0.54401,0.5
250,8.4688,0.53924,0.5
252.5,8.5755,0.5347,0.5
255,8.6215,0.53048,0.5
257.5,8.6099,0.52666,0.5
260,8.5456,0.52327,0.5
262.5,8.4345,0.52035,0.5
265,8.2839,0.5179,0.5
267.5,8.1017,0.51593,0.5
270,7.8962,0.5144,0.5
272.5,7.6759,0.51328,0.5
275,7.4491,0.51253,0.5
277.5,7.2238,0.5121,0.5
280,7.007,0.51194,0.5
282.5,6.8051,0.51197,0.5
285,6.6231,0.51215,0.5
287.5,6.4646,0.5124,0.5
290,6.3313,0.51269,0.5
292.5,6.2228,0.51295,0.5
295,6.1382,0.51313,0.5
297.5,6.0763,0.51321,0.5
300,34.3,0.51315,0.5
