t,u1,y,ysp
2.5,30.2,1.12,0.8
5,26.434,1.1197,0.8
7.5,22.985,1.1195,0.8
10,19.836,1.1192,0.8
12.5,16.968,1.119,0.8
15,14.323,1.122,0.8
17.5,11.866,1.127,0.8
20,9.575,1.133,0.8
22.5,7.441,1.1392,0.8
25,5.4612,1.145,0.8
27.5,3.6364,1.1501,0.8
30,1.9692,1.154,0.8
32.5,0.46309,1.1566,0.8
35,0,1.1577,0.8
37.5,0,1.157,0.8
40,0,1.1545,0.8
42.5,0,1.1501,0.8
45,0,1.1437,0.8
47.5,0,1.1345,0.8
50,0,1.1226,0.8
52.5,0,1.1083,0.8
55,0,1.0919,0.8
57.5,0.24541,1.0738,0.8
60,0.7713,1.0544,0.8
62.5,1.5375,1.0337,0.8
65,2.4868,1.0121,0.8
67.5,3.5553,0.98979,0.8
70,4.6861,0.96671,0.8
72.5,5.8364,0.94292,0.8
75,6.9795,0.91856,0.8
77.5,8.1019,0.89381,0.8
80,9.1992,0.86895,0.8
82.5,10.271,0.84427,0.8
85,11.32,0.82009,0.8
87.5,12.347,0.79668,0.8
90,13.351,0.77431,0.8
92.5,14.33,0.7532,0.8
95,15.277,0.73351,0.8
97.5,16.184,0.71539,0.8
100,17.043,0.69895,0.8
102.5,17.841,0.68427,0.8
105,18.569,0.6714,0.8
107.5,19.217,0.66037,0.8
110,19.779,0.65119,0.8
112.5,20.251,0.64385,0.8
115,20.63,0.63832,0.8
117.5,20.918,0.63455,0.8
120,21.118,0.63249,0.8
122.5,21.238,0.63205,0.8
125,21.283,0.63313,0.8
127.5,21.262,0.63564,0.8
130,21.183,0.63944,0.8
132.5,21.057,0.6444,0.8
135,20.891,0.6504,0.8
137.5,20.694,0.65728,0.8
140,20.473,0.66491,0.8
142.5,20.235,0.67316,0.8
145,19.987,0.68188,0.8
147.5,19.732,0.69094,0.8
150,19.475,0.70023,0.8
152.5,19.219,0.70964,0.8
155,18.967,0.71907,0.8
157.5,18.72,0.72841,0.8
160,18.48,0.7376,0.8
162.5,18.249,0.74657,0.8
165,18.026,0.75525,0.8
167.5,17.812,0.76359,0.8
170,17.607,0.77156,0.8
172.5,17.412,0.77913,0.8
175,17.227,0.78627,0.8
177.5,17.05,0.79296,0.8
180,16.883,0.79919,0.8
182.5,16.725,0.80496,0.8
185,16.575,0.81027,0.8
187.5,16.434,0.81513,0.8
190,16.301,0.81953,0.8
192.5,16.176,0.82349,0.8
195,16.059,0.82703,0.8
197.5,15.949,0.83015,0.8
200,15.846,0.83287,0.8
202.5,15.75,0.83522,0.8
205,15.661,0.83721,0.8
207.5,15.579,0.83885,0.8
210,15.502,0.84017,0.8
212.5,15.431,0.84119,0.8
215,15.366,0.84192,0.8
217.5,15.307,0.84239,0.8
220,15.252,0.84262,0.8
222.5,15.203,0.84262,0.8
225,15.159,0.84241,0.8
227.5,15.119,0.84201,0.8
230,15.083,0.84143,0.8
232.5,15.052,0.8407,0.8
235,15.025,0.83983,0.8
237.5,15.001,0.83883,0.8
240,14.982,0.83772,0.8
242.5,14.965,0.83652,0.8
245,14.952,0.83523,0.8
247.5,14.942,0.83386,0.8
250,14.935,0.83244,0.8
252.5,11.456,0.83097,0.2
255,8.2581,0.82946,0.2
257.5,5.3302,0.82792,0.2
260,2.6606,0.82636,0.2
262.5,0.23783,0.82479,0.2
265,0,0.82521,0.2
267.5,0,0.82662,0.2
270,0,0.82822,0.2
272.5,0,0.82938,0.2
275,0,0.82956,0.2
277.5,0,0.82723,0.2
280,0,0.82253,0.2
282.5,0,0.81577,0.2
285,0,0.80723,0.2
287.5,0,0.79714,0.2
290,0,0.78574,0.2
292.5,0,0.77321,0.2
295,0,0.75975,0.2
297.5,0,0.74549,0.2
300,0,0.7306,0.2
302.5,0,0.71518,0.2
305,0,0.69936,0.2
307.5,0,0.68323,0.2
310,0,0.66689,0.2
312.5,0,0.65041,0.2
315,0,0.63386,0.2
317.5,0,0.6173,0.2
320,0,0.60079,0.2
322.5,0,0.58437,0.2
325,0,0.56808,0.2
327.5,0,0.55196,0.2
330,0,0.53605,0.2
332.5,0.046179,0.52036,0.2
335,0.16725,0.50492,0.2
337.5,0.34483,0.48974,0.2
340,0.56236,0.47485,0.2
342.5,0.8054,0.46026,0.2
345,1.0617,0.44596,0.2
347.5,1.3214,0.43195,0.2
350,1.5763,0.41825,0.2
352.5,1.8204,0.4049,0.2
355,2.0489,0.39194,0.2
357.5,2.2586,0.37943,0.2
360,2.4475,0.3674,0.2
362.5,2.6142,0.35591,0.2
365,2.7584,0.34498,0.2
367.5,2.8803,0.33467,0.2
370,2.9805,0.32497,0.2
372.5,3.0599,0.31592,0.2
375,3.12,0.30752,0.2
377.5,3.1619,0.29975,0.2
380,3.1875,0.29262,0.2
382.5,3.1981,0.28611,0.2
385,3.1955,0.2802,0.2
387.5,3.1812,0.27485,0.2
390,3.1569,0.27005,0.2
392.5,3.124,0.26575,0.2
395,3.0838,0.26193,0.2
397.5,3.0379,0.25855,0.2
400,2.9873,0.25556,0.2
402.5,2.9332,0.25294,0.2
405,2.8767,0.25064,0.2
407.5,2.8185,0.24864,0.2
410,2.7596,0.24689,0.2
412.5,2.7006,0.24536,0.2
415,2.6421,0.24403,0.2
417.5,2.5846,0.24286,0.2
420,2.5286,0.24183,0.2
422.5,2.4743,0.24091,0.2
425,2.4221,0.24008,0.2
427.5,2.3721,0.23932,0.2
430,2.3245,0.23861,0.2
432.5,2.2793,0.23793,0.2
435,2.2366,0.23727,0.2
437.5,2.1963,0.23662,0.2
440,2.1585,0.23596,0.2
442.5,2.123,0.23529,0.2
445,2.0897,0.23459,0.2
447.5,2.0586,0.23387,0.2
450,2.0295,0.23312,0.2
452.5,2.0023,0.23233,0.2
455,1.977,0.23151,0.2
457.5,1.9533,0.23064,0.2
460,1.9312,0.22974,0.2
462.5,1.9106,0.22879,0.2
465,1.8914,0.2278,0.2
467.5,1.8735,0.22678,0.2
470,1.8569,0.22571,0.2
472.5,1.8415,0.22461,0.2
475,1.8274,0.22348,0.2
477.5,1.8144,0.22232,0.2
480,1.8027,0.22112,0.2
482.5,1.7922,0.2199,0.2
485,1.783,0.21865,0.2
487.5,1.775,0.21738,0.2
490,1.7683,0.2161,0.2
492.5,1.7629,0.21479,0.2
495,1.7588,0.21348,0.2
497.5,1.756,0.21215,0.2
500,1.7544,0.21082,0.2
502.5,4.0055,0.20948,0.6
505,5.9732,0.20813,0.6
507.5,7.6779,0.20679,0.6
510,9.1396,0.20545,0.6
512.5,10.378,0.20412,0.6
515,11.41,0.20248,0.6
517.5,12.253,0.20111,0.6
520,12.924,0.20049,0.6
522.5,13.44,0.20095,0.6
525,13.815,0.20271,0.6
527.5,14.065,0.20591,0.6
530,14.205,0.21062,0.6
532.5,14.248,0.21683,0.6
535,14.208,0.2245,0.6
537.5,14.097,0.23353,0.6
540,13.928,0.24381,0.6
542.5,13.711,0.2552,0.6
545,13.457,0.26755,0.6
547.5,13.175,0.28069,0.6
550,12.875,0.29446,0.6
552.5,12.564,0.30872,0.6
555,12.249,0.32331,0.6
557.5,11.937,0.33808,0.6
560,11.632,0.35289,0.6
562.5,11.341,0.36764,0.6
565,11.065,0.3822,0.6
567.5,10.809,0.39648,0.6
570,10.575,0.4104,0.6
572.5,10.363,0.42387,0.6
575,10.176,0.43684,0.6
577.5,10.013,0.44926,0.6
580,9.8729,0.46109,0.6
582.5,9.7555,0.4723,0.6
585,9.6592,0.48287,0.6
587.5,9.582,0.4928,0.6
590,9.522,0.50208,0.6
592.5,9.477,0.51071,0.6
595,9.4449,0.51872,0.6
597.5,9.4237,0.52611,0.6
600,9.4113,0.53292,0.6
602.5,9.406,0.53916,0.6
605,9.4062,0.54488,0.6
607.5,9.4104,0.55008,0.6
610,9.4175,0.55482,0.6
612.5,9.4264,0.55913,0.6
615,9.4363,0.56303,0.6
617.5,9.4466,0.56655,0.6
620,9.4568,0.56974,0.6
622.5,9.4665,0.57261,0.6
625,9.4753,0.57521,0.6
627.5,9.4833,0.57754,0.6
630,9.4902,0.57965,0.6
632.5,9.496,0.58155,0.6
635,9.5007,0.58326,0.6
637.5,9.5044,0.5848,0.6
640,9.5072,0.58619,0.6
642.5,9.5092,0.58744,0.6
645,9.5105,0.58857,0.6
647.5,9.5112,0.58959,0.6
650,9.5114,0.59051,0.6
652.5,9.5113,0.59134,0.6
655,9.511,0.5921,0.6
657.5,9.5106,0.59278,0.6
660,9.5102,0.59339,0.6
662.5,9.51,0.59395,0.6
665,9.51,0.59445,0.6
667.5,9.5104,0.5949,0.6
670,9.5111,0.59531,0.6
672.5,9.5123,0.59567,0.6
675,9.5141,0.596,0.6
677.5,9.5164,0.5963,0.6
680,9.5194,0.59656,0.6
682.5,9.5231,0.5968,0.6
685,9.5274,0.59701,0.6
687.5,9.5325,0.59719,0.6
690,9.5384,0.59736,0.6
692.5,9.545,0.59751,0.6
695,9.5523,0.59764,0.6
697.5,9.5603,0.59775,0.6
700,9.5691,0.59785,0.6
702.5,9.5785,0.59795,0.6
705,9.5885,0.59803,0.6
707.5,9.5992,0.5981,0.6
710,9.6104,0.59817,0.6
712.5,9.6221,0.59824,0.6
715,9.6341,0.5983,0.6
717.5,9.6465,0.59836,0.6
720,9.6592,0.59842,0.6
722.5,9.672,0.59849,0.6
725,9.6849,0.59856,0.6
727.5,9.6978,0.59863,0.6
730,9.7105,0.5987,0.6
732.5,9.723,0.59879,0.6
735,9.7352,0.59888,0.6
737.5,9.7469,0.59898,0.6
740,9.7581,0.59909,0.6
742.5,9.7687,0.59921,0.6
745,9.7786,0.59934,0.6
747.5,9.7877,0.59948,0.6
750,9.7961,0.59963,0.6
752.5,13.223,0.5998,1.2
755,16.29,0.59998,1.2
757.5,19.018,0.60016,1.2
760,21.424,0.60036,1.2
762.5,23.528,0.60057,1.2
765,25.348,0.59937,1.2
767.5,26.899,0.59772,1.2
770,28.202,0.59642,1.2
772.5,29.281,0.59604,1.2
775,30.16,0.59702,1.2
777.5,30.865,0.59963,1.2
780,31.424,0.60403,1.2
782.5,31.864,0.61026,1.2
785,32.212,0.61831,1.2
787.5,32.492,0.62806,1.2
790,32.725,0.63939,1.2
792.5,32.93,0.6521,1.2
795,33.121,0.666,1.2
797.5,33.306,0.68088,1.2
800,33.492,0.69653,1.2
802.5,33.682,0.71276,1.2
805,33.876,0.72936,1.2
807.5,34.071,0.74617,1.2
810,34.267,0.76304,1.2
812.5,34.459,0.77982,1.2
815,34.646,0.79642,1.2
817.5,34.826,0.81274,1.2
820,34.997,0.8287,1.2
822.5,35.16,0.84425,1.2
825,35.315,0.85934,1.2
827.5,35.464,0.87395,1.2
830,35.61,0.88805,1.2
832.5,35.756,0.90164,1.2
835,35.906,0.91469,1.2
837.5,36.065,0.92722,1.2
840,36.235,0.93921,1.2
842.5,36.423,0.95067,1.2
845,36.631,0.96161,1.2
847.5,36.863,0.97202,1.2
850,37.119,0.98193,1.2
852.5,37.4,0.99132,1.2
855,37.706,1.0002,1.2
857.5,38.033,1.0086,1.2
860,38.379,1.0165,1.2
862.5,38.739,1.024,1.2
865,39.11,1.031,1.2
867.5,39.486,1.0376,1.2
870,39.862,1.0439,1.2
872.5,40.235,1.0497,1.2
875,40.601,1.0552,1.2
877.5,40.956,1.0604,1.2
880,41.298,1.0653,1.2
882.5,41.625,1.07,1.2
885,41.935,1.0745,1.2
887.5,42.228,1.0788,1.2
890,42.502,1.0829,1.2
892.5,42.758,1.0869,1.2
895,42.997,1.0908,1.2
897.5,43.217,1.0946,1.2
900,43.421,1.0984,1.2
902.5,43.609,1.1021,1.2
905,43.78,1.1057,1.2
907.5,43.938,1.1093,1.2
910,44.081,1.1128,1.2
912.5,44.211,1.1163,1.2
915,44.33,1.1197,1.2
917.5,44.437,1.1231,1.2
920,44.534,1.1264,1.2
922.5,44.621,1.1296,1.2
925,44.699,1.1328,1.2
927.5,44.769,1.136,1.2
930,44.832,1.139,1.2
932.5,44.888,1.142,1.2
935,44.938,1.1449,1.2
937.5,44.982,1.1477,1.2
940,45.021,1.1504,1.2
942.5,45.056,1.153,1.2
945,45.087,1.1556,1.2
947.5,45.114,1.158,1.2
950,45.138,1.1603,1.2
952.5,45.16,1.1626,1.2
955,45.179,1.1648,1.2
957.5,45.196,1.1668,1.2
960,45.211,1.1688,1.2
962.5,45.225,1.1706,1.2
965,45.237,1.1724,1.2
967.5,45.249,1.1741,1.2
970,45.259,1.1757,1.2
972.5,45.269,1.1772,1.2
975,45.278,1.1786,1.2
977.5,45.287,1.18,1.2
980,45.295,1.1813,1.2
982.5,45.303,1.1824,1.2
985,45.311,1.1836,1.2
987.5,45.319,1.1846,1.2
990,45.327,1.1856,1.2
992.5,45.334,1.1865,1.2
995,45.342,1.1874,1.2
997.5,45.35,1.1882,1.2
1000,34.3,1.1889,1.2
