s1,s2,t
0,0,2.5
0,0,5
0,0,7.5
0,0,10
-0.00013922,-0.00069434,12.5
-3.7145e-05,-0.0011467,15
0.00027876,-0.0013943,17.5
0.00078341,-0.0014697,20
0.0014539,-0.0014014,22.5
0.0022694,-0.0012141,25
0.0032109,-0.00092944,27.5
0.0042611,-0.00056603,30
0.0054044,-0.00014002,32.5
0.0066265,0.00033468,35
0.0079145,0.00084613,37.5
0.0092569,0.0013841,40
0.010643,0.0019399,42.5
0.012063,0.0025061,45
0.01351,0.0030766,47.5
0.014974,0.0036462,50
0.01645,0.0042104,52.5
0.01793,0.0047659,55
0.019411,0.0053097,57.5
0.020887,0.0058396,60
0.022353,0.0063537,62.5
0.023806,0.0068506,65
0.025242,0.0073295,67.5
0.02666,0.0077894,70
0.028056,0.0082302,72.5
0.029427,0.0086515,75
0.030774,0.0090533,77.5
0.032093,0.0094358,80
0.033383,0.0097992,82.5
0.034644,0.010144,85
0.035875,0.01047,87.5
0.037076,0.010779,90
0.038244,0.011071,92.5
0.039381,0.011346,95
0.040487,0.011605,97.5
0.04156,0.011849,100
0.042602,0.012078,102.5
0.043612,0.012294,105
0.044591,0.012496,107.5
0.045539,0.012686,110
0.046457,0.012863,112.5
0.047344,0.01303,115
0.048202,0.013186,117.5
0.04903,0.013331,120
0.049831,0.013467,122.5
0.050603,0.013594,125
0.051348,0.013713,127.5
0.052066,0.013823,130
0.052758,0.013926,132.5
0.053425,0.014022,135
0.054067,0.014112,137.5
0.054685,0.014195,140
0.05528,0.014272,142.5
0.055853,0.014344,145
0.056403,0.014411,147.5
0.056933,0.014473,150
0.057441,0.014531,152.5
0.05793,0.014585,155
0.0584,0.014635,157.5
0.058851,0.014681,160
0.059284,0.014724,162.5
0.059699,0.014764,165
0.060098,0.014801,167.5
0.060481,0.014835,170
0.060848,0.014867,172.5
0.0612,0.014896,175
0.061538,0.014923,177.5
0.061861,0.014948,180
0.062171,0.014971,182.5
0.062469,0.014993,185
0.062754,0.015013,187.5
0.063026,0.015031,190
0.063288,0.015048,192.5
0.063538,0.015064,195
0.063778,0.015079,197.5
0.064007,0.015092,200
0.064227,0.015105,202.5
0.064437,0.015116,205
0.064638,0.015127,207.5
0.064831,0.015137,210
0.065015,0.015146,212.5
0.065191,0.015154,215
0.06536,0.015162,217.5
0.065521,0.015169,220
0.065675,0.015176,222.5
0.065823,0.015182,225
0.065964,0.015187,227.5
0.066099,0.015192,230
0.066228,0.015197,232.5
0.066351,0.015201,235
0.066469,0.015206,237.5
0.066581,0.015209,240
0.066689,0.015213,242.5
0.066791,0.015216,245
0.06689,0.015219,247.5
0.066984,0.015221,250
