t,s1,s2,s3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,-0.5012,-2.2515,-3.0001
6,-0.13372,-3.6321,-5.1283
7,1.0035,-4.2695,-6.5397
8,2.8203,-4.2764,-7.3658
9,5.2341,-3.752,-7.7178
10,8.1698,-2.7836,-7.6896
11,11.559,-1.4477,-7.3605
12,15.34,0.18858,-6.7966
13,19.456,2.0668,-6.0534
14,23.855,4.1361,-5.1768
15,28.492,6.3521,-4.2052
16,33.325,8.6768,-3.1697
17,38.315,11.077,-2.0961
18,43.428,13.524,-1.0051
19,48.635,15.995,0.086551
20,53.906,18.469,1.1657
21,59.219,20.927,2.222
22,64.55,23.357,3.2475
23,69.88,25.746,4.2363
24,75.191,28.084,5.1842
25,80.47,30.363,6.0882
26,85.701,32.578,6.9467
27,90.873,34.722,7.7588
28,95.975,36.793,8.5244
29,101,38.789,9.2439
30,105.94,40.707,9.9183
31,110.78,42.546,10.549
32,115.53,44.307,11.137
33,120.18,45.99,11.685
34,124.72,47.596,12.194
35,129.15,49.126,12.666
36,133.47,50.581,13.103
37,137.68,51.964,13.508
38,141.77,53.277,13.881
39,145.75,54.521,14.226
40,149.62,55.699,14.543
41,153.37,56.814,14.835
42,157,57.867,15.104
43,160.53,58.862,15.351
44,163.94,59.801,15.578
45,167.24,60.686,15.785
46,170.44,61.52,15.976
47,173.53,62.305,16.15
48,176.51,63.044,16.31
49,179.39,63.738,16.455
50,182.17,64.391,16.589
51,184.85,65.004,16.71
52,187.44,65.579,16.821
53,189.93,66.119,16.923
54,192.33,66.625,17.015
55,194.64,67.1,17.099
56,196.87,67.544,17.176
57,199.01,67.96,17.246
58,201.07,68.35,17.309
59,203.05,68.715,17.367
60,204.96,69.056,17.42
61,206.79,69.374,17.467
62,208.55,69.672,17.511
63,210.24,69.951,17.55
64,211.86,70.211,17.586
65,213.42,70.453,17.619
66,214.92,70.68,17.648
67,216.35,70.891,17.675
68,217.73,71.089,17.699
69,219.05,71.273,17.721
70,220.32,71.444,17.741
71,221.54,71.604,17.759
72,222.7,71.753,17.776
73,223.82,71.892,17.79
74,224.89,72.021,17.804
75,225.91,72.141,17.816
76,226.89,72.253,17.827
77,227.84,72.358,17.837
78,228.74,72.455,17.846
79,229.6,72.545,17.854
80,230.43,72.629,17.861
81,231.22,72.707,17.868
82,231.97,72.78,17.874
83,232.7,72.848,17.88
84,233.39,72.91,17.885
85,234.05,72.969,17.889
86,234.69,73.023,17.893
87,235.3,73.073,17.897
88,235.88,73.12,17.9
89,236.43,73.164,17.903
90,236.96,73.204,17.906
91,237.47,73.241,17.908
92,237.96,73.276,17.91
93,238.42,73.308,17.912
94,238.86,73.338,17.914
95,239.29,73.366,17.916
96,239.69,73.392,17.917
97,240.08,73.416,17.918
98,240.45,73.438,17.919
99,240.8,73.459,17.921
100,241.14,73.478,17.921
